ID,Species,Colony,Treatment,percent_change
118,Acropora cervicornis,BC-8b,Untreated,9.343434343434344
143,Acropora cervicornis,MB-B,Untreated,32.04819277108434
35,Acropora cervicornis,MB-B,Untreated,90.1639344262295
46,Acropora cervicornis,SI-C,Untreated,31.074766355140188
63,Acropora cervicornis,BC-8b,Untreated,40.45226130653266
72,Acropora cervicornis,BC-8b,Untreated,57.765667574931875
78,Acropora cervicornis,SI-C,Untreated,38.83248730964467
121,Acropora cervicornis,MB-B,Untreated,28.865979381443296
19,Acropora cervicornis,BC-8b,Treated,8.860759493670885
40,Acropora cervicornis,BC-8b,Treated,15.938303341902312
41,Acropora cervicornis,MB-B,Treated,14.496314496314497
55,Acropora cervicornis,MB-B,Treated,29.80132450331126
107,Acropora cervicornis,SI-C,Treated,32.08020050125313
132,Acropora cervicornis,MB-B,Treated,23.62204724409449
83,Acropora cervicornis,MB-B,Treated,48.11083123425693
109,Acropora cervicornis,BC-8b,Treated,25.727069351230426
111,Acropora cervicornis,MB-B,Treated,28.37209302325581
129,Acropora cervicornis,MB-B,Treated,43.87990762124711
134,Acropora cervicornis,BC-8b,Treated,26.984126984126984
139,Acropora cervicornis,SI-C,Treated,1.4767932489451476
24,Acropora cervicornis,MB-B,Treated,46.913580246913575
28,Acropora cervicornis,MB-B,Treated,-8.785529715762273
36,Acropora cervicornis,MB-B,Treated,16.933638443935926
71,Acropora cervicornis,MB-B,Treated,26.190476190476193
142,Acropora cervicornis,BC-8b,Treated,27.163461538461537
149,Acropora cervicornis,SI-C,Treated,45.65217391304348
20,Acropora cervicornis,SI-C,Treated,31.67082294264339
30,Acropora cervicornis,BC-8b,Treated,0.44150110375275936
59,Acropora cervicornis,MB-B,Treated,20.971867007672635
73,Acropora cervicornis,MB-B,Treated,25.49889135254989
99,Acropora cervicornis,BC-8b,Treated,37.68844221105528
141,Acropora cervicornis,SI-C,Treated,31.758530183727036
27,Acropora cervicornis,BC-8b,Treated,22.129436325678498
88,Acropora cervicornis,MB-B,Treated,14.285714285714285
122,Acropora cervicornis,BC-8b,Treated,28.028503562945367
9,Acropora cervicornis,BC-8b,Treated,76.14678899082568
11,Acropora cervicornis,SI-C,Treated,9.285714285714286
64,Acropora cervicornis,SI-C,Treated,10.515463917525773
96,Acropora cervicornis,SI-C,Treated,11.538461538461538
137,Acropora cervicornis,BC-8b,Treated,51.445086705202314
147,Acropora cervicornis,BC-8b,Treated,42.35588972431078
3,Pseudodiploria clivosa,C,Untreated,5.2542372881355925
50,Pseudodiploria clivosa,A,Untreated,-8.513931888544892
66,Pseudodiploria clivosa,B,Untreated,-5.990783410138248
129,Pseudodiploria clivosa,B,Untreated,0.9538950715421303
144,Pseudodiploria clivosa,A,Untreated,6.64451827242525
7,Pseudodiploria clivosa,A,Untreated,7.739938080495357
9,Pseudodiploria clivosa,B,Untreated,-0.9057971014492754
17,Pseudodiploria clivosa,C,Untreated,-16.39344262295082
55,Pseudodiploria clivosa,B,Untreated,-19.203413940256045
68,Pseudodiploria clivosa,C,Untreated,-5.563480741797433
13,Pseudodiploria clivosa,A,Untreated,-12.180451127819548
46,Pseudodiploria clivosa,C,Untreated,11.818181818181818
69,Pseudodiploria clivosa,A,Untreated,6.20384047267356
95,Pseudodiploria clivosa,C,Untreated,-12.828947368421053
122,Pseudodiploria clivosa,B,Untreated,-5.589123867069486
81,Pseudodiploria clivosa,C,Untreated,-12.427745664739884
97,Pseudodiploria clivosa,A,Untreated,7.453416149068323
