 contrast                                     estimate      SE     df t.ratio p.value
 (BC-8b Untreated t0) - (SI-C Untreated t1)   0.179668 0.01123 365.15  16.001  <.0001
 (BC-8b Untreated t0) - (BC-8b Treated t2)    0.178591 0.02605   2.70   6.857  0.0848
 (BC-8b Untreated t0) - (MB-B Treated t2)     0.182172 0.02615   2.74   6.966  0.0793
 (BC-8b Untreated t0) - (SI-C Treated t2)     0.214495 0.02649   2.89   8.097  0.0486
 (BC-8b Untreated t0) - (BC-8b Untreated t2)  0.255138 0.00988 248.42  25.835  <.0001
 (BC-8b Untreated t0) - (MB-B Untreated t2)   0.297378 0.01044 364.30  28.495  <.0001
 (BC-8b Untreated t0) - (SI-C Untreated t2)   0.282996 0.01107 364.29  25.564  <.0001
 (MB-B Untreated t0) - (SI-C Untreated t0)   -0.000597 0.01107 364.29  -0.054  1.0000
 (MB-B Untreated t0) - (BC-8b Treated t1)     0.107279 0.02609   2.72   4.111  0.2678
 (MB-B Untreated t0) - (MB-B Treated t1)      0.108316 0.02626   2.79   4.124  0.2613
 (MB-B Untreated t0) - (SI-C Treated t1)      0.086183 0.02659   2.93   3.242  0.4090
 (MB-B Untreated t0) - (BC-8b Untreated t1)   0.157295 0.01054 364.93  14.918  <.0001
 (MB-B Untreated t0) - (MB-B Untreated t1)    0.184938 0.00988 248.42  18.726  <.0001
 (MB-B Untreated t0) - (SI-C Untreated t1)    0.179668 0.01123 365.15  16.001  <.0001
 (MB-B Untreated t0) - (BC-8b Treated t2)     0.178591 0.02605   2.70   6.857  0.0848
 (MB-B Untreated t0) - (MB-B Treated t2)      0.182172 0.02615   2.74   6.966  0.0793
 (MB-B Untreated t0) - (SI-C Treated t2)      0.214495 0.02649   2.89   8.097  0.0486
 (MB-B Untreated t0) - (BC-8b Untreated t2)   0.255138 0.01044 364.30  24.447  <.0001
 (MB-B Untreated t0) - (MB-B Untreated t2)    0.297378 0.00988 248.42  30.112  <.0001
 (MB-B Untreated t0) - (SI-C Untreated t2)    0.282996 0.01107 364.29  25.564  <.0001
 (SI-C Untreated t0) - (BC-8b Treated t1)     0.107875 0.02635   2.83   4.093  0.2629
 (SI-C Untreated t0) - (MB-B Treated t1)      0.108912 0.02652   2.90   4.106  0.2565
 (SI-C Untreated t0) - (SI-C Treated t1)      0.086780 0.02684   3.04   3.233  0.4056
 (SI-C Untreated t0) - (BC-8b Untreated t1)   0.157892 0.01117 364.86  14.132  <.0001
 (SI-C Untreated t0) - (MB-B Untreated t1)    0.185534 0.01107 364.29  16.760  <.0001
 (SI-C Untreated t0) - (SI-C Untreated t1)    0.180265 0.01120 252.20  16.093  <.0001
 (SI-C Untreated t0) - (BC-8b Treated t2)     0.179188 0.02631   2.81   6.812  0.0804
 (SI-C Untreated t0) - (MB-B Treated t2)      0.182768 0.02641   2.85   6.920  0.0751
 (SI-C Untreated t0) - (SI-C Treated t2)      0.215091 0.02675   3.00   8.042  0.0454
 (SI-C Untreated t0) - (BC-8b Untreated t2)   0.255735 0.01107 364.29  23.102  <.0001
 (SI-C Untreated t0) - (MB-B Untreated t2)    0.297975 0.01107 364.29  26.917  <.0001
 (SI-C Untreated t0) - (SI-C Untreated t2)    0.283593 0.01104 248.42  25.684  <.0001
 (BC-8b Treated t1) - (MB-B Treated t1)       0.001037 0.01129 366.02   0.092  1.0000
 (BC-8b Treated t1) - (SI-C Treated t1)      -0.021096 0.01201 365.81  -1.756  0.9537
 (BC-8b Treated t1) - (BC-8b Untreated t1)    0.050016 0.02614   2.73   1.914  0.8134
 (BC-8b Treated t1) - (MB-B Untreated t1)     0.077659 0.02609   2.72   2.976  0.4832
 (BC-8b Treated t1) - (SI-C Untreated t1)     0.072389 0.02642   2.86   2.740  0.5433
 (BC-8b Treated t1) - (BC-8b Treated t2)      0.071312 0.01020 251.55   6.991  <.0001
 (BC-8b Treated t1) - (MB-B Treated t2)       0.074893 0.01102 364.73   6.795  <.0001
 (BC-8b Treated t1) - (SI-C Treated t2)       0.107216 0.01180 364.81   9.086  <.0001
 (BC-8b Treated t1) - (BC-8b Untreated t2)    0.147860 0.02609   2.72   5.666  0.1322
 (BC-8b Treated t1) - (MB-B Untreated t2)     0.190100 0.02609   2.72   7.285  0.0721
 (BC-8b Treated t1) - (SI-C Untreated t2)     0.175718 0.02635   2.83   6.668  0.0838
 (MB-B Treated t1) - (SI-C Treated t1)       -0.022133 0.01239 366.07  -1.786  0.9463
