,TimePoint,Species,Genotype,ID,Replicate,Percent,Name,Tank,Treatment
55,T0,Acer,MB-B,A102,r1,8.61,A102-1,T6,Control
56,T0,Acer,MB-B,A102,r2,7.51,A102-2,T6,Control
57,T0,Acer,MB-B,A102,r3,7.27,A102-3,T6,Control
58,T0,Acer,BC-8b,A110,r1,11.5,A110-1,T8,Variable
59,T0,Acer,BC-8b,A110,r2,12.2,A110-2,T8,Variable
60,T0,Acer,BC-8b,A110,r3,10.6,A110-3,T8,Variable
61,T0,Acer,MB-B,A112,r1,10.1,A112-1,T7,Control
62,T0,Acer,MB-B,A112,r2,8.37,A112-2,T7,Control
63,T0,Acer,MB-B,A112,r3,8.48,A112-3,T7,Control
64,T0,Acer,BC-8b,A124,r1,7.61,A124-1,T7,Control
65,T0,Acer,BC-8b,A124,r2,7.16,A124-2,T7,Control
66,T0,Acer,BC-8b,A124,r3,8.61,A124-3,T7,Control
67,T0,Acer,SI-C,A139,r1,6.01,A139-1,T5,Variable
68,T0,Acer,SI-C,A139,r2,5.07,A139-2,T5,Variable
69,T0,Acer,SI-C,A139,r3,5.56,A139-3,T5,Variable
70,T0,Acer,MB-B,A150,r1,6.76,A150-1,T7,Control
71,T0,Acer,MB-B,A150,r2,7.07,A150-2,T7,Control
72,T0,Acer,MB-B,A150,r3,7.59,A150-3,T7,Control
7,T0,Acer,BC-8b,A19,r1,10,A19-1,T5,Variable
8,T0,Acer,BC-8b,A19,r2,8.5,A19-2,T5,Variable
9,T0,Acer,BC-8b,A19,r3,9.82,A19-3,T5,Variable
10,T0,Acer,MB-B,A21,r1,6.58,A21-1,T8,Variable
11,T0,Acer,MB-B,A21,r2,6.78,A21-2,T8,Variable
12,T0,Acer,MB-B,A21,r3,5.51,A21-3,T8,Variable
13,T0,Acer,BC-8b,A22,r1,7.49,A22-1,T7,Control
14,T0,Acer,BC-8b,A22,r2,7.95,A22-2,T7,Control
15,T0,Acer,BC-8b,A22,r3,7.85,A22-3,T7,Control
16,T0,Acer,SI-C,A29,r1,5.8,A29-1,T8,Variable
17,T0,Acer,SI-C,A29,r2,5.29,A29-2,T8,Variable
18,T0,Acer,SI-C,A29,r3,4.72,A29-3,T8,Variable
19,T0,Acer,SI-C,A34,r1,6.48,A34-1,T7,Control
20,T0,Acer,SI-C,A34,r2,6.97,A34-2,T7,Control
21,T0,Acer,SI-C,A34,r3,4.92,A34-3,T7,Control
22,T0,Acer,MB-B,A42,r1,7.63,A42-1,T6,Control
23,T0,Acer,MB-B,A42,r2,7.34,A42-2,T6,Control
24,T0,Acer,MB-B,A42,r3,6.74,A42-3,T6,Control
25,T0,Acer,BC-8b,A43,r1,6.77,A43-1,T6,Control
26,T0,Acer,BC-8b,A43,r2,7.14,A43-2,T6,Control
27,T0,Acer,BC-8b,A43,r3,6.83,A43-3,T6,Control
28,T0,Acer,BC-8b,A45,r1,10.5,A45-1,T8,Variable
29,T0,Acer,BC-8b,A45,r2,9.41,A45-2,T8,Variable
30,T0,Acer,BC-8b,A45,r3,10.2,A45-3,T8,Variable
1,T0,Acer,SI-C,A5,r1,4.72,A5-1,T7,Control
2,T0,Acer,SI-C,A5,r2,5.04,A5-2,T7,Control
3,T0,Acer,SI-C,A5,r3,5.82,A5-3,T7,Control
31,T0,Acer,MB-B,A55,r1,8.44,A55-1,T5,Variable
32,T0,Acer,MB-B,A55,r2,8.45,A55-2,T5,Variable
33,T0,Acer,MB-B,A55,r3,7.18,A55-3,T5,Variable
34,T0,Acer,BC-8b,A63,r1,7.45,A63-1,T6,Control
