TimePoint,Species,Genotype,ID,Treatment,num_days,mean_replicate_percent_perID
T0,Acer,MB-B,A102,Untreated,0,7.796666666666666
T0,Acer,BC-8b,A110,Treated,0,11.433333333333334
T0,Acer,MB-B,A112,Untreated,0,8.983333333333333
T0,Acer,BC-8b,A124,Untreated,0,7.793333333333333
T0,Acer,SI-C,A139,Treated,0,5.546666666666667
T0,Acer,MB-B,A150,Untreated,0,7.14
T0,Acer,BC-8b,A19,Treated,0,9.44
T0,Acer,MB-B,A21,Treated,0,6.29
T0,Acer,BC-8b,A22,Untreated,0,7.763333333333334
T0,Acer,SI-C,A29,Treated,0,5.27
T0,Acer,SI-C,A34,Untreated,0,6.123333333333333
T0,Acer,MB-B,A42,Untreated,0,7.236666666666666
T0,Acer,BC-8b,A43,Untreated,0,6.913333333333333
T0,Acer,BC-8b,A45,Treated,0,10.036666666666667
T0,Acer,SI-C,A5,Untreated,0,5.193333333333333
T0,Acer,MB-B,A55,Treated,0,8.023333333333333
T0,Acer,BC-8b,A63,Untreated,0,7.486666666666666
T0,Acer,SI-C,A64,Treated,0,7.79
T0,Acer,SI-C,A78,Untreated,0,5.383333333333333
T0,Acer,SI-C,A79,Treated,0,4.883333333333333
T0,Acer,MB-B,A83,Treated,0,9.766666666666667
T0,Acer,BC-8b,A9,Treated,0,8.346666666666668
T0,Acer,MB-B,A94,Treated,0,6.366666666666666
T0,Acer,SI-C,A95,Untreated,0,6.953333333333333
T0,Pcli,C,P103,Treated,0,4.9366666666666665
T0,Pcli,B,P105,Treated,0,4.706666666666667
T0,Pcli,A,P11,Treated,0,7.94
T0,Pcli,A,P111,Untreated,0,9.1033333333333335
T0,Pcli,B,P114,Treated,0,2.98
T0,Pcli,C,P115,Untreated,0,5.6433333333333335
T0,Pcli,B,P120,Treated,0,6.4399999999999995
T0,Pcli,A,P126,Untreated,0,5.326666666666667
T0,Pcli,A,P128,Treated,0,9.219999999999999
T0,Pcli,C,P148,Untreated,0,9.57
T0,Pcli,A,P26,Untreated,0,7.303333333333334
T0,Pcli,C,P28,Untreated,0,3.1066666666666665
T0,Pcli,B,P29,Untreated,0,12.566666666666666
T0,Pcli,A,P33,Untreated,0,14.066666666666666
T0,Pcli,C,P40,Treated,0,11.533333333333333
T0,Pcli,B,P45,Treated,0,3.563333333333333
T0,Pcli,B,P52,Untreated,0,5.613333333333333
T0,Pcli,B,P55,Untreated,0,4.866666666666666
T0,Pcli,C,P67,Treated,0,4.55
T0,Pcli,B,P70,Untreated,0,6.3100000000000005
T0,Pcli,A,P75,Treated,0,8.163333333333334
T0,Pcli,A,P77,Treated,0,9.31
T0,Pcli,C,P91,Untreated,0,11.266666666666667
T0,Pcli,C,P94,Treated,0,12.046666666666667
T2,Acer,SI-C,A106,Untreated,28,2.9766666666666666
T2,Acer,BC-8b,A108,Untreated,28,2.67
T2,Acer,SI-C,A113,Treated,28,2.8366666666666664
T2,Acer,SI-C,A114,Untreated,28,2.54
T2,Acer,SI-C,A123,Untreated,28,2.73
T2,Acer,BC-8b,A137,Treated,28,3.1366666666666667
T2,Acer,SI-C,A141,Treated,28,2.783333333333333
T2,Acer,MB-B,A143,Untreated,28,3.6566666666666667
T2,Acer,BC-8b,A146,Untreated,28,3.0366666666666666
T2,Acer,BC-8b,A30,Treated,28,2.98
T2,Acer,MB-B,A38,Treated,28,2.993333333333333
T2,Acer,MB-B,A41,Treated,28,3.16
T2,Acer,MB-B,A56,Untreated,28,3.07
T2,Acer,MB-B,A57,Untreated,28,2.58
T2,Acer,MB-B,A59,Treated,28,2.93
T2,Acer,BC-8b,A68,Treated,28,2.5366666666666666
T2,Acer,SI-C,A69,Treated,28,2.9066666666666667
T2,Acer,BC-8b,A72,Untreated,28,2.9
T2,Acer,MB-B,A74,Treated,28,2.9166666666666665
T2,Acer,SI-C,A82,Untreated,28,2.2533333333333334
T2,Acer,BC-8b,A89,Untreated,28,2.6066666666666665
T2,Acer,BC-8b,A91,Treated,28,4.383333333333333
T2,Acer,SI-C,A96,Treated,28,2.6
T2,Acer,MB-B,A97,Untreated,28,3.5233333333333334
T2,Pcli,A,P101,Treated,28,8.563333333333333
T2,Pcli,B,P109,Treated,28,4.94
T2,Pcli,B,P124,Untreated,28,3.41
T2,Pcli,A,P130,Treated,28,2.2466666666666666
T2,Pcli,A,P132,Treated,28,6.22
T2,Pcli,C,P135,Untreated,28,4.043333333333333
T2,Pcli,C,P15,Treated,28,10.633333333333333
T2,Pcli,C,P18,Treated,28,3.41
T2,Pcli,B,P24,Untreated,28,3.29
T2,Pcli,C,P3,Untreated,28,1.6266666666666665
T2,Pcli,C,P38,Untreated,28,5.68
T2,Pcli,C,P39,Treated,28,2.6566666666666667
T2,Pcli,A,P4,Untreated,28,2.6500000000000004
T2,Pcli,B,P49,Untreated,28,4.663333333333333
T2,Pcli,A,P50,Untreated,28,4.0633333333333335
T2,Pcli,A,P58,Untreated,28,3.716666666666667
T2,Pcli,B,P6,Treated,28,5.253333333333334
T2,Pcli,C,P64,Untreated,28,4.223333333333333
T2,Pcli,B,P66,Untreated,28,2.5100000000000002
T2,Pcli,A,P69,Untreated,28,5.636666666666667
T2,Pcli,C,P76,Treated,28,8.16
T2,Pcli,B,P79,Treated,28,6.046666666666667
T2,Pcli,A,P8,Treated,28,3.17
T2,Pcli,B,P96,Treated,28,4.346666666666667
