Df,SumOfSqs,R2,F,Pr(>F)
2,475009450.93273705,0.1821751283936803,5.5868093827766785,9.99999000001e-7
2,474467572.60407835,0.18196730778315706,5.580436097097985,9.99999000001e-7
39,1657956027.9511023,0.6358575638231626,NA,NA
43,2607433051.487918,1,NA,NA
