gene,lfc
Pseudodiploria1,-0.740782422766616
Pseudodiploria164216,0.558067558895746
Pseudodiploria164218,-0.799542893347786
Pseudodiploria164226,-0.964367558028201
Pseudodiploria164227,-2.06146476856454
Pseudodiploria164230,-0.692244126452721
Pseudodiploria164233,0.385032068278896
Pseudodiploria164235,-0.725466268691721
Pseudodiploria164241,-0.419213513661015
Pseudodiploria164250,-0.105676975913021
Pseudodiploria164251,-0.950354166372437
Pseudodiploria164254,-1.09556570545225
Pseudodiploria164258,-1.02846135842326
Pseudodiploria164259,1.80173964841244
Pseudodiploria164262,-2.74331142655483
Pseudodiploria164264,-0.464586910554679
Pseudodiploria164269,-0.625024399877618
Pseudodiploria164274,-1.58793721520459
Pseudodiploria164278,-0.642112104234566
Pseudodiploria164285,-1.40086834213173
Pseudodiploria164294,0.583690012342355
Pseudodiploria164296,-2.89391893127209
Pseudodiploria164300,-1.36630394275748
Pseudodiploria164302,-1.02947945490936
Pseudodiploria164304,-0.356869577303892
Pseudodiploria164305,-1.5766239868627
Pseudodiploria164306,-0.35407319233379
Pseudodiploria164308,0.0406285227809701
Pseudodiploria164312,-0.169961587526465
Pseudodiploria164314,0.0761585286364517
Pseudodiploria164318,-0.642120519255905
Pseudodiploria164324,-1.82989330664547
Pseudodiploria164325,-0.565455394856686
Pseudodiploria164330,-0.0245899179793458
Pseudodiploria164333,-2.24248062374783
Pseudodiploria164334,-0.0287320556560896
Pseudodiploria164335,-0.120017051840039
Pseudodiploria164342,-0.671404914496514
Pseudodiploria164343,-0.140656231683695
Pseudodiploria164349,-0.561317640810783
Pseudodiploria164353,-0.341015966333708
Pseudodiploria164358,-0.504929574040863
Pseudodiploria164360,0.440590125694483
Pseudodiploria164361,0.20730272452277
Pseudodiploria164362,-1.60890475423579
Pseudodiploria164366,0.395009228323203
Pseudodiploria164371,-0.991684195655694
Pseudodiploria164382,0.503999906185426
Pseudodiploria164389,-2.1379782062827
Pseudodiploria164393,0.115487647294687
Pseudodiploria164395,-0.0630879543921663
Pseudodiploria164401,0.101451833753274
Pseudodiploria164407,-1.31105455845721
Pseudodiploria164408,-0.355399528266113
Pseudodiploria164412,0.443308911300205
Pseudodiploria164416,0.164313027007826
Pseudodiploria164425,0.317830373258262
Pseudodiploria164428,-1.29905432370166
Pseudodiploria164433,-0.657472701023296
Pseudodiploria164434,-1.20732434107921
Pseudodiploria164436,-2.0119631757918
Pseudodiploria164437,-0.281091701242685
Pseudodiploria164440,-0.791415429848238
Pseudodiploria164442,-1.29700292349055
Pseudodiploria164443,0.4459924827205
Pseudodiploria164444,-0.862983029161972
Pseudodiploria164445,-0.0272421222108171
Pseudodiploria164446,0.314028054457639
Pseudodiploria164447,-1.23806077324321
Pseudodiploria164448,-0.5825219136231
Pseudodiploria164452,1.59819008559813
Pseudodiploria164456,-0.515673361624297
Pseudodiploria164460,-0.457872957567479
Pseudodiploria164463,-0.472871261106821
Pseudodiploria164466,-0.160307671545458
Pseudodiploria164472,-0.826876849500158
Pseudodiploria164475,0.798895257306736
Pseudodiploria164478,0.998832165950983
Pseudodiploria164479,-1.13579076143744
Pseudodiploria164493,-0.458499018021209
Pseudodiploria164495,-1.26497145468281
Pseudodiploria164496,-1.88456032131622
Pseudodiploria164497,0.334922261943684
Pseudodiploria164503,-0.121692308412998
Pseudodiploria164505,-0.192435281951932
Pseudodiploria164506,-0.948439806001854
Pseudodiploria164508,0.702423926597406
Pseudodiploria164511,0.398595327843974
Pseudodiploria164516,0.329011855606865
Pseudodiploria164518,0.034435500230837
Pseudodiploria164519,-0.484326246950097
Pseudodiploria164524,0.465572934453638
Pseudodiploria164525,-2.32582867474087
Pseudodiploria164530,-1.5514814677573
Pseudodiploria164531,0.698860271864507
Pseudodiploria164539,-0.329277433945843
Pseudodiploria164541,0.60541770654844
Pseudodiploria164543,-0.188390327582079
Pseudodiploria164546,-0.0645664343370289
Pseudodiploria164549,-0.0758652301224083
Pseudodiploria164550,-1.5379447433919
Pseudodiploria164551,-1.55201894657639
Pseudodiploria164556,-0.915686088304487
Pseudodiploria164564,0.00325145120135702
Pseudodiploria164565,2.08914686937104
Pseudodiploria164566,-0.254449017209229
Pseudodiploria164570,-0.0816374299400292
Pseudodiploria164572,0.753247831811564
Pseudodiploria164582,-2.12273773519542
Pseudodiploria164583,-1.17663668254826
Pseudodiploria164586,-2.15000082757521
Pseudodiploria164590,0.0666596921843592
Pseudodiploria164592,-0.187042183243775
Pseudodiploria164595,0.0955551163609605
Pseudodiploria164599,-0.858169382465594
Pseudodiploria164608,0.699375631670547
Pseudodiploria164612,0.413234227669457
Pseudodiploria164622,-0.144360839768235
Pseudodiploria164624,1.11293663162617
Pseudodiploria164625,-1.63169491336705
Pseudodiploria164627,-0.567756450351154
Pseudodiploria164628,-0.0419443936139708
Pseudodiploria164629,-0.446356581490062
Pseudodiploria164633,0.850009817409049
Pseudodiploria164634,-0.38420137766355
Pseudodiploria164639,0.182468682614871
Pseudodiploria164646,-1.54533679335203
Pseudodiploria164647,-0.584412266989217
Pseudodiploria164649,-0.421036606149046
Pseudodiploria164650,-1.67350180319709
Pseudodiploria164652,-1.60708573643949
Pseudodiploria164655,0.178252561701422
Pseudodiploria164657,-1.37654315905931
Pseudodiploria164660,-1.23052288129403
Pseudodiploria164663,0.0615000575900018
Pseudodiploria164668,-1.66732139199995
Pseudodiploria164672,-1.4230545545281
Pseudodiploria164673,-0.691260358615586
Pseudodiploria164674,-1.00441908010322
Pseudodiploria164677,-0.49650940833598
Pseudodiploria164681,-0.00198367661541931
Pseudodiploria164683,0.399777137869248
Pseudodiploria164689,-0.610697731802248
Pseudodiploria164694,-1.51967590449798
Pseudodiploria164696,-1.11767907259042
Pseudodiploria164697,1.46592945838904
Pseudodiploria164699,-0.434401097379843
Pseudodiploria164703,-1.32467912648047
Pseudodiploria164706,-0.751273742419693
Pseudodiploria164717,-1.87164214429536
Pseudodiploria164719,-0.0440098370648173
Pseudodiploria164721,-0.164321388209438
Pseudodiploria164723,0.891529639385965
Pseudodiploria164724,-1.28441423182851
Pseudodiploria164727,0.430042418828324
Pseudodiploria164728,-1.38582186730684
Pseudodiploria164729,-0.887303619090783
Pseudodiploria164732,-0.456459508620478
Pseudodiploria164735,-1.16132091888643
Pseudodiploria164736,-1.54485034271746
Pseudodiploria164747,-0.192395031876016
Pseudodiploria164748,0.292210948645299
Pseudodiploria164749,-2.37265785026738
Pseudodiploria164754,-0.527972590719477
Pseudodiploria164757,-0.676644863520774
Pseudodiploria164759,-2.22932907349839
Pseudodiploria164762,-0.502730888049017
Pseudodiploria164764,0.00335339841586013
Pseudodiploria164765,-0.457492271852756
Pseudodiploria164767,-1.64744672984773
Pseudodiploria164768,-0.395712496217907
Pseudodiploria164772,0.0294522626978501
Pseudodiploria164777,-0.486417044105486
Pseudodiploria164779,-2.16147668023388
Pseudodiploria164780,0.287609199625583
Pseudodiploria164788,-1.14742006593302
Pseudodiploria164791,-0.632466187028017
Pseudodiploria164794,-0.557083889642117
Pseudodiploria164795,0.279665485754831
Pseudodiploria164798,-0.407165178969807
Pseudodiploria164801,-0.0301999363191914
Pseudodiploria164806,-2.82533829985798
Pseudodiploria164810,-0.512783228118725
Pseudodiploria164812,-0.0526930518023002
Pseudodiploria164813,-0.921308939212466
Pseudodiploria164818,-0.779899161515276
Pseudodiploria164820,-0.987298377885496
Pseudodiploria164826,-3.83409248751292
Pseudodiploria164833,-1.23067450952831
Pseudodiploria164835,-1.26109326349313
Pseudodiploria164837,-0.596835059010288
Pseudodiploria164839,-0.873980366813173
Pseudodiploria164848,-1.69485430502065
Pseudodiploria164853,0.462798576400243
Pseudodiploria164857,-0.300590024333647
Pseudodiploria164858,0.590673784141275
Pseudodiploria16486,-0.0396075906838153
Pseudodiploria164867,-2.79036957358419
Pseudodiploria164868,0.311254863592957
Pseudodiploria164869,-0.638909918621373
Pseudodiploria164872,-1.50856538543851
Pseudodiploria164874,-0.0787454425889574
