gene,lfc
Pseudodiploria1,0.770787770677466
Pseudodiploria164216,0.136166299244088
Pseudodiploria164218,-0.73966624215508
Pseudodiploria164226,1.40512635228718
Pseudodiploria164227,-1.30344010594809
Pseudodiploria164230,0.838425941698075
Pseudodiploria164233,0.559517215379477
Pseudodiploria164235,-0.109516931890471
Pseudodiploria164241,-0.668431630680144
Pseudodiploria164250,-1.69033934604257
Pseudodiploria164251,0.233332029125427
Pseudodiploria164254,-0.31628579161574
Pseudodiploria164258,-0.159726576189715
Pseudodiploria164259,0.738816236596132
Pseudodiploria164262,-0.219279141082628
Pseudodiploria164264,0.378970698862237
Pseudodiploria164269,0.0238252654140476
Pseudodiploria164274,-0.946645971892337
Pseudodiploria164278,-0.837912631400939
Pseudodiploria164285,0.292277413829182
Pseudodiploria164294,0.310043826026085
Pseudodiploria164296,-0.230436745008981
Pseudodiploria164300,-0.648372707335696
Pseudodiploria164302,-0.18456085056229
Pseudodiploria164304,-1.3104885864054
Pseudodiploria164305,-0.380490619266127
Pseudodiploria164306,-1.06596729554829
Pseudodiploria164308,-0.529172198781437
Pseudodiploria164312,0.314168979284056
Pseudodiploria164314,0.0765899869979531
Pseudodiploria164318,-0.0407354090230907
Pseudodiploria164324,-1.78152256471381
Pseudodiploria164325,-1.33000398173521
Pseudodiploria164330,-0.155716181873918
Pseudodiploria164333,-1.37136613905434
Pseudodiploria164334,-0.892328193859152
Pseudodiploria164335,0.0765543079454948
Pseudodiploria164342,-0.116422249496311
Pseudodiploria164343,-0.0046589351191972
Pseudodiploria164349,0.00728606378898916
Pseudodiploria164353,-0.471870208612942
Pseudodiploria164358,-0.865027131731752
Pseudodiploria164360,-0.415949279191271
Pseudodiploria164361,0.0625526449374326
Pseudodiploria164362,-0.783826439431703
Pseudodiploria164366,-0.402035450092307
Pseudodiploria164371,-0.946049827145992
Pseudodiploria164382,0.713937047203037
Pseudodiploria164389,0.72804745581213
Pseudodiploria164393,0.971629591266554
Pseudodiploria164395,2.22867785817504
Pseudodiploria164401,1.04289299949264
Pseudodiploria164407,-0.463850192235285
Pseudodiploria164408,-0.792772027725752
Pseudodiploria164412,-0.597699668931683
Pseudodiploria164416,0.62349677713709
Pseudodiploria164425,-0.411537813444297
Pseudodiploria164428,-1.19551744480339
Pseudodiploria164433,1.08973716376129
Pseudodiploria164434,-1.3758837171349
Pseudodiploria164436,0.14154444408458
Pseudodiploria164437,-0.495047923246734
Pseudodiploria164440,0.195088437298394
Pseudodiploria164442,1.40912072939142
Pseudodiploria164443,0.0578333765893658
Pseudodiploria164444,-0.541983334087143
Pseudodiploria164445,-0.0450822081806994
Pseudodiploria164446,-0.272094030665732
Pseudodiploria164447,-0.418977150727953
Pseudodiploria164448,-0.694219422915124
Pseudodiploria164452,-0.466593756550299
Pseudodiploria164456,0.0903430184487968
Pseudodiploria164460,0.114827644592621
Pseudodiploria164463,-0.922548205856177
Pseudodiploria164466,0.0287162574643586
Pseudodiploria164472,0.587753357067287
Pseudodiploria164475,0.834365391587387
Pseudodiploria164478,0.893403313967987
Pseudodiploria164479,-1.12086753478992
Pseudodiploria164493,-0.176595108523067
Pseudodiploria164495,-0.327432129774626
Pseudodiploria164496,-0.677693164469658
Pseudodiploria164497,-0.543667301492368
Pseudodiploria164503,0.0982965528204883
Pseudodiploria164505,1.65261796687403
Pseudodiploria164506,0.0743350740009869
Pseudodiploria164508,-0.520810262388447
Pseudodiploria164511,-1.57239861987856
Pseudodiploria164516,0.156944901192935
Pseudodiploria164518,-0.211983650556526
Pseudodiploria164519,-0.395990114624869
Pseudodiploria164524,-0.553231552389068
Pseudodiploria164525,-1.09528493277371
Pseudodiploria164530,0.0458062183653333
Pseudodiploria164531,0.236134170501912
Pseudodiploria164539,-0.655834647171269
Pseudodiploria164541,-0.134793787642549
Pseudodiploria164543,-0.325975526066753
Pseudodiploria164546,-0.0581950357300578
Pseudodiploria164549,-0.433429675728736
Pseudodiploria164550,0.451360159497232
Pseudodiploria164551,-0.988845298436563
Pseudodiploria164556,0.19822189434876
Pseudodiploria164564,-0.679397854263234
Pseudodiploria164565,-0.102373691991345
Pseudodiploria164566,-0.372187048616464
Pseudodiploria164570,-0.307461613376432
Pseudodiploria164572,-0.571462478635935
Pseudodiploria164582,-0.800480987606917
Pseudodiploria164583,0.164443801757327
Pseudodiploria164586,-0.414473166242968
Pseudodiploria164590,-0.496270734064188
Pseudodiploria164592,1.56452442720982
Pseudodiploria164595,-0.742307502743105
Pseudodiploria164599,-0.46026617030732
Pseudodiploria164608,-2.21369937986482
Pseudodiploria164612,-0.111797131928174
Pseudodiploria164622,-1.10569850901996
Pseudodiploria164624,-0.281055257163457
Pseudodiploria164625,0.923429394175824
Pseudodiploria164627,1.08050337287094
Pseudodiploria164628,0.266374257382367
Pseudodiploria164629,-2.32495235979315
Pseudodiploria164633,-0.388870612532544
Pseudodiploria164634,-1.69022735754651
Pseudodiploria164639,-2.109422077009
Pseudodiploria164646,-0.772435167322421
Pseudodiploria164647,0.361660762217818
Pseudodiploria164649,0.341169874402724
Pseudodiploria164650,-0.510246036198453
Pseudodiploria164652,-0.145086772972662
Pseudodiploria164655,0.31525115221746
Pseudodiploria164657,0.365848602412482
Pseudodiploria164660,0.44859516770219
Pseudodiploria164663,-0.26684459793522
Pseudodiploria164668,-1.33188079468788
Pseudodiploria164672,-0.251892391423664
Pseudodiploria164673,-0.721235564811931
Pseudodiploria164674,0.289729297926284
Pseudodiploria164677,0.416474970040168
Pseudodiploria164681,-0.395102110077374
Pseudodiploria164683,-0.490016193942947
