gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Pseudodiploria192756,NA,10.175201401999248,-1.177131077291439,0.3212477162981425,-3.664247300668656,2.480670168371665e-4,0.03823935647301735,Variable vs Initial
Pseudodiploria193009,axonogenesis involved in innervation,24.432417584884433,-1.5030262639130378,0.3272188976791562,-4.593335759558671,4.3621635994808955e-6,0.00180383821681546,Variable vs Initial
Pseudodiploria193157,guanyl-nucleotide exchange factor activity,5.844084216184544,1.184859536032756,0.3118717896455646,3.799187920713581,1.4517098827146702e-4,0.02549545969288033,Variable vs Initial
Pseudodiploria193327,NA,2.2859974368010527,2.1004179674051975,0.5429298758508035,3.86867266074411,1.094294337431053e-4,0.02130198946623025,Variable vs Initial
Pseudodiploria197058,NA,9.910842691046865,1.1105845284650038,0.24480514347767457,4.53660618681521,5.716671204326821e-6,0.00222310454238738,Variable vs Initial
Pseudodiploria197566,NA,9.370294810497317,-1.005049531421534,0.25966231153240915,-3.8706022660361743,1.085668003510952e-4,0.02130198946623025,Variable vs Initial
Pseudodiploria197583,NA,4.131015241410777,1.6076715631573808,0.3791355104928099,4.240361344859754,2.231602500939161e-5,0.00650870779425701,Variable vs Initial
Pseudodiploria197663,RNA-directed 5'-3' RNA polymerase activity,6.664284951152111,1.247974731442152,0.279029285834517,4.472558239575914,7.728934070976705e-6,0.00293573674840145,Variable vs Initial
Pseudodiploria199221,NA,42.7931087056713,-3.2980962281692747,0.6504141909692097,-5.070763021413542,3.962239008733283e-7,2.813706509984379e-4,Variable vs Initial
Pseudodiploria200917,NA,6.843348359397944,-1.5146626441190278,0.36893250368672825,-4.10552778349173,4.033927933815235e-5,0.01042520553174732,Variable vs Initial
Pseudodiploria201832,NA,2.334563959256946,1.5694205907707368,0.437199124141354,3.589715770481087,3.310387190259853e-4,0.04472320688480755,Variable vs Initial
Pseudodiploria201995,protein kinase regulator activity,4.681973887830053,-1.5936495099839758,0.4461329730983695,-3.57214016017728,3.540758132484543e-4,0.04511269757998956,Variable vs Initial
Pseudodiploria202916,Solute carrier family 12,6.809743191354578,1.0313825077593055,0.28042033659604293,3.677987553538439,2.3508142811693336e-4,0.03691908620609493,Variable vs Initial
Pseudodiploria205124,NA,27.249125261046807,-1.067150681359313,0.24438483101243141,-4.366681339992944,1.2614856000444418e-5,0.00412076886110517,Variable vs Initial
Pseudodiploria205158,NA,1.7885068212948083,-2.540883948008286,0.6808359377720038,-3.732006210370125,1.899608171118484e-4,0.0310263002588782,Variable vs Initial
Pseudodiploria205213,Zinc finger protein,3.5059669311124324,1.3116508360781824,0.3586695217487213,3.6569899490849576,2.551943828787664e-4,0.03823935647301735,Variable vs Initial
Pseudodiploria293394,NA,4.346807098785049,-1.4181946641446268,0.3955956189518671,-3.584960490467872,3.371292377865897e-4,0.04476692553470219,Variable vs Initial
Pseudodiploria37249,NA,6.22574855753294,-1.0809373541292029,0.28265301764852846,-3.8242554886617897,1.3116784476944666e-4,0.02434505009794741,Variable vs Initial
Pseudodiploria54417,NA,12.302383620951836,2.1700198756793907,0.6141137076619895,3.533579935775962,4.099720956354151e-4,0.04789792969269699,Variable vs Initial
Pseudodiploria62723,NA,3.818317913752088,1.768813727409087,0.44827376244017386,3.9458337195123057,7.952278830803934e-5,0.0177341756497826,Variable vs Initial
Pseudodiploria74531,NA,4.162747383236654,1.3000348958245886,0.35719125030210724,3.639604538815096,2.730570683146225e-4,0.04054400997075208,Variable vs Initial
Pseudodiploria84865,cellular macromolecule catabolic process,3.632802527603724,4.688836093076759,0.8882374399617626,5.278809338726599,1.300260112043753e-7,1.0112927814290771e-4,Variable vs Initial
Pseudodiploria95707,NA,11.57065794724707,-1.3996784476326118,0.277817089975586,-5.038129395695609,4.701036039579879e-7,2.8437785790540063e-4,Variable vs Initial
