Df,SumOfSqs,R2,F,Pr(>F)
2,207448986.66468433,0.10989450121724086,2.621870438261947,9.99999000001e-7
2,137372287.88069585,0.07277191034016403,1.7361971558481533,0.001114998885001115
39,1542889069.1650527,0.8173335884425951,NA,NA
43,1887710343.710433,1,NA,NA
