Time,T1,T2,T3,T4,T5,T6,T7,T8,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
7/20/2022 15:05:09.157,28.02113,28.034833,31.965773,32.032486,28.053667,28.008312,28.027605,28.025359,27.092859,28.011033,28.006165,28.008115,27.176684,27.18783,27.134362,27.175979
7/20/2022 15:10:11.759,28.020851,28.02449,32.032273,31.987787,28.039718,27.993544,27.993675,28.021687,27.091417,28.005116,28.019966,28.036046,27.177668,27.187109,27.132461,27.178913
7/20/2022 15:15:12.092,28.00269,28.008574,31.983951,31.972018,28.013508,28.021409,28.013869,28.008115,27.090564,28.013426,28.004378,27.996166,27.175783,27.184716,27.133854,27.188109
7/20/2022 15:20:09.768,28.015049,27.995511,31.974674,32.024323,27.993232,28.003919,28.031571,27.996805,27.097416,28.001526,27.99474,28.032506,27.176963,27.187044,27.143738,27.189404
7/20/2022 15:25:06.931,28.018983,28.042242,32.01875,32.016209,28.054109,28.018786,28.01223,28.048389,27.099481,28.012558,28.025949,28.009328,27.184732,27.174816,27.149049,27.184814
7/20/2022 15:30:06.775,27.995986,28.034653,31.971232,31.969724,28.054306,28.029457,28.021163,28.047668,27.098416,27.998953,28.033883,28.03085,27.186322,27.171783,27.164129,27.181962
7/20/2022 15:35:11.430,28.020147,28.022671,31.998097,31.991147,28.024146,28.006165,28.007624,28.028818,27.094875,28.026359,28.024671,28.014901,27.190814,27.166899,27.163473,27.180372
7/20/2022 15:40:10.211,28.00728,28.007329,32.016455,32.032043,28.00269,28.017868,28.021851,28.011689,27.101055,28.009165,27.995527,28.011984,27.189781,27.158916,27.160932,27.182438
7/20/2022 15:45:08.778,28.002165,27.995937,31.961954,31.986443,28.013,28.000067,28.01754,28.00028,27.105677,28.00687,28.021589,28.027359,27.184995,27.169898,27.166702,27.18093
7/20/2022 15:50:09.188,28.003837,28.04829,31.997835,31.977624,28.061322,28.001411,28.013869,28.030424,27.101481,28.012525,28.035161,27.984233,27.192289,27.166604,27.1678,27.19478
7/20/2022 15:55:07.431,28.004329,28.048094,32.024618,32.028486,28.049143,28.002444,28.036013,28.020868,27.101416,28.004493,28.021753,28.056126,27.181454,27.168128,27.162424,27.168374
7/20/2022 16:00:11.772,28.012885,28.033047,31.963724,32.014209,28.02349,28.007066,27.999412,27.996904,27.104432,28.034587,28.005034,28.014098,27.183765,27.169587,27.170357,27.050914
7/20/2022 16:05:11.057,28.006804,28.012525,32.001014,31.958823,27.996805,28.005181,28.014066,28.000412,27.104317,28.012,28.012164,27.994003,27.176701,27.176127,27.183896,27.010739
7/20/2022 16:10:07.298,28.01105,27.998133,32.02588,31.99649,28.024081,28.010591,28.041668,28.029473,27.105907,27.998346,28.02808,28.057535,27.189076,27.163145,27.180667,27.009001
7/20/2022 16:15:08.265,28.006821,28.009001,31.95507,32.031158,28.056109,28.015016,27.998297,28.022146,27.096006,28.028572,28.026654,28.016328,27.191813,27.168669,27.174783,27.02218
7/20/2022 16:20:06.973,28.002723,28.056011,31.994851,32.007784,28.025621,28.013443,28.029998,27.993576,27.104645,28.013557,28.007657,28.037751,27.180897,27.167325,27.184749,27.023573
7/20/2022 16:25:11.900,28.000231,28.044209,32.023634,31.965855,27.996724,27.992954,27.99138,28.041767,27.103645,28.003837,27.999035,28.029326,27.187847,27.162784,27.190289,27.040801
7/20/2022 16:30:10.446,28.018458,28.02926,31.969805,32.002801,28.014557,28.016049,28.025966,28.041865,27.096449,28.007165,28.032391,28.00705,27.177619,27.159096,27.176701,27.038506
7/20/2022 16:35:12.063,28.02808,28.007755,32.007046,32.023143,28.052946,28.004198,28.027277,28.019475,27.090892,28.010787,28.021261,28.049143,27.177782,27.161588,27.178291,27.041538
7/20/2022 16:40:10.108,28.008214,27.994724,32.015914,31.968494,28.045914,28.013918,28.009328,28.002051,27.087204,28.006493,28.008984,28.023704,27.177291,27.158129,27.173029,27.048209
7/20/2022 16:45:10.534,28.006935,28.039882,31.96674,31.975444,28.003591,28.000117,28.039734,28.025048,27.080877,28.013967,27.999526,27.993363,27.170226,27.150852,27.172127,27.047373
7/20/2022 16:50:08.286,28.021802,28.055781,32.016881,32.027273,27.983315,28.020409,27.995101,28.041947,27.078435,28.002264,28.040521,28.042455,27.168882,27.155802,27.169456,27.050816
7/20/2022 16:55:08.035,28.000903,28.045684,32.018045,31.994458,28.053749,28.01677,28.021032,28.03544,27.081238,28.015606,28.036095,28.005099,27.173373,27.145524,27.168669,27.052537
7/20/2022 17:00:08.412,28.012574,28.022458,31.957938,31.969461,28.060584,27.995166,28.040931,28.002362,27.071321,27.997379,28.01754,28.032997,27.166636,27.138657,27.164506,27.057733
7/20/2022 17:05:07.883,28.022835,28.001674,31.999506,31.998966,28.028244,28.026851,28.001313,28.010902,27.075091,28.007247,27.999215,28.041177,27.157425,27.136985,27.167423,27.063257
7/20/2022 17:10:10.553,27.995937,28.009181,32.018012,32.037305,27.996019,28.002133,28.031129,28.026851,27.062962,28.003346,28.016164,28.008329,27.150393,27.126347,27.159457,27.059077
7/20/2022 17:15:10.780,28.005132,28.073009,31.963331,31.975969,28.016032,28.004427,28.020179,28.014557,27.060191,28.005919,28.025097,28.042226,27.147442,27.131231,27.166604,27.065027
