Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/25/2022 14:05:06.516,27.987741,28.013885,28.025933,28.024277,28.049438,27.998969,27.998986,28.040931,27.042358,27.049357,29.976298,27.020836,27.011477,27.054241,27.061372,27.005461
4/25/2022 14:10:12.021,28.012033,27.979677,27.990462,28.045783,28.04216,28.048717,28.0259,28.011656,27.025639,27.022819,29.699712,26.997298,27.073681,27.014116,27.078763,26.995774
4/25/2022 14:15:07.434,28.020753,28.042947,28.002428,28.022573,27.996871,28.028621,28.04016,27.977579,26.985841,26.98684,28.814845,27.057274,27.073157,26.982169,27.049996,27.031933
4/25/2022 14:20:10.093,27.990937,28.026228,28.057273,27.995986,27.980791,27.986594,27.979365,28.034112,27.029097,27.026671,27.927979,27.039375,27.038948,27.045931,27.024917,27.070584
4/25/2022 14:25:12.027,28.021704,27.989888,28.033932,28.019655,28.039111,28.032457,28.06442,28.037882,27.074911,27.069682,27.110054,27.019787,27.010018,27.03844,26.999511,27.065371
4/25/2022 14:30:12.561,28.002313,28.052683,27.990134,28.051634,28.053634,28.045717,28.021638,28.011836,27.058405,27.054323,26.683913,26.988348,26.984972,26.991987,27.008952,27.045931
4/25/2022 14:35:11.644,28.016786,28.04098,28.016737,28.029604,28.021573,28.016426,27.981283,27.975038,27.043751,27.027147,26.71727,27.050816,27.04121,27.009575,27.059814,27.021016
4/25/2022 14:40:11.348,27.990954,27.99592,28.041767,27.998625,27.97712,27.97889,28.044996,28.037194,27.02159,26.997462,26.842646,27.057028,27.070403,27.046193,27.052602,27.00946
4/25/2022 14:45:11.123,28.016475,28.031735,28.019786,27.994855,28.005198,28.019114,27.995396,28.052733,26.988447,26.999085,26.969564,27.031867,27.051586,27.016033,27.035441,26.999872
4/25/2022 14:50:08.149,27.996379,28.05147,27.984217,28.050061,28.046979,28.051798,28.031555,28.014377,27.010854,27.070239,27.073714,27.010034,27.018853,26.985037,26.995774,27.084614
4/25/2022 14:55:09.352,28.030244,28.005772,28.007001,28.052093,28.042275,28.025212,28.024917,27.987987,27.07196,27.070108,27.086958,26.9942,26.993315,27.046636,26.992381,27.090106
4/25/2022 15:00:12.176,28.000838,27.993265,28.061158,28.019343,27.996937,27.981381,27.97989,28.032047,27.074435,27.041718,27.065125,27.071715,27.034162,27.049767,27.060437,27.077271
