gene,Fish_kME
Acropora580,0
Acropora581,0
Acropora582,0.506672611345205
Acropora584,0.242989335919623
Acropora587,0
Acropora588,0.123409393974425
Acropora594,0
Acropora596,0.147536518594589
Acropora601,0
Acropora602,0.875859915082324
Acropora603,0
Acropora605,0.81328807738002
Acropora607,0
Acropora608,0
Acropora609,0
Acropora610,0
Acropora611,0
Acropora612,0
Acropora613,0
Acropora614,0
Acropora615,0.416957519446251
Acropora616,0
Acropora617,0
Acropora619,0.783089707131257
Acropora620,0
Acropora624,0.506538094004935
Acropora625,0
Acropora626,0
Acropora627,0
Acropora628,0
Acropora629,0
Acropora631,0.316483940285516
Acropora632,0.191637504005775
Acropora633,0
Acropora636,0
Acropora639,0
Acropora640,0
Acropora641,0.402066444400397
Acropora644,0.698648580044874
Acropora647,0.533678453897774
Acropora648,0
Acropora649,0
Acropora650,0
Acropora651,0
Acropora658,0.0491543899015287
Acropora659,0
Acropora667,0
Acropora669,0
Acropora670,0.573480524626446
Acropora671,0.430239000243937
Acropora672,0.331443319282037
Acropora674,0
Acropora675,0
Acropora677,0
Acropora678,0.841515730255196
Acropora679,0
Acropora680,0
Acropora681,0
Acropora682,0
Acropora683,0.900053178998365
Acropora684,0.448439447384092
Acropora688,0
Acropora689,0.55455682954465
Acropora690,0
Acropora692,0.641874228134987
Acropora695,0.230108163430977
Acropora696,0
Acropora698,0
Acropora700,0.322806879246552
Acropora703,0
Acropora706,0
Acropora707,0
Acropora710,0
Acropora711,0
Acropora712,0
Acropora713,0
Acropora716,0
Acropora717,0.564541570905163
Acropora719,0.925584816828886
Acropora720,0
Acropora724,0
Acropora725,0.499697164829592
Acropora726,0.160511639551244
Acropora727,0.308079355823753
Acropora728,0.476170134189327
Acropora729,0
Acropora730,0
Acropora731,0
Acropora732,0.420873290998768
Acropora734,0
Acropora735,0.602555599000006
Acropora736,0
Acropora737,0
Acropora739,0
Acropora740,0
Acropora744,0.250730949285939
Acropora745,0
Acropora746,0
Acropora747,0.11658047829297
Acropora748,0
Acropora750,0
Acropora751,0
Acropora753,0
Acropora754,0
Acropora755,0
Acropora756,0
Acropora757,0.232173761904493
Acropora758,0
Acropora759,0.880319472759455
Acropora760,0
Acropora761,0
Acropora763,0.515024419713668
Acropora764,0
Acropora765,0
Acropora777,0
Acropora778,0
Acropora779,0
Acropora780,0
Acropora781,0
Acropora785,0
Acropora786,0
Acropora788,0.794852411584298
Acropora790,0
Acropora793,0
Acropora795,0
Acropora796,0.242189498683173
Acropora798,0.372283698864477
Acropora799,0
Acropora800,0
Acropora803,0.463020222714634
Acropora805,0
Acropora806,0
Acropora809,0
Acropora819,0
Acropora832,0
Acropora833,0.439713804106102
Acropora834,0
Acropora838,0.111233460383853
Acropora839,0.894990469688149
Acropora840,0.813822167659666
Acropora841,0.388862734041946
Acropora851,0.666783952768183
Acropora862,0
Acropora864,0.18289434350219
Acropora866,0
Acropora867,0
Acropora868,0
Acropora869,0.709008349721874
Acropora870,0.41935480772013
Acropora873,0
Acropora875,0
Acropora877,0
Acropora878,0
Acropora879,0
Acropora887,0.331051210171385
Acropora903,0
Acropora904,0
Acropora920,0
Acropora925,0
Acropora937,0
Acropora942,0.392375136345699
Acropora961,0
Acropora962,0
Acropora963,0
Acropora968,0
Acropora970,0
Acropora974,0.281897684428809
Acropora976,0.660166960668502
Acropora981,0
Acropora982,0
Acropora983,0.450849684610181
Acropora984,0
Acropora996,0
Acropora997,0.862753327653737
Acropora998,0
Acropora999,0
Acropora1000,0
Acropora1004,0
Acropora1005,0
Acropora1053,0
Acropora1066,0
Acropora1077,0.330445339495511
Acropora1078,0
Acropora1079,0.745706193954932
Acropora1080,0
Acropora1082,0
Acropora1083,0
Acropora1085,0.315930751501789
Acropora1086,0
Acropora1087,0
Acropora1089,0
Acropora1090,0
Acropora1091,0
Acropora1095,0.349990973833759
Acropora1096,0
Acropora1097,0.709696666487234
Acropora1102,0
Acropora1104,0
Acropora1108,0
Acropora1109,0
Acropora1110,0
Acropora1111,0.333624952115579
Acropora1112,0.463299393820641
Acropora1113,0
Acropora1114,0
Acropora1115,0
Acropora1117,0
Acropora1119,0.670123326507771
Acropora1120,0
Acropora1121,0
Acropora1123,0.206410528411517
Acropora1124,0.481679655471868
Acropora1127,0
Acropora1129,0.320028721343978
Acropora1130,0.550050373108509
Acropora1132,0
Acropora1133,0.815436748592149
Acropora1135,0.108492070651873
Acropora1140,0
Acropora1141,0.710241016902219
Acropora1144,0
Acropora1145,0
Acropora1146,0
Acropora1147,0
Acropora1148,0
Acropora1150,0
Acropora1151,0.633645308087644
Acropora1152,0
Acropora1155,0
Acropora1158,0.438418530873227
Acropora1159,0.120544748274449
Acropora1162,0
Acropora1163,0
Acropora1176,0
Acropora1177,0
Acropora1178,0
Acropora1179,0.758314428926751
Acropora1180,0
Acropora1181,0
Acropora1182,0.839481544056779
Acropora1183,0
Acropora1185,0
Acropora1187,0.877294996149942
Acropora1188,0
Acropora1189,0
Acropora1192,0
Acropora1193,0
Acropora1196,0
Acropora1201,0
Acropora1205,0
Acropora1207,0
Acropora1209,0
Acropora1210,0.719430451362854
Acropora1211,0.822576823568564
Acropora1215,0
Acropora1220,0.459970753101131
Acropora1222,0
Acropora1223,0
Acropora1224,0
Acropora1225,0
Acropora1227,0.217231576516337
Acropora1236,0
