term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0007416,synapse assembly,170,0.454055710996347,4,65,0.830123745553696,-181,0.419903473262902,2,89,0.641982918409969
GO:0007419,ventral cord development,-204,0.555479995345354,2,28,0.874962543849354,-299,0.437868792796153,2,30,0.653527388809471
GO:0007422,peripheral nervous system development,280,0.21577083191429,2,66,0.666521052678303,-70,0.718770730911494,3,119,0.856967174014554
GO:0007424,open tracheal system development,89,0.57595513642748,3,136,0.882785970556871,-693,2.57122989386774e-5,5,168,5.10921112531478e-4
GO:0007427,"epithelial cell migration, open tracheal system",31,0.945245190882294,2,16,0.992038661993386,-686,0.0622079627663543,6,33,0.196643456565943
GO:0007447,imaginal disc pattern formation,399,0.106707550512719,2,55,0.512932846876442,314,0.23192289078419,2,65,0.44922879265341
GO:0007474,imaginal disc-derived wing vein specification,864,0.0182362940558395,2,25,0.251845529302796,240,0.489680234587918,2,37,0.698460978171504
GO:0007492,endoderm development,71,0.766839008014004,2,58,0.951207132844099,1,0.996705204158276,4,51,0.998828714649023
GO:0007498,mesoderm development,15,0.930829997720657,3,117,0.991470743915011,-82,0.651231755955639,2,137,0.811838397770551
GO:0007507,heart development,211,0.0373292954166121,2,345,0.334369961408241,-26,0.814062767224591,4,400,0.910438951214305
GO:0007517,muscle organ development,124,0.369709511520152,2,181,0.786526297157223,57,0.61585686580104,4,360,0.792601940631713
GO:0007519,skeletal muscle tissue development,388,0.0710311322868897,2,73,0.444862028272082,115,0.444594854933652,2,203,0.659460680034842
GO:0007525,somatic muscle development,333,0.173956979185929,3,56,0.619566799533625,140,0.637340412317777,4,51,0.802712861327191
GO:0007528,neuromuscular junction development,339,0.0873505576300843,4,86,0.47649729187211,-21,0.925294935550619,4,92,0.964197480309302
GO:0007530,sex determination,987,8.911708484587e-4,2,38,0.0367678241465105,-259,0.34831815560203,3,59,0.5709435074768
GO:0007568,aging,-11,0.909582415126294,2,359,0.987876381995986,-449,2.74907833929471e-7,2,639,1.04041233164304e-5
GO:0007569,cell aging,298,0.292503558145831,2,42,0.732529786550882,417,0.22466415071927,2,38,0.440534050203163
GO:0007584,response to nutrient,131,0.373552966034004,2,159,0.790014349979737,-17,0.911242363973898,3,209,0.959969675027347
GO:0007585,respiratory gaseous exchange,-97,0.795161072626632,2,24,0.957027102246315,-34,0.92218336820798,2,36,0.963165746055322
GO:0007586,digestion,-130,0.679368064015156,2,34,0.924968798907367,-298,0.384464354742706,2,38,0.610323924023373
GO:0007588,excretion,-27,0.918819419891033,3,48,0.99011580620814,254,0.33451853089033,3,65,0.55915136281183
GO:0007591,"molting cycle, chitin-based cuticle",-221,0.462278340666126,2,37,0.834691918268264,-1229,0.00120741473315539,3,31,0.0108312226273012
GO:0007600,sensory perception,73,0.507803133147916,2,290,0.85102679946122,-111,0.342619691550903,4,344,0.564905857671553
GO:0007602,phototransduction,46,0.879532425370508,4,37,0.983051693003867,-180,0.572886839734797,3,44,0.76639823887911
GO:0007606,sensory perception of chemical stimulus,1,0.997891827836738,5,61,0.999710632100998,-306,0.168999249118315,2,91,0.370640598684792
GO:0007608,sensory perception of smell,-153,0.601653440641821,2,39,0.89218914902665,-565,0.099905749424637,6,38,0.266530963453459
GO:0007612,learning,-186,0.244213132456313,2,133,0.69321418596518,-74,0.699711027004316,2,124,0.843546220227403
GO:0007613,memory,-171,0.279387978228116,3,136,0.725398106251486,-291,0.113630969853929,2,134,0.288140138078445
GO:0007616,long-term memory,-304,0.162593278642144,2,71,0.607858647655061,-219,0.419879703372438,2,61,0.641982918409969
GO:0007623,circadian rhythm,-33,0.857589687180801,2,98,0.979249209605357,-131,0.514114317849338,2,113,0.717332628718356
GO:0007626,locomotory behavior,73,0.569561533091659,2,212,0.882269218591892,121,0.384118320464036,2,237,0.610323924023373
GO:0007631,feeding behavior,163,0.451335704545286,2,72,0.829693483414803,403,0.0936901946945279,2,78,0.255267019823743
GO:0007632,visual behavior,-69,0.779919216430603,3,55,0.953233447614013,153,0.574873718530539,2,60,0.768164592007474
GO:0007635,chemosensory behavior,150,0.435546732654266,2,92,0.823586171555445,-228,0.309038161466615,2,90,0.53318335492556
GO:0007638,mechanosensory behavior,-51,0.894021094946118,2,23,0.984073077163644,220,0.381925452290911,2,71,0.608388505549793
GO:0008033,tRNA processing,75,0.7258598013961,2,74,0.939312113677515,405,0.29384214202716,2,30,0.518483289242562
GO:0008037,cell recognition,-118,0.467790580123813,2,128,0.838539748097294,-467,0.00249173350511282,2,192,0.0187694304878596
GO:0008038,neuron recognition,98,0.615502009258038,3,88,0.895345548293034,-474,0.00389770578188173,3,169,0.0262696252258403
