gene,padj
Pseudodiploria166067,0.04421116104655597
Pseudodiploria168526,0.0031902877278467807
Pseudodiploria168627,0.030706718946956195
Pseudodiploria169280,0.004676479657789788
Pseudodiploria170128,0.003135908652652924
Pseudodiploria171009,0.003135908652652924
Pseudodiploria171125,8.38112584683564e-11
Pseudodiploria172199,0.04684476030514739
Pseudodiploria173071,0.005316616766745974
Pseudodiploria173592,0.009084442375782542
Pseudodiploria173599,0.02486779758859806
Pseudodiploria174030,4.3786060841710536e-4
Pseudodiploria174955,0.02232792689165957
Pseudodiploria175067,0.04840944160378168
Pseudodiploria176490,0.03718440684103418
Pseudodiploria177409,0.021050095987930482
Pseudodiploria177825,0.0030584239817839694
Pseudodiploria178113,0.04457298678332071
Pseudodiploria178481,0.018614322209504673
Pseudodiploria178945,0.04851289618800744
Pseudodiploria179187,0.04535570273008408
Pseudodiploria179414,0.003716410850358959
Pseudodiploria179579,0.038287053198634194
Pseudodiploria179906,0.043152740575937265
Pseudodiploria180127,0.030706718946956195
Pseudodiploria180345,0.0015347186548905838
Pseudodiploria180839,0.031117037413559992
Pseudodiploria181543,3.0163863650084147e-4
Pseudodiploria181945,0.03718440684103418
Pseudodiploria182481,0.030706718946956195
Pseudodiploria182501,0.037636687389456386
Pseudodiploria183459,0.01636828943413038
Pseudodiploria183507,0.018144632712889224
Pseudodiploria183545,0.025313154065334957
Pseudodiploria184992,0.029761948006515895
Pseudodiploria185214,0.04457298678332071
Pseudodiploria186456,0.01571016002182219
Pseudodiploria186504,0.016276317260944563
Pseudodiploria186606,0.018667415642851883
Pseudodiploria186724,0.006815303403586285
Pseudodiploria186945,0.013885456540113117
Pseudodiploria187229,0.0032203052358452723
Pseudodiploria187536,0.00349088385693142
Pseudodiploria187903,0.0018370607871896361
Pseudodiploria188255,0.013305627310125766
Pseudodiploria188308,0.025042321950477585
Pseudodiploria188328,0.005189227332236756
Pseudodiploria188516,0.027184893929113413
Pseudodiploria188626,0.0018366973420264785
Pseudodiploria188951,0.03356850989206831
Pseudodiploria189075,0.04535570273008408
Pseudodiploria189114,0.003135908652652924
Pseudodiploria189137,7.574145872042868e-4
Pseudodiploria189627,0.00946112487907947
Pseudodiploria190079,0.018543406461685404
Pseudodiploria190239,0.014715452242398102
Pseudodiploria190250,0.018236286428957322
Pseudodiploria190386,0.0026452496404854708
Pseudodiploria190775,0.02669789823149011
Pseudodiploria191545,0.04910741381619974
Pseudodiploria191823,6.812666853878149e-10
Pseudodiploria191893,0.03718440684103418
Pseudodiploria191956,0.03167016184159177
Pseudodiploria192334,0.010680349855074376
Pseudodiploria192650,0.01636828943413038
Pseudodiploria192703,0.02753785518976486
Pseudodiploria192713,0.005185609804623286
Pseudodiploria193207,0.04840944160378168
Pseudodiploria193376,0.03718440684103418
Pseudodiploria193907,0.035826580254238787
Pseudodiploria193911,0.04684476030514739
Pseudodiploria193964,0.037636687389456386
Pseudodiploria194293,0.008222181445970684
Pseudodiploria194315,0.02525976688477341
Pseudodiploria195044,0.04840944160378168
Pseudodiploria195168,0.04688067966659557
Pseudodiploria195306,0.03718440684103418
Pseudodiploria195949,0.04457298678332071
Pseudodiploria196053,0.01636828943413038
Pseudodiploria196291,0.002904659840351761
Pseudodiploria196574,0.04910741381619974
Pseudodiploria196595,0.031064231063275306
Pseudodiploria196661,1.5339235370484145e-6
Pseudodiploria196940,0.043152740575937265
Pseudodiploria197325,0.010018839642232963
Pseudodiploria197459,0.022119285105635638
Pseudodiploria197613,0.010680349855074376
Pseudodiploria197974,0.0336201314876893
Pseudodiploria198354,0.0032203052358452723
Pseudodiploria198508,0.029843524836736322
Pseudodiploria198730,0.04457298678332071
Pseudodiploria199164,0.035521528050148896
Pseudodiploria199219,0.010018839642232963
Pseudodiploria199715,2.948451414373088e-4
Pseudodiploria199758,0.024260814482550214
Pseudodiploria199777,0.02172041687769893
Pseudodiploria200175,0.004452243478259448
Pseudodiploria200760,6.812666853878149e-10
Pseudodiploria200923,0.018543406461685404
Pseudodiploria201099,0.04840944160378168
Pseudodiploria201858,0.01086662231325454
Pseudodiploria202195,0.035668692126249534
Pseudodiploria202340,4.3786060841710536e-4
Pseudodiploria202435,0.005189227332236756
Pseudodiploria202763,0.014678135496127447
Pseudodiploria202962,0.004452243478259448
Pseudodiploria203024,0.04684476030514739
Pseudodiploria203132,0.014715452242398102
Pseudodiploria203173,0.0016203957607396
Pseudodiploria203187,0.03356850989206831
Pseudodiploria203200,0.02753785518976486
Pseudodiploria203508,0.04910741381619974
Pseudodiploria203590,0.04910741381619974
Pseudodiploria203722,0.04252320085776155
Pseudodiploria203953,0.009089952308065684
Pseudodiploria204044,0.04684476030514739
Pseudodiploria204150,0.04457298678332071
Pseudodiploria204184,0.043700259267845584
Pseudodiploria204288,0.01777720136499063
Pseudodiploria204376,0.04684476030514739
Pseudodiploria204446,0.023945690561704147
Pseudodiploria204556,0.008222181445970684
Pseudodiploria205001,0.02525976688477341
Pseudodiploria205097,0.0055202663411216685
Pseudodiploria205293,0.04951045476436518
Pseudodiploria205513,0.03718440684103418
Pseudodiploria267186,0.030706718946956195
Pseudodiploria6026,0.02232792689165957
Pseudodiploria63717,0.005880602952018681
Pseudodiploria67436,0.017992648720005156
Pseudodiploria67717,0.0032203052358452723
Pseudodiploria93819,8.3654292955773e-6
