gene,padj
Pseudodiploria165214,0.01773414747132298
Pseudodiploria166380,0.03668208445406926
Pseudodiploria167074,0.04511273000918003
Pseudodiploria167956,0.030167701482666894
Pseudodiploria168212,0.019444902922969305
Pseudodiploria168214,0.0034934168673987753
Pseudodiploria168526,6.3488734633723e-8
Pseudodiploria168627,3.2662641577151436e-8
Pseudodiploria168859,0.003386807571088662
Pseudodiploria169280,0.009148285076466318
Pseudodiploria170580,0.04511273000918003
Pseudodiploria171009,0.0015428384100510306
Pseudodiploria171125,3.4514898271879447e-8
Pseudodiploria171308,0.010425236085605518
Pseudodiploria172053,0.0447231190267278
Pseudodiploria172893,1.327815933817114e-18
Pseudodiploria173531,8.467624727674144e-4
Pseudodiploria173599,3.4514898271879447e-8
Pseudodiploria173906,0.008578417461777066
Pseudodiploria174658,0.042965543576528084
Pseudodiploria174822,0.0032345183088508334
Pseudodiploria175640,0.012422697678874705
Pseudodiploria176070,0.047008796304302776
Pseudodiploria176147,2.191364207698785e-5
Pseudodiploria177399,0.04511273000918003
Pseudodiploria178698,0.012989211065964677
Pseudodiploria178819,0.02130196539836138
Pseudodiploria181543,3.631683938319456e-4
Pseudodiploria183007,0.026218449978642006
Pseudodiploria183218,0.02438577771992124
Pseudodiploria183667,2.176804421039579e-9
Pseudodiploria184094,0.013644093564796437
Pseudodiploria184239,0.017570568177888168
Pseudodiploria184632,0.00566595449707414
Pseudodiploria184779,0.00573598143902879
Pseudodiploria184992,0.003421329247498301
Pseudodiploria185010,0.02438577771992124
Pseudodiploria185310,0.01829892124042886
Pseudodiploria186504,0.044473892618553765
Pseudodiploria186761,0.025413313402213075
Pseudodiploria186793,8.894559010694166e-4
Pseudodiploria186906,5.869644405440425e-7
Pseudodiploria186928,9.535726391049907e-20
Pseudodiploria186945,0.04511273000918003
Pseudodiploria187209,0.006528915929283335
Pseudodiploria187226,1.0748484859462234e-4
Pseudodiploria187229,0.004617820577138253
Pseudodiploria187669,0.01389428988167368
Pseudodiploria187903,0.03481181880200456
Pseudodiploria188308,0.048019518201882674
Pseudodiploria188516,2.8437830288412263e-4
Pseudodiploria188741,0.03823930681961091
Pseudodiploria189114,2.8437830288412263e-4
Pseudodiploria189137,8.467624727674144e-4
Pseudodiploria189627,6.875552066622786e-4
Pseudodiploria190674,0.027177496214875106
Pseudodiploria190873,0.044473892618553765
Pseudodiploria190913,0.026457923774241335
Pseudodiploria191268,0.012750934226118745
Pseudodiploria191546,0.022957682878681794
Pseudodiploria191664,0.026791111284539277
Pseudodiploria191681,0.018959344084655463
Pseudodiploria191823,2.7343377500709175e-5
Pseudodiploria191982,0.003216871445629824
Pseudodiploria192509,2.0711440530079683e-14
Pseudodiploria192650,0.006819709839790745
Pseudodiploria192756,0.03823930681961091
Pseudodiploria192866,0.0010048467417343024
Pseudodiploria193009,0.0018038347766906775
Pseudodiploria193157,0.02549542504607888
