gene,padj
Pseudodiploria167074,0.01747135727433479
Pseudodiploria172893,5.124912326629687e-12
Pseudodiploria178481,0.03685545479282214
Pseudodiploria179906,0.04196855188795277
Pseudodiploria181589,0.04196855188795277
Pseudodiploria183667,0.012897583488486757
Pseudodiploria186543,0.03514895297668939
Pseudodiploria186906,0.03174759511658521
Pseudodiploria186928,1.3466045121793066e-5
Pseudodiploria189075,0.01135436982505131
Pseudodiploria192509,2.257344531041327e-8
Pseudodiploria193272,0.03685545479282214
Pseudodiploria194656,0.012368811511683559
Pseudodiploria195930,3.2657176006250176e-4
Pseudodiploria195980,0.04587755359137023
Pseudodiploria196007,1.0765639134074627e-5
Pseudodiploria197331,0.01135436982505131
Pseudodiploria201046,0.04196855188795277
Pseudodiploria203156,1.5115438268942512e-7
Pseudodiploria203953,0.04442251806000083
Pseudodiploria204184,0.03685545479282214
