Colony,Species,Treatment,Puck,Ft,Fm,fvfmraw,fvfm,max_temp,problem
SI-C,Acervicornis,Control,A48,0.0552,0.0626,0.117,0.117,37.237979,none
BC-8b,Acervicornis,Control,A72,0.2214,0.4506,0.509,0.509,34.194577,none
BC-8b,Acervicornis,Control,A43,0.2209,0.4052,0.455,0.455,28.062485,none
MB-B,Acervicornis,Control,A97,0.1276,0.2326,0.452,0.452,35.166187,none
BC-8b,Acervicornis,Control,A118,0.2312,0.4741,0.512,0.512,30.058009,none
BC-8b,Acervicornis,Control,A138,0.11,0.1222,0.1,0.1,37.237979,none
SI-C,Acervicornis,Control,A120,0.1779,0.2918,0.39,0.39,28.062485,none
BC-8b,Acervicornis,Control,A85,0.1217,0.2488,0.511,0.511,35.166187,none
SI-C,Acervicornis,Control,A78,0.1955,0.3333,0.413,0.413,34.194577,none
BC-8b,Acervicornis,Control,A105,0.1882,0.3768,0.501,0.501,33.051499,none
BC-8b,Acervicornis,Control,A146,0.1525,0.2977,0.488,0.488,35.166187,none
MB-B,Acervicornis,Control,A116,0.1457,0.2659,0.452,0.452,30.058009,none
BC-8b,Acervicornis,Control,A51,0.1315,0.1628,0.192,0.192,36.242635,none
BC-8b,Acervicornis,Control,A148,0.0552,0.0616,0.103,0.103,37.237979,none
SI-C,Acervicornis,Control,A106,0.2043,0.2424,0.157,0.157,36.242635,none
MB-B,Acervicornis,Control,A102,0.1891,0.3783,0.5,0.5,33.051499,none
SI-C,Acervicornis,Control,A95,0.2092,0.3353,0.376,0.376,32.028421,none
SI-C,Acervicornis,Control,A14,0.0386,0.0523,0.262,NA,37.237979,abnormally high w/ low Ft
SI-C,Acervicornis,Control,A123,0.1935,0.3631,0.467,0.467,32.028421,none
MB-B,Acervicornis,Control,A35,0.1237,0.1632,0.243,0.243,36.242635,none
MB-B,Acervicornis,Control,A6,0.2273,0.411,0.447,0.447,28.062485,none
BC-8b,Acervicornis,Control,A80,0.2023,0.4086,0.505,0.505,32.028421,none
SI-C,Acervicornis,Control,A93,0.1769,0.3162,0.44,0.44,28.062485,none
MB-B,Acervicornis,Control,A133,0.1598,0.2942,0.457,0.457,28.062485,none
C,Pclivosa,Control,P95,0.1676,0.2898,0.422,0.422,34.194577,none
C,Pclivosa,Control,P72,0.1564,0.1823,0.142,0.142,37.237979,none
A,Pclivosa,Control,P5,0.1344,0.282,0.523,0.523,30.058009,none
B,Pclivosa,Control,P66,0.195,0.303,0.356,0.356,36.242635,none
C,Pclivosa,Control,P68,0.1755,0.3265,0.463,0.463,33.051499,none
C,Pclivosa,Control,P3,0.1329,0.2151,0.382,0.382,35.166187,none
SI-C,Acervicornis,Control,A12,0.195,0.3436,0.432,0.432,30.058009,none
BC-8b,Acervicornis,Control,A52,0.2317,0.3881,0.403,0.403,30.058009,none
SI-C,Acervicornis,Control,A31,0.1745,0.2913,0.401,0.401,35.166187,none
BC-8b,Acervicornis,Control,A128,0.2009,0.3514,0.428,0.428,28.062485,none
MB-B,Acervicornis,Control,A7,0.2185,0.3729,0.414,0.414,30.058009,none
BC-8b,Acervicornis,Control,A115,0.2087,0.3597,0.42,0.42,28.062485,none
SI-C,Acervicornis,Control,A82,0.1681,0.3065,0.451,0.451,33.051499,none
MB-B,Acervicornis,Control,A33,0.0865,0.0953,0.092,0.092,37.237979,none
BC-8b,Acervicornis,Control,A89,0.0459,0.0523,0.121,0.121,37.237979,none
MB-B,Acervicornis,Control,A100,0.2151,0.4066,0.471,0.471,32.028421,none
BC-8b,Acervicornis,Control,A84,0.1383,0.2537,0.455,0.455,35.166187,none
MB-B,Acervicornis,Control,A150,0.1505,0.2859,0.474,0.474,35.166187,none
MB-B,Acervicornis,Control,A56,0.1598,0.2155,0.259,0.259,36.242635,none
SI-C,Acervicornis,Control,A87,0.1984,0.369,0.462,0.462,34.194577,none
BC-8b,Acervicornis,Control,A70,0.2458,0.4316,0.43,0.43,33.051499,none
BC-8b,Acervicornis,Control,A108,0.2405,0.4619,0.479,0.479,34.194577,none
SI-C,Acervicornis,Control,A34,0.2424,0.4404,0.45,0.45,30.058009,none
SI-C,Acervicornis,Control,A23,0.2097,0.2713,0.227,0.227,36.242635,none
SI-C,Acervicornis,Control,A5,0.1833,0.3324,0.449,0.449,33.051499,none
MB-B,Acervicornis,Control,A75,0.1598,0.2761,0.421,0.421,35.166187,none
BC-8b,Acervicornis,Control,A22,0.2566,0.4702,0.454,0.454,32.028421,none
MB-B,Acervicornis,Control,A25,0.2414,0.4472,0.46,0.46,33.051499,none
MB-B,Acervicornis,Control,A101,0.1373,0.2693,0.49,0.49,34.194577,none
MB-B,Acervicornis,Control,A44,0.2146,0.3842,0.441,0.441,33.051499,none
BC-8b,Acervicornis,Control,A124,0.2478,0.4853,0.489,0.489,32.028421,none
MB-B,Acervicornis,Control,A57,0.2307,0.3915,0.411,0.411,32.028421,none
SI-C,Acervicornis,Control,A119,0.1559,0.2747,0.432,0.432,35.166187,none
MB-B,Acervicornis,Control,A39,0.2395,0.4311,0.444,0.444,32.028421,none
SI-C,Acervicornis,Control,A114,0.1672,0.3177,0.474,0.474,32.028421,none
BC-8b,Acervicornis,Control,A92,0.1818,0.3441,0.472,0.472,34.194577,none
BC-8b,Acervicornis,Control,A81,0.1891,0.3724,0.492,0.492,33.051499,none
MB-B,Acervicornis,Control,A112,0.1549,0.2522,0.386,0.386,34.194577,none
MB-B,Acervicornis,Variable,A74,0.2234,0.4453,0.498,0.498,33.051499,none
BC-8b,Acervicornis,Variable,A45,0.0327,0.0367,0,0,37.237979,none
BC-8b,Acervicornis,Variable,A77,0.1828,0.3627,0.496,0.496,33.051499,none
BC-8b,Acervicornis,Variable,A130,0.1838,0.3289,0.441,0.441,30.058009,none
BC-8b,Acervicornis,Variable,A110,0.1461,0.3011,0.515,0.515,35.166187,none
SI-C,Acervicornis,Variable,A61,0.1251,0.2009,0.377,0.377,35.166187,none
