gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Symbiodinium48098,NA,4.785057778838556,1.0027546324785128,0.2876302935853388,3.486262243031085,4.898205753205153e-4,0.02811096602836347,Variable vs Initial
Symbiodinium50751,NA,4.907574536244249,1.1807918376147375,0.3170276055521334,3.724571037144471,1.9564761590553536e-4,0.01505645147350447,Variable vs Initial
Symbiodinium51623,Conserved hypothetical ATP binding protein,4.149619223968676,1.0725436647195408,0.32172813568120356,3.3336955826030428,8.570039618825899e-4,0.04130355121342556,Variable vs Initial
Symbiodinium51769,NA,3.79116041400244,1.1501970176445862,0.32327185273526354,3.5579869014656063,3.737079443017119e-4,0.02286006630228506,Variable vs Initial
Symbiodinium52251,NA,7.833891366141707,1.0131223340431097,0.21498689512475783,4.712484142138945,2.447151298153479e-6,5.151253482613073e-4,Variable vs Initial
Symbiodinium52835,NA,5.064139588025961,1.0467975111104233,0.32057446255959676,3.26538022633608,0.00109317226439787,0.04756130028143213,Variable vs Initial
Symbiodinium52884,NA,3.3515693473340624,1.3828635837956669,0.3208824998880695,4.30956373213883,1.635769146862059e-5,0.00222994281601747,Variable vs Initial
Symbiodinium53401,NA,3.4726681902329255,1.2282685678907037,0.30081560965772813,4.083127764839875,4.443357740217259e-5,0.00489247866872845,Variable vs Initial
Symbiodinium56639,NA,5.3271830522279,1.0324560147227493,0.2686325711078666,3.843376141860986,1.2135325727064287e-4,0.010556140850464,Variable vs Initial
Symbiodinium5915,NA,3.3760182343921143,1.0949114790147432,0.33184802661792484,3.2994364624484445,9.687915555943364e-4,0.04430441637948028,Variable vs Initial
Symbiodinium59644,DNA-binding transcription factor activity,2343.540678249579,1.0715044073416735,0.20240586751884296,5.293840640474131,1.197738173362173e-7,3.7270487420665536e-5,Variable vs Initial
Symbiodinium61339,NA,13.367019241122147,-1.038745664650464,0.21460929727904424,-4.840170849168022,1.2972755303900877e-6,2.90143780343808e-4,Variable vs Initial
Symbiodinium63887,actin monomer binding,3216.842008359441,1.083804668659379,0.2458903907892895,4.407673944396314,1.044866800209943e-5,0.00154187869878403,Variable vs Initial
Symbiodinium6509,NA,4.467334744645077,1.0053811096149383,0.3014616144577319,3.3350219775854866,8.529265797292815e-4,0.04124591575082748,Variable vs Initial
Symbiodinium74449,Belongs to the eukaryotic ribosomal protein eS8 family,6.0083676096974905,1.4568978018123655,0.3197327016500384,4.556611801963895,5.198537388953464e-6,9.419223314617708e-4,Variable vs Initial
Symbiodinium75213,antioxidant activity,4.898659140149326,1.1344326872649504,0.34140222449784985,3.322862611494481,8.909878553714686e-4,0.04181508249766296,Variable vs Initial
Symbiodinium8320,NA,4.805394194836948,1.0322188699078807,0.2937279231677247,3.514200688772999,4.410794376406487e-4,0.0258754552065092,Variable vs Initial
