Df,SumOfSqs,R2,F,Pr(>F)
2,69192890.31151257,0.06460179961891108,1.5881010445295096,2.47999752000248e-4
2,108698322.33824144,0.10148596491623237,2.4948216278695434,9.99999000001e-7
41,893176322.9248669,0.8339122354648565,NA,NA
45,1071067535.574621,1,NA,NA
