"","Species","ID","Initial","Untreated","Treated"
"1","Pseudodiploria clivosa",3,0,1,0
"2","Pseudodiploria clivosa",4,0,1,0
"3","Pseudodiploria clivosa",6,0,0,1
"4","Pseudodiploria clivosa",8,0,0,1
"5","Pseudodiploria clivosa",15,0,0,1
"6","Pseudodiploria clivosa",18,0,0,1
"7","Pseudodiploria clivosa",24,0,1,0
"8","Pseudodiploria clivosa",26,1,0,0
"9","Pseudodiploria clivosa",28,1,0,0
"10","Pseudodiploria clivosa",29,1,0,0
"11","Pseudodiploria clivosa",33,1,0,0
"12","Pseudodiploria clivosa",38,0,1,0
"13","Pseudodiploria clivosa",39,0,0,1
"14","Pseudodiploria clivosa",40,1,0,0
"15","Pseudodiploria clivosa",45,1,0,0
"16","Pseudodiploria clivosa",49,0,1,0
"17","Pseudodiploria clivosa",50,0,1,0
"18","Pseudodiploria clivosa",52,1,0,0
"19","Pseudodiploria clivosa",55,1,0,0
"20","Pseudodiploria clivosa",58,0,1,0
"21","Pseudodiploria clivosa",64,0,1,0
"22","Pseudodiploria clivosa",67,1,0,0
"23","Pseudodiploria clivosa",69,0,1,0
"24","Pseudodiploria clivosa",70,1,0,0
"25","Pseudodiploria clivosa",75,1,0,0
"26","Pseudodiploria clivosa",76,0,0,1
"27","Pseudodiploria clivosa",77,1,0,0
"28","Pseudodiploria clivosa",79,0,0,1
"29","Pseudodiploria clivosa",91,1,0,0
"30","Pseudodiploria clivosa",94,1,0,0
"31","Pseudodiploria clivosa",96,0,0,1
"32","Pseudodiploria clivosa",101,0,0,1
"33","Pseudodiploria clivosa",103,1,0,0
"34","Pseudodiploria clivosa",105,1,0,0
"35","Pseudodiploria clivosa",109,0,0,1
"36","Pseudodiploria clivosa",111,1,0,0
"37","Pseudodiploria clivosa",115,1,0,0
"38","Pseudodiploria clivosa",120,1,0,0
"39","Pseudodiploria clivosa",124,0,1,0
"40","Pseudodiploria clivosa",126,1,0,0
"41","Pseudodiploria clivosa",128,1,0,0
"42","Pseudodiploria clivosa",130,0,0,1
"43","Pseudodiploria clivosa",135,0,1,0
"44","Pseudodiploria clivosa",148,1,0,0
