chi2,Z,P,P.adjusted,comparisons
26.794487035998944,-2.4878914054060584,0.0064251482237786825,0.17990415026580311,Treated.Acer.28 - Treated.Acer.71
26.794487035998944,-2.5101047215257553,0.006034768135698049,0.1689735077995454,Treated.Acer.28 - Treated.Pcli.28
26.794487035998944,-0.02221331611969695,0.49113889774229036,1,Treated.Acer.71 - Treated.Pcli.28
26.794487035998944,-2.6730023730701995,0.0037587859334473083,0.10524600613652463,Treated.Acer.28 - Treated.Pcli.71
26.794487035998944,-0.18511096766414145,0.42657099966044615,1,Treated.Acer.71 - Treated.Pcli.71
26.794487035998944,-0.16289765154444452,0.4352995099636599,1,Treated.Pcli.28 - Treated.Pcli.71
26.794487035998944,0.3961374708012625,0.34600180843884987,1,Treated.Acer.28 - Untreated.Acer.28
26.794487035998944,2.8840288762073203,0.0019631137471195163,0.054967184919346455,Treated.Acer.71 - Untreated.Acer.28
26.794487035998944,2.906242192327017,0.0018289909793475318,0.05121174742173089,Treated.Pcli.28 - Untreated.Acer.28
26.794487035998944,3.0691398438714623,0.0010733803797671445,0.030054650633480045,Treated.Pcli.71 - Untreated.Acer.28
26.794487035998944,-2.584149108591412,0.004880979025991598,0.13666741272776475,Treated.Acer.28 - Untreated.Acer.71
26.794487035998944,-0.09625770318535366,0.46165795150504935,1,Treated.Acer.71 - Untreated.Acer.71
26.794487035998944,-0.0740443870656567,0.47048753320076536,1,Treated.Pcli.28 - Untreated.Acer.71
26.794487035998944,0.0888532644787878,0.46459926305931293,1,Treated.Pcli.71 - Untreated.Acer.71
26.794487035998944,-2.9802865793926747,0.001439894149071243,0.040317036173994805,Untreated.Acer.28 - Untreated.Acer.71
26.794487035998944,-1.2328390446431805,0.1088179104748739,1,Treated.Acer.28 - Untreated.Pcli.28
26.794487035998944,1.2550523607628776,0.10472987635491764,1,Treated.Acer.71 - Untreated.Pcli.28
26.794487035998944,1.2772656768825748,0.10075423345552478,1,Treated.Pcli.28 - Untreated.Pcli.28
26.794487035998944,1.4401633284270192,0.07491059781761017,1,Treated.Pcli.71 - Untreated.Pcli.28
26.794487035998944,-1.6289765154444429,0.05165899529635947,1,Untreated.Acer.28 - Untreated.Pcli.28
26.794487035998944,1.3513100639482314,0.08829806477386173,1,Untreated.Acer.71 - Untreated.Pcli.28
26.794487035998944,-3.425974826745535,3.062985773149595e-4,0.008576360164818865,Treated.Acer.28 - Untreated.Pcli.71
26.794487035998944,-0.9927690312706129,0.16041126256927368,1,Treated.Acer.71 - Untreated.Pcli.71
26.794487035998944,-0.9710439795253011,0.16576318924126202,1,Treated.Pcli.28 - Untreated.Pcli.71
26.794487035998944,-0.8117269333930143,0.20847416810497935,1,Treated.Pcli.71 - Untreated.Pcli.71
26.794487035998944,-3.813404916203597,6.853263644054312e-5,0.0019189138203352073,Untreated.Acer.28 - Untreated.Pcli.71
26.794487035998944,-0.8986271403742615,0.1844256486975767,1,Untreated.Acer.71 - Untreated.Pcli.71
26.794487035998944,-2.2202344548807305,0.013201428300305188,0.3696399924085453,Untreated.Pcli.28 - Untreated.Pcli.71
