"","lfc"
"K10408",-0.459029218724277
"K13151",-0.449466351244163
"K17776",0.607036503949226
"K07611",-0.272529613550522
"K02202",-0.414010483156006
"K26545",-0.52307856053982
"K00021",0.72647890127111
"K03544",0.563143411472809
"K23804",-0.338324938105964
"K08283",0.224808893612567
"K02207",-0.505556236683942
"K01868",0.604913725843344
"K06252",0.573011604149193
"K16582",-0.426455301027774
"K26437",-0.707343917096715
"K22803",-0.561352797778558
"K09662",0.90480621203174
"K22653",0.489413433462463
"K03950",0.67337696797799
"K12186",0.356209317042323
"K02599",0.756416279728976
"K19352",-0.588488736584687
"K01691",-0.653747479574046
"K20358",-0.247214765946617
"K16477",-0.389661796996911
"K20477",0.504932606386591
"K14294",-0.282928284828425
"K02264",1.01655605731614
"K00030",0.431340730428769
"K00128",-0.721853346279785
"K26499",0.30901350366868
"K22390",0.691720593803481
"K23589",0.918531673836262
"K11251",-1.09323397643982
"K11253",-1.0751914673715
"K11275",-0.992215076763208
"K07369",1.05058958686005
"K00851",1.02478111779262
"K08056",1.15187039855752
"K08958",0.27608344515973
"K00572",-2.72507193980152
"K16605",0.678228217704542
"K23088",-1.43814496655931
"K01183",-1.06832257183399
"K25207",-0.581593426923464
"K13420",-1.28508311930263
"K06841",0.461184880423057
"K16669",-1.29959326753273
"K25636",-0.61248157863538
"K25058",-0.331044770625374
"K05312",-1.33341379149355
"K05087",-0.81700683489704
"K01796",0.806424524890498
"K24166",0.534734179067953
"K00774",1.62171792730767
"K05286",0.567606023073974
"K19984",1.50825485831117
"K05016",0.925994843645782
"K17341",-0.406376534238676
"K22754",-0.718640925679698
"K02920",0.469751864149262
"K01893",0.336816561984866
"K02332",-0.492716678318221
"K11803",0.417617543082594
"K09200",-1.44202048278465
"K11860",-0.36885920519956
"K05869",-0.671384248252013
"K13105",-0.720570053757973
"K10277",0.51132520494749
"K24869",-0.209127315770593
"K09370",0.56478959288807
"K13953",0.912582577557646
"K01204",0.39773637424569
"K18733",0.707918697149318
"K05849",0.422059932128103
"K15183",-0.598156864682905
"K12625",1.05958542439395
"K04368",0.524187244028854
"K14826",-0.315355754573365
"K02880",0.397683708517579
"K22628",-0.551943605313582
"K15620",-0.725940886387833
"K15010",-0.656056267956934
"K13750",-0.686026499720931
"K09097",-0.508927596777856
"K10444",0.83340365349217
"K06478",-0.656846824641475
"K06826",0.46539316226896
"K23543",0.384121524811046
"K13203",-0.397535063878916
"K25856",-1.31114318749082
"K11989",-1.01066767537686
"K11367",-0.54462837242136
"K03953",0.863755642142604
"K17418",1.00830981428027
"K23194",-0.611129604683304
"K11266",0.234204088237198
"K20163",0.608936153306015
"K04266",0.804241557391755
"K06545",-1.02646101812955
"K23311",-0.573861951697782
"K13912",-0.724799209733362
"K23697",-0.476442279417586
"K24473",1.34007255363102
"K00315",0.427027851901203
"K00544",-0.348282317958067
"K04826",1.76309244355032
"K01304",1.03433050711257
"K13884",0.815418268562489
"K18328",0.720149007836606
"K12876",0.532062212658301
"K24762",0.486481921479489
"K11373",-0.487903396181044
"K04497",-1.57031340985247
"K20795",0.686301599105276
"K16459",-0.804425693899393
"K25452",0.637182056258374
"K15293",-0.162513901866504
"K11792",0.626036581698363
"K10373",-0.371386776913222
"K10405",-0.799371999135041
"K04841",-1.03683601146493
"K21232",1.34509671242236
"K05606",0.53121446165709
"K02991",0.198904072702312
"K14842",0.228178202565279
"K20473",-0.342607643717143
"K10595",0.263162575169004
"K09382",-1.95305020282175
"K11590",-0.797877613164224
"K15686",-1.07612879962436
"K20288",0.489946028400693
"K09381",-1.70357084960013
"K09397",-0.986428515818883
"K22614",-0.826118011753227
"K05220",0.544263189603892
"K16848",-0.505616363419776
"K14549",0.490456596446527
"K02958",0.175528018759667
"K19466",-0.695736833141151
"K04523",0.251825020753053
"K06842",-0.425448962067608
"K26229",0.865019334682889
"K14692",0.259783976681362
"K11087",0.376961004773142
"K17936",-0.540562623425449
"K15309",-0.717352049322978
"K04650",-0.524362872478935
"K16606",-0.285545341492921
"K25472",-0.523610540219987
"K04201",0.808498721583931
"K16584",0.281540345309381
"K12397",0.590875148966226
"K25201",1.72854983309844
"K20822",0.57298862181852
"K06240",0.498266590944069
"K17293",0.779372791085237
"K08675",0.411660821902242
"K06761",-0.387496539672066
"K25710",1.80294951026637
"K25709",0.599744441692996
"K14085",0.935202469989437
"K08834",-0.678139386476427
"K17279",-0.727574486587677
"K23544",0.931443937963733
"K08439",-1.38428151170005
"K26392",0.71607632954274
"K07364",0.393009578615501
"K24431",0.701691115232599
"K08582",0.444884733546436
"K23820",-0.492102336425962
"K17201",0.690320482738186
"K03937",0.888897058267863
"K20162",0.537160806290952
"K18274",0.733875770831247
"K24469",-1.10014233859223
"K19901",0.517664685155592
"K02903",0.597105475076386
"K09502",-0.684445485411559
"K24660",0.382761367396507
"K24793",-0.823534424872362
"K03173",-1.01954050960554
"K09490",0.565904354273684
"K10143",-0.271514012222634
"K19801",1.12330050765304
"K25572",0.167580105329728
"K19367",0.438254340210209
"K11997",-0.868533386470999
"K15013",-1.33096645183495
"K07767",-0.523182298858849
"K19502",-1.07685810407776
"K01201",0.543696794430605
"K02503",0.734953610908016
"K24070",0.273734459559732
"K03522",1.20051538984709
"K03068",-0.700550656326109
"K21879",-0.691813240760626
"K08187",0.252029440863872
"K11703",0.914995922524854
"K04142",0.795159755225908
"K10866",-0.670000117112105
"K21440",-0.758603632533825
"K24996",0.607459618463845
"K01310",-1.69144949567712
"K15259",-0.730974236062823
"K15693",0.493995671514944
"K06569",-0.464021661904185
"K09054",-0.416549699296344
"K07178",-0.527201924044057
"K04967",-0.540889931335865
"K08076",1.07855194680544
"K17605",0.762989200016527
"K03691",-0.392392152297847
"K00471",1.3883712405504
"K24175",0.515836388234743
"K19721",-0.38569496083903
"K08517",0.568900013217875
"K09658",0.680781594841034
"K20294",0.562435807042034
"K03679",-0.346150956116985
"K08877",0.609464678867581
"K16542",-0.532701229928447
"K13113",0.73675426653908
"K11089",-0.246626306942429
"K12850",-0.426318679288623
"K19176",1.0696051707924
"K12389",0.789848920072805
"K04679",-0.473192121922277
"K04706",0.411910852678548
"K09673",-0.581121303405166
"K13250",0.777359766292387
"K04531",-0.40847404672965
"K10477",0.490610068567942
"K24225",-0.610002281053665
"K22985",0.513659810050029
"K24745",0.366280535770602
"K24099",0.318425300097735
"K16621",1.27629966074966
"K04662",0.60067204805338
"K18617",0.525537193985832
"K03992",-0.685840148046471
"K01332",-0.422720268183666
"K17495",0.970386374090881
"K17808",0.733679867240704
"K12646",-0.268412855057395
"K21891",0.264178321306138
"K10691",-0.191480126142775
"K16479",0.659266791341508
"K14859",-0.316222132705722
"K04593",-0.779146177767742
"K06184",0.383872194952701
"K12947",0.579415687581521
"K14938",-0.838304398536739
"K17286",-0.296457794177731
"K17546",-0.426380370321702
"K06794",-1.50356490530736
"K04431",0.298046107549904
"K08339",0.538290104257934
"K09309",-2.90007478846372
"K08738",0.862193286858739
"K02989",0.26402456446923
"K25609",-0.592593651779817
"K02732",1.00570773899236
"K12621",0.600341545276267
"K02326",-0.572569086006164
"K12867",0.691498959815235
"K05765",0.733986492809174
"K03627",0.354458104873519
"K01896",-0.521797061150299
"K11420",0.656562305020045
"K20827",-0.935952840976717
"K09223",-1.25115470742771
"K10991",0.73893863882676
"K23733",-0.429020620869378
"K06114",-0.542691854702273
"K10641",-0.266221577308718
"K10457",-1.52532616029175
"K08621",-0.902089522894596
"K08632",-3.81940427480953
"K04144",-1.82625251754029
"K05636",-0.52177026572747
"K01017",-0.449856457577149
"K12417",0.464446351875617
"K00699",1.81908479270393
"K21988",1.07543467397238
"K03349",0.625387596613819
"K04849",-0.451247773412494
"K23688",-0.93185054197467
"K20121",-0.35088986945113
"K00558",-0.546418895790658
"K24835",-0.349660949064697
"K17478",-0.333385455654758
"K03462",0.412716680986553
"K15377",0.538292154972366
"K02211",-0.36830233337995
"K02214",-1.79960955581868
"K19526",0.55394605999142
"K16768",-0.40813607385379
"K15837",-0.616750784392944
"K22765",-0.301297146961016
"K15687",0.48022394496242
"K14998",0.773116624451138
"K04798",0.667435163675968
"K17635",0.814288979897341
"K11188",0.256926941438349
"K00344",-1.87405141516551
"K19909",-0.462016272796722
"K02739",0.551179724939973
"K24936",-0.558746999542676
"K07881",-0.372676108422546
"K09318",-1.47492278441547
"K23390",0.401335833407777
"K21625",-0.322124330099123
"K00876",-0.805289127124882
"K12398",0.268535258781009
"K00816",0.616866725278751
"K20051",1.15513311015673
"K04267",-0.749412028577758
