Species,ID,Colony,Treatment,Random_Tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_time,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_time,bw_final_salinity,bw_final_temp,SWrho_initial,CalcMAir_initial,SWrho_final,CalcMAir_final,percent_change
Acropora cervicornis,54,MB-B,variable,8,4.1233,2022-03-12T00:00:00Z,1899-12-31T10:28:00Z,33.9,25.8,4.5929,2022-04-21T00:00:00Z,1899-12-31T03:22:00Z,36.3,27.9,1.022191631117481,6.332538003843903,1.023321089289348,7.057925130657826,11.454919439466552
Acropora cervicornis,60,BC-8b,variable,8,7.8957,2022-03-12T00:00:00Z,1899-12-31T11:00:00Z,33.9,25.5,8.4115,2022-04-21T00:00:00Z,1899-12-31T03:29:00Z,36.3,27.8,1.0222840613873163,12.126753533769627,1.023353855156835,12.926202938420586,6.592443743700368
Acropora cervicornis,70,BC-8b,control,7,5.4682,2022-03-15T00:00:00Z,1899-12-31T10:54:00Z,35.5,27.5,5.8187,2022-04-21T00:00:00Z,1899-12-31T02:57:00Z,36.3,28.1,1.022852518660174,8.400937083661828,1.0232553361457744,8.941307833812514,6.4322675526472
Acropora cervicornis,73,MB-B,variable,5,4.4333,2022-03-09T00:00:00Z,1899-12-31T10:11:00Z,34,25.7,5.1196,2022-04-21T00:00:00Z,1899-12-31T01:54:00Z,36.4,28.4,1.022297569204227,6.809012134340874,1.0232309647364894,7.8669349683072545,15.537097204318465
Acropora cervicornis,75,MB-B,control,7,4.4983,2022-03-15T00:00:00Z,1899-12-31T11:34:00Z,35.5,28.2,4.9123,2022-04-21T00:00:00Z,1899-12-31T02:55:00Z,36.3,28.2,1.0226238109263377,6.910025969444978,1.0232223491226076,7.548357299749727,9.237755880040787
Acropora cervicornis,76,BC-8b,variable,8,4.9393,2022-03-12T00:00:00Z,1899-12-31T10:32:00Z,33.9,25.6,5.2972,2022-04-21T00:00:00Z,1899-12-31T03:40:00Z,36.3,27.8,1.0222533289664752,7.585990959774387,1.023353855156835,8.140365238709093,7.307868963650771
Acropora cervicornis,80,BC-8b,control,6,6.492,2022-03-15T00:00:00Z,1899-12-31T10:08:00Z,35.5,28,7.056,2022-04-21T00:00:00Z,1899-12-31T02:41:00Z,36.3,28.3,1.0226895265037685,9.97297517332465,1.0231892886338,10.842229843143343,8.71610181226304
Acropora cervicornis,81,BC-8b,control,7,3.876,2022-03-15T00:00:00Z,1899-12-31T11:02:00Z,35.5,27.4,4.1436,2022-04-21T00:00:00Z,1899-12-31T02:51:00Z,36.3,28.2,1.0228848937525836,5.9549001330843945,1.0232223491226076,6.3671545522958635,6.922944297941368
Acropora cervicornis,84,BC-8b,control,7,5.3348,2022-03-15T00:00:00Z,1899-12-31T11:30:00Z,35.5,28.2,5.5864,2022-04-21T00:00:00Z,1899-12-31T02:48:00Z,36.3,28.2,1.0226238109263377,8.195008456927075,1.0232223491226076,8.584195431737044,4.749073498282926
Acropora cervicornis,85,BC-8b,control,6,6.0061,2022-03-15T00:00:00Z,1899-12-31T09:55:00Z,35.5,28.2,6.4638,2022-04-21T00:00:00Z,1899-12-31T02:31:00Z,36.2,28.5,1.0226238109263377,9.226220344370867,1.0230481527418906,9.931521882543151,7.644533859443374
Acropora cervicornis,86,SI-C,control,7,4.3628,2022-03-15T00:00:00Z,1899-12-31T11:36:00Z,35.5,28.1,4.6621,2022-04-21T00:00:00Z,1899-12-31T03:06:00Z,36.3,28,1.0226567056370548,6.701994359263751,1.0232882495768405,7.164141615516044,6.89566763978987
Acropora cervicornis,88,MB-B,variable,5,4.925,2022-03-09T00:00:00Z,1899-12-31T10:04:00Z,34,25.6,5.5681,2022-04-21T00:00:00Z,1899-12-31T02:05:00Z,36.4,28.2,1.0223283918597073,7.564326028874241,1.023297182003828,8.556411018024075,13.11531239350191
Acropora cervicornis,90,MB-B,control,6,3.0182,2022-03-15T00:00:00Z,1899-12-31T09:51:00Z,35.5,28.2,3.4702,2022-04-21T00:00:00Z,1899-12-31T02:17:00Z,36.4,28.2,1.0226238109263377,4.636382718133257,1.023297182003828,5.332601338831405,15.016418251564573
Acropora cervicornis,92,BC-8b,control,7,6.5543,2022-03-15T00:00:00Z,1899-12-31T11:27:00Z,35.5,28.2,6.9208,2022-04-21T00:00:00Z,1899-12-31T03:00:00Z,36,28.1,1.0226238109263377,10.068333195103307,1.0230308237152916,10.633598199792047,5.614285837934471
Acropora cervicornis,93,SI-C,control,6,4.4685,2022-03-15T00:00:00Z,1899-12-31T10:04:00Z,35.5,28.1,4.9069,2022-04-21T00:00:00Z,1899-12-31T02:42:00Z,36.3,28.3,1.0226567056370548,6.864367331615034,1.0231892886338,7.5399288006406,9.841569315705915
Acropora cervicornis,94,MB-B,variable,8,4.4583,2022-03-12T00:00:00Z,1899-12-31T10:27:00Z,33.9,25.7,4.3528,2022-04-21T00:00:00Z,1899-12-31T03:27:00Z,36.3,27.9,1.0222225188316498,6.8471397366532205,1.023321089289348,6.688962639884906,-2.3101193031242135
Acropora cervicornis,99,BC-8b,variable,5,4.9072,2022-03-09T00:00:00Z,1899-12-31T10:24:00Z,33.7,25.6,5.3986,2022-04-21T00:00:00Z,1899-12-31T02:09:00Z,36.4,28.2,1.022103213262581,7.536097392661961,1.023297182003828,8.29594305452574,10.082747372713817
Acropora cervicornis,100,MB-B,control,7,3.8767,2022-03-15T00:00:00Z,1899-12-31T11:10:00Z,35.6,28.2,4.2668,2022-04-21T00:00:00Z,1899-12-31T03:07:00Z,36.3,27.9,1.022698616055292,5.955393885631074,1.023321089289348,6.556806145897104,10.098614328719588
Acropora cervicornis,103,MB-B,variable,8,3.7153,2022-03-12T00:00:00Z,1899-12-31T10:25:00Z,33.9,25.9,4.2524,2022-04-21T00:00:00Z,1899-12-31T03:31:00Z,36.2,27.9,1.0221606659585452,5.70584157993016,1.0232462252041143,6.534421048325323,14.521599606088342
Acropora cervicornis,104,BC-8b,control,7,4.7309,2022-03-15T00:00:00Z,1899-12-31T10:47:00Z,35.5,27.5,5.0433,2022-04-21T00:00:00Z,1899-12-31T02:45:00Z,36.3,28.2,1.022852518660174,7.268204024925157,1.0232223491226076,7.749655023070211,6.624071042777476
Acropora cervicornis,107,SI-C,variable,5,6.4836,2022-03-09T00:00:00Z,1899-12-31T10:47:00Z,33.7,25.3,6.9447,2022-04-21T00:00:00Z,1899-12-31T02:11:00Z,36.4,28.2,1.0221951011910186,9.957489894202261,1.023297182003828,10.67181041950967,7.173700730776752
Acropora cervicornis,111,MB-B,variable,5,4.7704,2022-03-09T00:00:00Z,1899-12-31T10:58:00Z,33.8,25.3,5.4076,2022-04-21T00:00:00Z,1899-12-31T02:02:00Z,36.4,28.2,1.0222701951967776,7.326651795662291,1.023297182003828,8.309773211879634,13.418426910903495
Acropora cervicornis,118,BC-8b,control,6,7.3332,2022-03-15T00:00:00Z,1899-12-31T09:37:00Z,35.6,28.2,7.826,2022-04-21T00:00:00Z,1899-12-31T02:20:00Z,36.4,28.1,1.022698616055292,11.265275735060694,1.023330180548443,12.026298295630303,6.755472111535571
Acropora cervicornis,125,BC-8b,variable,8,9.0297,2022-03-12T00:00:00Z,1899-12-31T11:02:00Z,33.9,25.6,9.5638,2022-04-21T00:00:00Z,1899-12-31T03:30:00Z,36.2,27.9,1.0222533289664752,13.868204516728033,1.0232462252041143,14.696147122089581,5.97007784506546
