chi2,Z,P,P.adjusted,comparisons
23.473292991837866,1.4389005819123324,0.07508934632196686,1,Treated.BC-8b - Treated.MB-B
23.473292991837866,0.5647663240304066,0.2861163577158841,1,Treated.BC-8b - Treated.SI-C
23.473292991837866,-0.7607995122500885,0.22338841289587677,1,Treated.MB-B - Treated.SI-C
23.473292991837866,2.509584589758289,0.006043663084873363,0.09065494627310045,Treated.BC-8b - Untreated.BC-8b
23.473292991837866,1.0004692986274597,0.15854172404851538,1,Treated.MB-B - Untreated.BC-8b
23.473292991837866,1.7118524916802278,0.043461927846831803,0.6519289177024771,Treated.SI-C - Untreated.BC-8b
23.473292991837866,3.6355153229067954,1.3871275109860476e-4,0.0020806912664790714,Treated.BC-8b - Untreated.MB-B
23.473292991837866,2.1011630583692362,0.01781332750574577,0.26719991258618653,Treated.MB-B - Untreated.MB-B
23.473292991837866,2.7353903440917096,0.0031153170908331997,0.046729756362497994,Treated.SI-C - Untreated.MB-B
23.473292991837866,1.1375987207762845,0.12764404052003572,1,Untreated.BC-8b - Untreated.MB-B
23.473292991837866,3.7888797846252853,7.566405767781187e-5,0.001134960865167178,Treated.BC-8b - Untreated.SI-C
23.473292991837866,2.3382853495803873,0.009686225249100048,0.14529337873650072,Treated.MB-B - Untreated.SI-C
23.473292991837866,2.934692177006504,0.0016693936460830659,0.025040904691245987,Treated.SI-C - Untreated.SI-C
23.473292991837866,1.4332226305835456,0.07589711214244489,1,Untreated.BC-8b - Untreated.SI-C
23.473292991837866,0.3606842709434754,0.3591677421501587,1,Untreated.MB-B - Untreated.SI-C
