"","module","gene","annot"
"1","black","Acropora_028362",NA
"2","blue","Acropora_013591","intracellular protein transport"
"3","cyan","Acropora_015011","molting cycle, collagen and cuticulin-based cuticle"
"4","darkgreen","Acropora_009042",NA
"5","darkgrey","Acropora_014217","RNA recognition motif"
"6","darkorange","Acropora_018337",NA
"7","darkred","Acropora_005900",NA
"8","darkturquoise","Acropora_007604","resolution of meiotic recombination intermediates"
"9","greenyellow","Acropora_021838","actin binding"
"10","grey60","Acropora_010973","Nuclear factor erythroid"
"11","lightgreen","Acropora_002688",NA
"12","midnightblue","Acropora_026604",NA
"13","pink","Acropora_000007",NA
"14","royalblue","Acropora_015093","structural constituent of cuticle"
"15","saddlebrown","Acropora_030919",NA
"16","turquoise","Acropora_031270",NA
