	Pcli-003	Pcli-004	Pcli-006	Pcli-008	Pcli-011	Pcli-015	Pcli-018	Pcli-024	Pcli-026	Pcli-028	Pcli-029	Pcli-033	Pcli-038	Pcli-039	Pcli-040	Pcli-045	Pcli-049	Pcli-050	Pcli-052	Pcli-055	Pcli-058	Pcli-064	Pcli-066	Pcli-067	Pcli-069	Pcli-070	Pcli-075	Pcli-076	Pcli-077	Pcli-079	Pcli-091	Pcli-094	Pcli-096	Pcli-101	Pcli-103	Pcli-105	Pcli-109	Pcli-111	Pcli-114	Pcli-115	Pcli-120	Pcli-124	Pcli-126	Pcli-128	Pcli-130	Pcli-132	Pcli-135	Pcli-148	
Breviolum42873	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	2	0	0	0	5	0	3	0	0	1	0	0	
Breviolum42880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum42907	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum42934	1	0	7	2	0	0	0	11	0	9	5	5	4	0	0	3	1	3	11	1	0	0	0	2	1	11	4	0	2	0	1	5	2	1	12	8	9	8	1	3	10	0	14	12	8	0	6	4	
Breviolum42939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Breviolum42954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Breviolum42959	3	0	0	4	0	0	3	0	1	2	0	10	2	0	1	0	0	0	5	1	0	0	1	0	0	4	3	0	1	0	0	0	2	0	2	3	4	0	0	0	1	0	4	2	3	0	0	3	
Breviolum42976	2	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	3	2	0	0	0	0	
Breviolum42980	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	2	0	0	2	0	0	0	0	
Breviolum42987	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum42994	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	
Breviolum42995	0	0	1	4	0	0	0	1	3	4	3	5	0	0	1	0	0	2	0	0	0	0	0	0	0	3	1	0	0	1	0	2	0	0	0	0	2	1	0	0	4	0	7	2	0	0	1	0	
Breviolum43020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Breviolum43048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Breviolum43065	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
Breviolum43072	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
Breviolum43082	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
Breviolum43089	0	0	0	0	0	0	0	1	0	0	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43113	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	
Breviolum43125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
Breviolum43139	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
Breviolum43145	1	0	0	3	0	1	0	8	3	1	5	8	3	0	0	0	0	1	5	1	0	0	0	0	0	3	3	0	0	0	6	0	0	0	0	1	6	1	0	1	2	0	10	2	2	0	0	1	
Breviolum4315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	
Breviolum43164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43169	0	0	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	7	6	0	0	0	0	
Breviolum43183	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	3	1	5	0	0	0	0	4	5	0	0	0	0	
Breviolum43193	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Breviolum43241	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	4	0	0	0	5	
Breviolum43247	0	0	0	0	0	0	0	1	0	1	1	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43254	2	0	3	4	0	1	0	6	1	1	0	5	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	1	
Breviolum43257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
Breviolum43284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43289	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43292	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	3	2	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	
Breviolum43295	0	0	1	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	1	0	0	0	0	
Breviolum43297	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43300	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	
Breviolum43307	1	1	0	0	0	0	0	8	1	7	7	1	0	0	0	0	3	6	6	0	3	0	0	0	0	5	9	0	0	0	1	0	5	1	4	3	7	0	0	2	6	0	19	9	4	0	0	0	
Breviolum43309	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
Breviolum43343	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Breviolum43346	1	0	0	1	0	0	0	0	0	1	2	0	4	1	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	1	0	1	0	0	0	0	0	1	0	3	1	0	0	1	0	0	2	1	
Breviolum43356	0	0	7	2	0	0	0	2	0	1	1	2	0	0	0	0	0	0	4	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	1	0	2	0	0	0	8	0	0	4	0	0	0	2	
Breviolum43359	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43368	0	0	0	1	0	0	0	2	4	2	1	1	0	1	0	1	1	0	3	0	0	0	0	0	0	8	2	0	0	0	0	3	3	1	0	5	3	0	0	1	3	0	6	10	0	0	0	0	
Breviolum43375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Breviolum43376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Breviolum43400	0	0	3	0	0	3	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	2	0	0	0	5	
Breviolum43425	0	0	0	1	0	0	0	6	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	
Breviolum43439	0	0	0	3	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	1	3	2	0	0	0	0	0	1	0	0	0	0	2	
Breviolum43442	1	0	1	0	0	0	0	1	1	3	0	4	0	0	0	0	0	2	4	0	0	0	0	0	0	6	0	1	2	0	1	1	0	0	1	0	6	0	0	0	1	0	8	3	0	0	0	1	
Breviolum43445	0	2	1	0	0	1	3	1	0	6	1	1	6	1	0	0	4	1	2	0	0	3	0	0	0	3	2	0	2	0	0	2	0	0	0	1	6	2	0	0	4	2	4	4	2	0	1	0	
Breviolum43450	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	4	0	2	0	0	1	0	0	2	0	0	1	0	
Breviolum43461	3	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43463	0	0	0	1	0	0	0	1	0	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	2	3	0	0	1	0	4	0	3	2	0	2	0	
Breviolum43464	0	0	1	3	0	0	0	0	1	6	4	4	0	0	0	0	0	0	6	1	0	0	0	0	0	2	0	0	0	2	0	0	0	3	1	1	4	0	0	0	0	0	4	6	0	0	0	3	
Breviolum43465	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43466	2	1	1	2	0	1	2	7	13	15	1	9	4	6	3	0	2	1	12	0	0	0	0	1	1	4	8	1	3	0	0	4	1	1	3	3	7	2	1	0	19	0	15	13	3	1	0	3	
Breviolum43476	0	1	0	0	0	0	0	0	1	2	3	1	6	0	0	0	0	0	2	0	1	0	0	0	1	8	3	1	6	1	0	0	0	0	0	4	1	0	0	0	8	0	6	5	1	0	0	5	
Breviolum43504	0	0	0	0	0	1	0	1	0	1	1	6	0	5	0	0	2	0	0	0	0	0	0	1	0	4	5	0	0	0	1	0	1	0	4	1	4	1	0	1	1	0	2	8	2	0	0	0	
Breviolum43507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	2	0	0	0	2	
Breviolum43520	0	0	0	1	0	0	0	0	0	1	2	1	3	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	4	0	1	3	1	0	4	0	1	0	0	0	0	1	2	4	2	0	0	0	
Breviolum43546	4	0	2	3	0	0	0	0	0	1	1	0	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	
Breviolum43548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	
Breviolum43569	9	0	5	5	0	0	0	6	5	6	12	13	2	0	5	0	7	1	13	4	0	0	0	0	1	6	7	5	9	0	5	4	3	3	4	3	5	0	0	2	10	3	19	17	9	0	0	1	
Breviolum43583	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43585	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43596	2	0	0	1	0	0	0	3	1	0	6	3	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	1	3	0	1	1	3	0	0	0	2	0	4	7	0	0	0	0	
Breviolum43597	1	1	0	4	0	0	0	2	0	5	0	3	1	0	0	0	0	1	3	2	0	0	0	6	0	10	0	0	0	0	0	1	0	3	0	0	4	0	0	0	0	0	3	2	0	0	0	0	
Breviolum43625	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	3	0	0	0	0	
Breviolum43639	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0	3	0	0	0	0	1	0	0	0	3	2	0	3	2	1	0	0	0	
Breviolum43645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Breviolum43649	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	
Breviolum43652	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Breviolum43653	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	5	3	1	0	0	0	
Breviolum43656	3	2	14	11	0	0	1	13	6	15	13	18	12	3	0	0	5	6	18	0	0	0	0	1	0	15	14	2	4	0	5	4	9	6	2	12	35	3	0	5	25	8	36	31	29	1	2	4	
Breviolum43671	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	
Breviolum43703	0	0	3	3	0	3	1	1	7	7	2	6	1	0	0	0	4	0	8	0	0	0	0	0	2	4	2	0	4	1	5	1	1	0	2	1	5	1	0	0	4	1	11	7	2	1	0	6	
Breviolum43709	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	
Breviolum43716	9	5	10	5	0	2	3	6	8	10	2	9	9	1	7	1	1	12	10	1	1	0	0	5	1	21	5	1	2	2	7	10	3	0	2	17	14	0	0	0	9	0	30	31	5	0	1	12	
Breviolum43718	3	0	0	7	0	1	2	1	0	10	4	9	5	1	0	0	1	3	4	0	0	0	0	1	2	3	5	2	2	0	1	1	0	0	0	3	12	1	0	1	12	0	11	22	4	0	0	4	
Breviolum43725	0	0	0	1	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	
Breviolum43728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Breviolum43732	2	1	0	0	0	1	0	3	0	0	2	0	8	0	1	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	2	0	0	1	2	0	2	6	0	0	0	1	
Breviolum43733	0	0	0	0	0	1	2	7	0	9	1	9	0	1	0	0	1	3	1	0	0	0	0	1	1	0	1	0	1	0	1	0	3	0	0	9	10	0	0	1	12	0	8	13	2	0	1	0	
Breviolum43742	1	0	0	2	0	0	0	0	0	4	1	4	6	0	1	0	0	1	2	0	0	0	0	1	0	4	6	1	0	1	3	1	0	6	1	1	1	0	0	0	2	0	7	7	3	0	1	1	
Breviolum43746	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
Breviolum43757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
Breviolum43768	1	1	0	4	0	3	2	10	1	6	0	5	0	0	0	0	1	0	4	0	0	0	0	1	0	12	10	0	1	1	3	2	6	2	5	3	9	0	0	2	6	5	23	12	2	0	0	1	
Breviolum43770	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	0	0	1	0	0	0	0	0	0	0	
Breviolum43778	0	0	7	0	0	0	0	3	0	1	4	7	5	2	1	0	0	1	4	3	1	0	0	0	0	1	10	0	0	1	0	1	0	0	3	3	11	2	0	11	6	0	11	10	0	0	0	1	
Breviolum43795	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
Breviolum43801	1	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	
Breviolum43809	2	0	1	3	0	0	0	1	8	1	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	2	9	0	0	0	2	
Breviolum43810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Breviolum4382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43844	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum4386	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	
Breviolum43864	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Breviolum43867	3	1	0	0	0	0	1	2	6	5	4	3	1	1	0	0	1	1	7	0	0	0	0	0	1	7	1	0	0	0	0	6	4	1	0	0	2	3	0	0	1	0	5	4	0	0	0	3	
Breviolum43872	0	3	3	4	0	5	0	7	2	5	8	7	2	1	0	1	3	6	5	0	0	0	0	1	1	12	9	1	0	0	5	2	4	0	2	3	12	1	0	2	7	1	12	16	0	0	0	3	
Breviolum43881	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
Breviolum43891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Breviolum43907	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43910	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
Breviolum43916	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43922	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43933	0	0	5	0	0	3	0	3	0	2	2	11	1	0	0	1	1	3	1	3	0	0	0	1	0	4	4	0	2	1	6	1	1	0	0	0	3	1	0	2	2	0	4	2	0	0	0	0	
Breviolum43960	2	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	3	0	5	4	0	0	1	1	0	0	1	7	0	0	1	0	0	0	1	
Breviolum43961	1	0	0	1	0	0	1	3	0	3	1	1	3	0	0	0	8	0	2	0	0	0	1	0	0	1	4	0	0	0	0	3	1	0	0	0	7	0	0	0	1	0	2	2	0	0	0	0	
Breviolum43964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Breviolum43970	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum43979	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	
Breviolum4401	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
Breviolum44101	2	5	10	4	0	0	4	7	2	18	8	16	3	1	0	0	4	0	5	2	0	1	2	0	0	17	0	1	1	2	6	0	5	0	1	10	17	0	0	1	21	3	20	19	9	0	1	3	
Breviolum44103	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	2	0	1	0	0	0	0	1	4	5	0	0	0	0	6	0	0	0	0	5	0	0	2	0	0	3	9	4	0	0	0	
Breviolum44114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum44115	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	2	1	0	0	0	
Breviolum44126	0	0	0	0	0	0	1	3	1	9	0	2	0	5	1	1	6	0	1	0	0	0	0	1	1	2	2	0	0	0	0	0	2	2	1	2	4	0	0	1	4	0	12	7	1	0	0	1	
Breviolum44144	0	0	0	1	0	2	0	1	0	0	1	4	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	4	0	0	0	
Breviolum44154	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	2	1	0	0	0	0	
Breviolum44169	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	
Breviolum44172	0	0	2	4	0	1	1	7	5	9	1	18	3	4	0	0	7	0	9	0	1	0	0	3	0	9	2	0	7	0	0	1	10	6	0	6	10	1	0	0	6	0	14	18	8	0	0	7	
Breviolum44179	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	
Breviolum44183	0	0	0	1	0	0	1	0	0	6	6	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	1	2	0	0	2	1	1	2	5	1	0	0	0	
Breviolum44219	0	0	0	3	0	0	0	0	2	4	1	2	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Breviolum44227	0	0	0	1	0	0	0	4	1	5	11	0	4	0	0	0	0	0	5	0	0	0	0	0	0	1	1	1	0	1	4	2	1	1	0	0	7	0	0	0	1	0	5	6	1	0	1	3	
