	Pcli-003	Pcli-004	Pcli-006	Pcli-008	Pcli-011	Pcli-015	Pcli-018	Pcli-024	Pcli-026	Pcli-028	Pcli-029	Pcli-033	Pcli-038	Pcli-039	Pcli-040	Pcli-045	Pcli-049	Pcli-050	Pcli-052	Pcli-055	Pcli-058	Pcli-064	Pcli-066	Pcli-067	Pcli-069	Pcli-070	Pcli-075	Pcli-076	Pcli-077	Pcli-079	Pcli-091	Pcli-094	Pcli-096	Pcli-101	Pcli-103	Pcli-105	Pcli-109	Pcli-111	Pcli-114	Pcli-115	Pcli-120	Pcli-124	Pcli-126	Pcli-128	Pcli-130	Pcli-132	Pcli-135	Pcli-148	
Breviolum164708	1	1	1	0	0	0	0	1	0	3	1	3	1	3	0	0	0	0	2	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	1	3	1	0	0	1	0	6	1	1	0	0	1	
Breviolum164723	6	0	2	3	0	1	1	2	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	4	0	4	1	5	0	0	0	6	0	3	4	0	0	0	7	
Breviolum164731	0	0	5	7	2	0	2	5	0	8	14	9	5	0	1	1	4	1	5	0	0	0	0	0	1	15	4	6	2	0	2	0	0	0	1	6	25	2	0	0	8	2	17	13	8	0	5	2	
Breviolum164742	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Breviolum164745	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	0	0	6	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	
Breviolum164750	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	4	0	0	3	2	0	0	2	2	0	0	3	0	0	0	0	
Breviolum164751	2	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	6	1	0	1	2	0	0	0	1	
Breviolum164793	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	
Breviolum164804	0	0	0	1	0	1	0	1	0	4	3	0	2	1	0	0	0	0	2	0	0	0	0	0	1	5	5	0	3	1	6	0	0	0	0	1	1	2	0	0	1	0	1	2	0	0	0	0	
Breviolum164838	6	0	0	3	0	0	0	0	0	3	1	2	0	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2	1	1	1	2	1	0	1	2	4	0	1	2	0	0	5	0	0	1	0	
Breviolum164854	13	0	1	2	0	0	3	2	0	10	4	14	1	7	0	1	6	0	0	0	0	3	0	2	0	6	5	2	1	3	2	4	3	0	0	10	7	3	0	4	5	0	6	9	2	1	0	0	
Breviolum164876	0	0	0	3	0	0	0	0	4	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	3	3	0	0	1	0	0	5	7	2	0	1	1	
Breviolum164904	0	0	1	0	0	0	0	0	1	3	0	3	6	0	3	1	5	3	2	0	0	0	0	0	0	5	3	0	0	0	0	2	0	0	1	5	8	3	0	0	1	0	7	5	0	0	1	0	
Breviolum164910	1	1	3	4	0	1	3	2	4	31	4	21	3	4	8	0	9	7	14	1	0	0	0	1	1	19	7	4	4	5	1	7	8	5	2	2	13	6	0	4	6	1	19	25	15	0	7	4	
Breviolum164928	5	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	
Breviolum164931	1	0	2	6	0	0	0	4	2	4	6	2	0	1	3	2	0	0	4	1	0	0	0	1	0	9	2	1	0	1	1	1	0	3	3	5	8	0	0	4	0	0	8	2	1	1	3	1	
Breviolum164945	3	5	0	0	0	0	0	9	3	4	1	4	0	0	1	3	3	0	0	1	0	1	0	0	0	6	6	0	1	0	0	1	0	0	1	1	0	4	0	0	5	7	4	3	1	0	0	5	
Breviolum164949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum164950	6	0	3	9	0	6	2	11	3	11	11	15	7	6	7	2	2	0	7	3	0	0	0	1	1	18	10	1	6	1	7	5	0	0	11	15	33	2	0	6	17	0	47	36	5	1	5	5	
Breviolum165018	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	
Breviolum165028	5	0	0	4	0	0	0	1	0	1	0	4	0	2	0	1	2	0	1	0	2	0	0	0	0	4	2	0	5	0	0	0	0	0	0	0	1	0	0	0	3	2	10	2	2	0	0	4	
Breviolum165048	0	0	0	1	0	0	0	0	1	1	0	2	4	0	0	0	3	1	1	0	0	0	0	0	0	7	2	1	0	0	1	1	1	0	0	2	7	1	0	0	1	0	5	7	2	0	0	1	
Breviolum16505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	
Breviolum165054	36	4	42	41	2	17	14	64	28	81	46	124	44	15	15	10	32	11	89	4	2	7	4	9	12	83	53	14	17	5	29	44	39	6	29	35	84	11	1	22	115	22	145	125	45	5	12	42	
Breviolum165066	0	0	0	1	0	1	3	5	0	1	0	3	1	0	1	0	1	0	2	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	4	3	0	0	1	0	0	3	2	0	0	3	
Breviolum165089	6	1	0	0	0	0	0	0	5	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	8	6	0	4	0	0	6	1	1	1	0	3	0	0	0	0	0	8	2	1	0	0	0	
Breviolum165112	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	2	
Breviolum165113	4	0	1	0	1	0	0	6	0	3	5	10	4	2	1	1	0	0	4	0	0	0	0	0	1	3	5	1	5	1	0	1	0	0	1	1	9	1	0	1	11	2	7	9	4	0	0	3	
Breviolum165128	1	0	0	4	0	0	4	2	2	2	0	7	0	0	0	0	9	1	4	1	1	0	0	0	1	10	6	0	0	0	0	0	3	0	0	3	7	2	0	2	3	1	4	8	0	0	0	1	
Breviolum165143	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Breviolum165154	0	0	0	1	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	3	2	0	0	0	0	
