Df,SumOfSqs,R2,F,Pr(>F)
2,458643188.4869009,0.20776432931339106,5.376138576584428,9.99999000001e-7
41,1748873327.9555585,0.792235670686609,NA,NA
43,2207516516.442459,1,NA,NA
