ed50,Colony,Treatment,ED50
ed50,B,Untreated,36.580387450428574
ed50,C,Untreated,36.23301962987217
ed50,A,Untreated,36.552257004382355
ed50,A,Treated,36.436459190991826
ed50,C,Treated,36.32950680445764
ed50,B,Treated,36.7283756337561
