term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0060324,face development,465,0.122463738894293,2,37,0.54136117963401,113,0.735074907215396,2,37,0.829505184968507
GO:0060326,cell chemotaxis,98,0.70061234120724,4,52,0.928522793365686,-325,0.25868481168426,4,50,0.406426468311696
GO:0060341,regulation of cellular localization,-62,0.46640787840797,2,500,0.838028648457008,438,9.40369804537538e-6,2,449,8.7042494304301e-5
GO:0060348,bone development,-6,0.974237819126554,2,85,0.994910287140505,-315,0.274341004083772,2,50,0.421688223970082
GO:0060349,bone morphogenesis,108,0.689383725857512,4,46,0.925113954379515,-638,0.0854429333730591,4,30,0.181586499768171
GO:0060359,response to ammonium ion,264,0.151623101700366,2,100,0.593229262267089,504,0.0863835648252849,2,48,0.18289147940325
GO:0060428,lung epithelium development,-401,0.292609056809234,3,23,0.732529786550882,-510,0.169409190056046,5,30,0.298565370358413
GO:0060438,trachea development,280,0.444316534976002,2,25,0.826371189326318,-39,0.908868845964627,2,36,0.944568490548587
GO:0060446,branching involved in open tracheal system development,251,0.437542013172313,2,32,0.823586171555445,388,0.182431183128769,4,49,0.313619225025666
GO:0060538,skeletal muscle organ development,194,0.28959106944602,2,101,0.730763070353663,134,0.308137689479537,2,248,0.459539563538058
GO:0060541,respiratory system development,130,0.265979306434702,2,253,0.714385581783013,210,0.0923446088558861,2,275,0.191884901518724
GO:0060560,developmental growth involved in morphogenesis,61,0.697688852825358,3,138,0.927124658951197,-3,0.986294154979853,3,155,0.991882102451608
GO:0060563,neuroepithelial cell differentiation,340,0.173628016607656,4,54,0.619566799533625,-127,0.64077321135828,5,56,0.755625116446247
GO:0060581,cell fate commitment involved in pattern specification,375,0.287277358855731,2,27,0.729824233818109,386,0.261239918559575,2,35,0.40830100304396
GO:0060627,regulation of vesicle-mediated transport,-173,0.098124319116077,2,322,0.501405804155671,352,0.0212074847566071,2,181,0.0601326150060758
GO:0060688,regulation of morphogenesis of a branching structure,500,0.122068371684359,2,32,0.540051068562999,-343,0.355208456274548,2,30,0.507927355931029
GO:0060795,cell fate commitment involved in formation of primary germ layer,281,0.377451700491882,2,33,0.791232823717901,217,0.499730586657527,2,40,0.641556829239551
GO:0060840,artery development,1039,2.8064454848219e-4,3,41,0.0166467046955987,-794,0.00686102897396017,2,48,0.0241266952930468
GO:0060968,regulation of gene silencing,118,0.575752023009812,2,76,0.882785970556871,-554,0.117556919602147,4,33,0.227751471950094
GO:0060993,kidney morphogenesis,875,5.16530420683691e-4,2,53,0.0253844454489147,-296,0.328429113419428,2,45,0.478959123736666
GO:0061024,membrane organization,-156,0.0857267937908956,3,436,0.472693190276205,542,1.98184663265826e-7,3,402,3.26421798320184e-6
GO:0061035,regulation of cartilage development,1075,5.13313462890732e-4,5,35,0.0253844454489147,-338,0.362056000620062,2,30,0.514111251251554
GO:0061041,regulation of wound healing,-140,0.510765874896751,4,75,0.852561981777207,11,0.969669848096701,3,48,0.981500433681252
GO:0061061,muscle structure development,163,0.109444783481198,2,341,0.516454406479183,85,0.360849745467114,3,508,0.513223085492082
GO:0061077,chaperone-mediated protein folding,-656,0.0141311874679274,2,47,0.218971790438205,415,0.263751607396732,3,30,0.410850904428845
GO:0061097,regulation of protein tyrosine kinase activity,-254,0.337066723370475,2,48,0.763002629597612,202,0.557116896153045,6,35,0.69109276717428
GO:0061180,mammary gland epithelium development,9,0.975538103704858,4,40,0.995800964766093,-575,0.073859362699521,4,40,0.16220095337934
GO:0061982,meiosis I cell cycle process,458,0.0074102226265581,2,116,0.150035157171525,-967,3.1550004477974e-6,2,97,3.36533381098389e-5
GO:0062012,regulation of small molecule metabolic process,-23,0.860233487974662,2,200,0.979249209605357,766,3.1990246899427e-11,3,324,1.74775983060284e-9
GO:0062013,positive regulation of small molecule metabolic process,-74,0.722590073118978,2,77,0.938218813298349,474,0.10661157732797,5,48,0.21265354694092
GO:0062014,negative regulation of small molecule metabolic process,104,0.683483193484154,3,52,0.924968798907367,469,0.206630658238326,2,30,0.344816287706278
GO:0070192,chromosome organization involved in meiotic cell cycle,422,0.0681335217846768,3,63,0.44141135550524,-1120,3.58024781011975e-4,2,42,0.00194654249870588
GO:0070252,actin-mediated cell contraction,522,0.0618114901898525,2,43,0.424662064213659,663,0.0572337446108813,2,34,0.132301401949543
GO:0070301,cellular response to hydrogen peroxide,-255,0.3899758551464,4,38,0.800495805686319,43,0.891009659204097,4,43,0.935595055936794
GO:0070372,regulation of ERK1 and ERK2 cascade,-335,0.0823971162575912,4,91,0.465778517290321,529,0.0715269334149888,6,48,0.158164196297705
GO:0070374,positive regulation of ERK1 and ERK2 cascade,-466,0.0423045570428307,2,64,0.357785052199444,498,0.152927669297526,2,34,0.277150468629821
GO:0070585,protein localization to mitochondrion,-487,0.0657198381251042,5,48,0.433519147964718,935,0.00461793294054677,4,38,0.0173559895752093
GO:0070588,calcium ion transmembrane transport,-50,0.798244816297149,3,90,0.95847361999545,105,0.529980253842461,3,150,0.668905512154655
GO:0070647,protein modification by small protein conjugation or removal,-341,7.47295666784153e-5,6,487,0.0067098493168195,629,1.01749350165898e-8,3,359,2.56088252102934e-7
GO:0070925,organelle assembly,148,0.0727386276993983,2,537,0.44683615973716,-93,0.380981812490433,2,382,0.531130389692583
GO:0070972,protein localization to endoplasmic reticulum,-1541,1.09964608266785e-14,5,85,2.78420967036753e-11,1438,6.14048402691447e-10,6,77,2.33130241021837e-8
GO:0071103,DNA conformation change,891,3.53898120111368e-10,3,170,1.48501095785193e-7,-833,1.37582592307212e-6,3,141,1.67491851504432e-5
GO:0071229,cellular response to acid chemical,170,0.386590790531712,2,88,0.797901158664581,459,0.0612229743964226,2,69,0.140228272182123
GO:0071236,cellular response to antibiotic,-247,0.23778674033064,2,77,0.686310406615683,222,0.362811009009555,3,70,0.514248369125137
GO:0071383,cellular response to steroid hormone stimulus,24,0.905969848873841,2,82,0.987623006715988,-515,0.109195252597587,2,40,0.21569432611869
GO:0071396,cellular response to lipid,37,0.767940644004658,2,214,0.951207132844099,-88,0.619350261553422,4,134,0.737949247808333
GO:0071407,cellular response to organic cyclic compound,6,0.959708414015046,2,279,0.994152943116611,63,0.691062495359224,5,166,0.792210844219377
GO:0071466,cellular response to xenobiotic stimulus,75,0.739087462274802,2,66,0.944050300888666,-846,4.31280313099139e-4,3,72,0.00228384846652972
GO:0071478,cellular response to radiation,-183,0.268962333784833,2,124,0.715286549254373,122,0.615842546388472,3,70,0.735726562085428
GO:0071482,cellular response to light stimulus,-213,0.297890670767284,2,81,0.736884630817222,20,0.946786775383985,2,47,0.968063498209131
GO:0071495,cellular response to endogenous stimulus,95,0.237381449692226,3,568,0.686310406615683,336,8.17353253991637e-4,3,434,0.00400628290796776
GO:0071684,organism emergence from protective structure,788,0.152827996559734,2,11,0.595058330644789,300,0.344530453405039,2,41,0.496940254750346
