delta.rank,pval,level,nseqs,term,name,p.adj,GO_category,Contrast
1794,0.00161729146770293,3,13,GO:0030149,sphingolipid catabolic process,0.0207244866375892,BP,Variable_vs_Initial
-1797,0.00367166569299922,3,11,GO:0030322,stabilization of membrane potential,0.0385290277113323,BP,Variable_vs_Initial
-544,2.78567953353757e-5,2,259,GO:0030335;GO:2000147;GO:0051272,positive regulation of cellular component movement,9.72949534640439e-4,BP,Variable_vs_Initial
-946,9.12725090907441e-4,2,52,GO:0030431,sleep,0.0135794527810853,BP,Variable_vs_Initial
-603,0.00485369946193292,6,93,GO:0030516;GO:0061387,regulation of extent of cell growth,0.0467260344839525,BP,Variable_vs_Initial
-552,0.00374655954351794,2,118,GO:0030902,hindbrain development,0.0388517384733637,BP,Variable_vs_Initial
-591,0.00281400541443466,2,109,GO:0031098;GO:0051403,stress-activated protein kinase signaling cascade,0.031981394868813,BP,Variable_vs_Initial
-1432,0.00138645864488462,3,21,GO:0031112;GO:0031116,positive regulation of microtubule polymerization or depolymerization,0.0186088008739386,BP,Variable_vs_Initial
-1123,0.00199280274795774,2,32,GO:0031113,regulation of microtubule polymerization,0.0245479013769934,BP,Variable_vs_Initial
-476,8.45602998609278e-5,3,299,GO:0031347,regulation of defense response,0.00241782628655212,BP,Variable_vs_Initial
-408,1.85093862927178e-4,4,372,GO:0031400,negative regulation of protein modification process,0.00415771626214461,BP,Variable_vs_Initial
-564,2.4065025740793e-4,4,183,GO:0031503,protein-containing complex localization,0.00498849804225204,BP,Variable_vs_Initial
-1702,0.00405505142955833,2,12,GO:0031987,locomotion involved in locomotory behavior,0.0411103267053276,BP,Variable_vs_Initial
-464,0.00473490579398698,5,159,GO:0032102,negative regulation of response to external stimulus,0.0459687125219617,BP,Variable_vs_Initial
-528,3.04362009703175e-5,3,273,GO:0032103,positive regulation of response to external stimulus,0.00105023228408421,BP,Variable_vs_Initial
-390,0.00189079777102479,3,277,GO:0032386,regulation of intracellular transport,0.0234934699185032,BP,Variable_vs_Initial
-484,0.00423863327775163,2,150,GO:0032388,positive regulation of intracellular transport,0.0422788664818625,BP,Variable_vs_Initial
-355,0.00416414695840296,3,286,GO:0032535,regulation of cellular component size,0.04177273866503,BP,Variable_vs_Initial
480,6.3773703524855e-5,2,305,GO:0032787,monocarboxylic acid metabolic process,0.00195345333577738,BP,Variable_vs_Initial
-457,0.00267079554886829,4,186,GO:0032956;GO:0032970,regulation of actin filament-based process,0.0305355626824702,BP,Variable_vs_Initial
-402,9.78224099907186e-5,2,420,GO:0034097;GO:0071345,response to cytokine,0.00266822268774684,BP,Variable_vs_Initial
422,8.42314667180874e-4,2,274,GO:0034470,ncRNA processing,0.0128660757696321,BP,Variable_vs_Initial
-704,0.00290663720354253,2,76,GO:0034612;GO:0071356,response to tumor necrosis factor,0.0328008420700306,BP,Variable_vs_Initial
-1354,0.00318298916724682,2,20,GO:0034698,response to gonadotropin,0.0348607303059078,BP,Variable_vs_Initial
-576,8.20568672141243e-5,2,202,GO:0034762,regulation of transmembrane transport,0.00237711376067047,BP,Variable_vs_Initial
-707,3.74220809275552e-5,4,146,GO:0034765;GO:1904062,regulation of ion transmembrane transport,0.00124624232298277,BP,Variable_vs_Initial
-780,0.00285897433884279,2,62,GO:0034767;GO:1904064,positive regulation of ion transmembrane transport,0.0323640415274536,BP,Variable_vs_Initial
-529,3.69931675524128e-4,2,196,GO:0034976,response to endoplasmic reticulum stress,0.00690217797199415,BP,Variable_vs_Initial
-2438,0.00358647457294086,2,6,GO:0035026,leading edge cell differentiation,0.0378670011538684,BP,Variable_vs_Initial
-1562,0.00169546427545647,2,17,GO:0035149,"lumen formation, open tracheal system",0.0214384533549993,BP,Variable_vs_Initial
