,AOI,Ft,Fm,fvfm,file,Tank,Puck,Colony,Date,Treatment_period,Treatment,CBASS_temp,Species
58,1,0.1848,0.3622,0.49,19,3,P105,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
59,2,0.2307,0.4448,0.481,19,3,P40,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
60,3,0.197,0.3959,0.502,19,3,P88,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
61,4,0.1378,0.281,0.51,19,3,P42,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
62,5,0.1931,0.3719,0.481,19,3,P104,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
63,6,0.1931,0.3568,0.459,19,3,P137,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
64,1,0.1926,0.4003,0.519,2,1,P129,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
65,2,0.2204,0.4355,0.494,2,1,P93,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
66,3,0.1681,0.3534,0.524,2,1,P139,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
67,4,0.1632,0.3514,0.535,2,1,P69,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
68,5,0.1672,0.3607,0.537,2,1,P97,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
69,6,0.1979,0.4022,0.508,2,1,P81,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
70,1,0.1867,0.3602,0.482,20,3,P149,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
71,2,0.176,0.3583,0.509,20,3,P117,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
72,3,0.1808,0.3788,0.523,20,3,P130,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
73,4,0.172,0.3446,0.501,20,3,P113,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
74,5,0.2214,0.4184,0.471,20,3,P136,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
75,6,0.1887,0.3827,0.507,20,3,P92,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
76,1,0.2087,0.4379,0.523,21,3,P23,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
77,1,0.1706,0.3456,0.506,22,4,P84,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
78,2,0.1926,0.4071,0.527,22,4,P4,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
79,3,0.1838,0.3739,0.508,22,4,P56,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
80,4,0.1481,0.3192,0.536,22,4,P27,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
81,5,0.2151,0.4433,0.515,22,4,P134,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
82,6,0.195,0.4008,0.513,22,4,P64,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
83,1,0.1784,0.3675,0.515,23,4,P20,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
84,2,0.1769,0.3715,0.524,23,4,P126,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
85,3,0.1554,0.3324,0.532,23,4,P83,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
86,4,0.1779,0.3372,0.472,23,4,P115,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
87,5,0.176,0.3539,0.503,23,4,P70,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
88,6,0.1628,0.3509,0.536,23,4,P60,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
89,1,0.1745,0.3583,0.513,24,4,P52,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
