Species,ID,Colony,Treatment,Treatment_Tank,CBASS_tank,Removed_Date,Reason_removed,mortality_date,CBASS_recovery_tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_salinity,bw_final_temp,tissue_sampled,tissue_sampling_date
Pseudodiploria clivosa,111,A,Untreated,4,1,4/23/22,RTL,4/23/22,,6.5418,3/18/22,35.1,27.5,,,,,Yes,3/22/22
Pseudodiploria clivosa,116,A,Untreated,4,2,4/23/22,RTL,4/23/22,,5.6447,3/18/22,35,27.7,5.8911,4/21/22,36.5,28.3,,
Pseudodiploria clivosa,126,A,Untreated,4,1,4/23/22,RTL,4/23/22,,6.1716,3/18/22,35,27.2,,,,,Yes,3/22/22
Pseudodiploria clivosa,127,A,Untreated,4,2,4/25/22,dead,4/25/22,,7.7264,3/18/22,35.1,27.3,,,,,,
Pseudodiploria clivosa,4,A,Untreated,4,3,6/1/22,tissue sampling,6/1/22,3,6.6728,3/18/22,35.2,27.9,,,,,Yes,4/20/22
Pseudodiploria clivosa,16,A,Untreated,4,3,,,,3,4.9493,3/18/22,35.1,27.4,5.285,4/21/22,36.5,28.3,Yes,6/1/22
Pseudodiploria clivosa,61,A,Untreated,1,3,,,,3,8.6556,3/16/22,35.4,28.3,8.9469,4/21/22,36.2,28,,
Pseudodiploria clivosa,26,A,Untreated,1,4,6/22/22,RTL,,4,8.0687,3/16/22,35.3,27.8,,,,,Yes,3/22/22
Pseudodiploria clivosa,50,A,Untreated,1,4,7/4/22,paling,,4,5.3795,3/16/22,35.4,28.2,,,,,Yes,4/20/22
Pseudodiploria clivosa,69,A,Untreated,1,4,6/28/22,RTL,,4,8.861,3/16/22,35.4,28.2,,,,,Yes,4/20/22
Pseudodiploria clivosa,58,A,Untreated,4,5,4/23/22,RTL,4/23/22,,5.5729,3/18/22,35.1,27.4,,,,,Yes,4/20/22
Pseudodiploria clivosa,110,A,Untreated,4,5,4/23/22,RTL,4/23/22,,5.3386,3/18/22,35.1,28,,,,,Yes,3/30/22
Pseudodiploria clivosa,144,A,Untreated,1,5,4/23/22,RTL,4/23/22,,6.1998,3/16/22,35.3,27.8,,,,,Yes,3/30/22
Pseudodiploria clivosa,5,A,Untreated,1,6,,,,6,7.4694,3/16/22,35.3,27.7,7.767,4/21/22,36.3,28,Yes,6/1/22
Pseudodiploria clivosa,97,A,Untreated,1,6,6/20/22,RTL,6/20/22,7,8.6235,3/16/22,35.3,28.1,8.9379,4/21/22,36.3,28.1,,
Pseudodiploria clivosa,142,A,Untreated,1,6,7/4/22,paling,,6,7.0851,3/16/22,35.3,27.8,7.4345,4/21/22,36.1,28.1,Yes,4/22/22
Pseudodiploria clivosa,30,A,Untreated,1,7,4/23/22,RTL,4/23/22,,4.8434,3/16/22,35.3,28,5.0732,4/21/22,36.1,28.1,,
Pseudodiploria clivosa,33,A,Untreated,1,7,4/25/22,RTL,4/25/22,,5.7359,3/16/22,35.4,28.2,,,,,Yes,3/22/22
Pseudodiploria clivosa,83,A,Untreated,4,7,4/23/22,RTL,4/23/22,,7.1165,3/18/22,35.2,27.9,,,,,Yes,3/30/22
Pseudodiploria clivosa,7,A,Untreated,1,8,,,,8,3.7652,3/16/22,35.3,27.9,3.941,4/21/22,36.1,28,,
Pseudodiploria clivosa,13,A,Untreated,1,8,,,,8,4.4397,3/16/22,35.3,27.7,4.6669,4/21/22,36.3,28.2,,
Pseudodiploria clivosa,34,A,Untreated,4,8,,,,8,6.4236,3/18/22,35.2,27.9,6.7378,4/21/22,36.4,28.4,Yes,4/22/22
Pseudodiploria clivosa,6,B,Treated,3,1,4/25/22,RTL,4/25/22,,4.5006,3/18/22,35.2,26.6,,,,,Yes,4/20/22
Pseudodiploria clivosa,99,B,Treated,2,1,4/23/22,RTL,4/23/22,,5.4498,3/17/22,35.4,27.7,5.6802,4/21/22,36.2,28.2,,
Pseudodiploria clivosa,143,B,Treated,2,1,4/25/22,RTL,4/25/22,,5.8025,3/17/22,35.5,28.3,,,,,,
Pseudodiploria clivosa,14,B,Treated,3,2,4/23/22,RTL,4/23/22,,8.8589,3/18/22,35.2,26.5,9.0321,4/21/22,36.6,28.4,Yes,4/22/22
Pseudodiploria clivosa,59,B,Treated,3,2,4/23/22,RTL,4/23/22,,8.6899,3/18/22,35.2,26.5,8.8315,4/21/22,36.6,28.4,,
Pseudodiploria clivosa,113,B,Treated,3,2,4/23/22,RTL,4/23/22,,5.0489,3/18/22,35.2,26.4,5.0358,4/21/22,36.7,28.4,,
Pseudodiploria clivosa,118,B,Treated,3,2,4/23/22,RTL,4/23/22,,7.6856,3/18/22,35.2,26.6,7.8253,4/21/22,36.5,28.3,,
Pseudodiploria clivosa,45,B,Treated,3,3,,,,3,5.8659,3/18/22,35.2,26.6,,,,,Yes,3/22/22
Pseudodiploria clivosa,78,B,Treated,2,3,7/18/22,bleaching,7/18/22,3,10.9923,3/17/22,35.5,28,11.1855,4/21/22,36.2,27.8,,
Pseudodiploria clivosa,138,B,Treated,3,3,7/18/22,RTL,7/18/22,3,8.5241,3/18/22,35.2,26.6,,,,,Yes,3/30/22
Pseudodiploria clivosa,43,B,Treated,2,4,6/23/22,RTL,,4,6.8385,3/17/22,35.5,28.2,,,,,Yes,3/30/22
Pseudodiploria clivosa,88,B,Treated,3,4,7/18/22,bleaching,7/18/22,4,6.8328,3/18/22,35.2,26.6,6.9975,4/21/22,36.8,28.4,Yes,6/1/22
Pseudodiploria clivosa,96,B,Treated,2,4,7/18/22,bleaching,7/18/22,4,7.9868,3/17/22,35.5,28.3,,,,,Yes,4/20/22
Pseudodiploria clivosa,92,B,Treated,3,5,,,,8,9.7905,3/18/22,35.2,26.5,9.9769,4/21/22,36.8,28.4,Yes,6/1/22
Pseudodiploria clivosa,108,B,Treated,2,5,7/25/22,bleaching,,4,6.7353,3/17/22,35.4,27.7,6.8859,4/21/22,36.2,28.1,Yes,4/22/22
Pseudodiploria clivosa,120,B,Treated,2,5,,,,7,7.744,3/17/22,35.4,27.9,,,,,Yes,3/22/22
Pseudodiploria clivosa,2,B,Treated,2,6,7/14/22,bleaching,7/14/22,6,5.6615,3/17/22,35.4,27.8,5.832,4/21/22,36.8,28.1,Yes,6/1/22
Pseudodiploria clivosa,65,B,Treated,2,6,,,,6,5.6601,3/17/22,35.4,27.8,5.7878,4/21/22,36.1,28.2,,
Pseudodiploria clivosa,90,B,Treated,2,6,6/21/22,dead,6/21/22,6,6.6379,3/17/22,35.5,28.2,,,,,Yes,3/30/22
Pseudodiploria clivosa,112,B,Treated,3,6,,,,6,7.5519,3/18/22,35.2,26.6,,,,,Yes,3/30/22
Pseudodiploria clivosa,79,B,Treated,2,7,6/14/22,RTL,,7,6.0953,3/17/22,35.4,27.8,,,,,Yes,4/20/22
Pseudodiploria clivosa,85,B,Treated,2,7,7/14/22,bleaching,7/14/22,7,4.6809,3/17/22,35.5,28,4.8416,4/21/22,36.2,28.1,Yes,6/1/22
Pseudodiploria clivosa,149,B,Treated,3,7,6/24/22,bleaching,,7,9.9045,3/18/22,35.2,26.5,10.1218,4/21/22,36.6,28.3,Yes,4/22/22
Pseudodiploria clivosa,105,B,Treated,3,8,6/14/22,bleaching,,8,7.6455,3/18/22,35.2,26.5,,,,,Yes,3/22/22
Pseudodiploria clivosa,109,B,Treated,3,8,,,,8,6.4504,3/18/22,35.2,26.6,,,,,Yes,4/20/22
Pseudodiploria clivosa,114,B,Treated,2,8,,,,8,6.4508,3/17/22,35.5,27.9,,,,,Yes,3/22/22
Pseudodiploria clivosa,56,B,Untreated,4,1,4/23/22,RTL,4/23/22,,5.8179,3/18/22,35.1,27.3,,,,,Yes,3/30/22
Pseudodiploria clivosa,66,B,Untreated,1,1,4/23/22,RTL,4/23/22,,8.8578,3/16/22,35.3,28.1,,,,,Yes,4/20/22
Pseudodiploria clivosa,84,B,Untreated,4,1,4/25/22,RTL,4/25/22,,5.4327,3/18/22,35.2,27.9,5.5669,4/21/22,36.4,28.4,,
Pseudodiploria clivosa,32,B,Untreated,1,2,4/23/22,RTL,4/23/22,,8.3464,3/16/22,35.3,28.1,8.5181,4/21/22,36.3,28.1,Yes,4/22/22
Pseudodiploria clivosa,60,B,Untreated,4,2,4/23/22,RTL,4/23/22,,8.3236,3/18/22,35.1,27.6,,,,,,
Pseudodiploria clivosa,70,B,Untreated,4,2,4/23/22,RTL,4/23/22,,10.0206,3/18/22,35.1,27.3,,,,,Yes,3/22/22
Pseudodiploria clivosa,73,B,Untreated,4,2,4/23/22,RTL,4/23/22,,5.1801,3/18/22,35.2,27.9,5.746,4/21/22,36.5,28.3,,
Pseudodiploria clivosa,1,B,Untreated,4,3,7/18/22,bleaching,7/18/22,3,9.2836,3/18/22,35.2,28,,,,,Yes,3/30/22
Pseudodiploria clivosa,29,B,Untreated,1,3,,,,3,5.9094,3/16/22,35.3,27.9,,,,,Yes,3/22/22
Pseudodiploria clivosa,89,B,Untreated,4,3,7/25/22,bleaching,,3,9.067,3/18/22,35,27.3,9.3002,4/21/22,36.5,28.3,Yes,4/22/22
Pseudodiploria clivosa,124,B,Untreated,1,3,7/18/22,RTL,7/18/22,3,6.0551,3/16/22,35.4,28.2,,,,,Yes,4/20/22
Pseudodiploria clivosa,49,B,Untreated,4,4,7/18/22,bleaching,7/18/22,4,7.5736,3/18/22,35.2,27.9,,,,,Yes,4/20/22
Pseudodiploria clivosa,129,B,Untreated,1,4,7/25/22,bleaching,,4,11.8868,3/16/22,35.3,27.9,12.119,4/21/22,36.1,28.1,,
Pseudodiploria clivosa,133,B,Untreated,1,4,7/25/22,bleaching,,4,8.2633,3/16/22,35.4,28.3,8.4353,4/21/22,36.3,28,Yes,4/22/22
Pseudodiploria clivosa,12,B,Untreated,1,5,,,,3,7.5642,3/16/22,35.3,27.7,7.7646,4/21/22,36.2,27.9,Yes,6/1/22
Pseudodiploria clivosa,20,B,Untreated,4,5,7/4/22,paling,,4,8.2193,3/18/22,35.2,28,,,,,Yes,6/1/22
Pseudodiploria clivosa,139,B,Untreated,1,5,,,,8,8.2496,3/16/22,35.3,27.9,8.4715,4/21/22,36.2,28.1,,
Pseudodiploria clivosa,24,B,Untreated,4,6,6/14/22,partial mortality,,6,8.4706,3/18/22,35.1,27.9,,,,,Yes,4/20/22
Pseudodiploria clivosa,93,B,Untreated,1,6,6/14/22,dead,6/14/22,6,4.1982,3/16/22,35.4,28.2,4.4716,4/21/22,36.3,28.1,Yes,6/1/22
Pseudodiploria clivosa,122,B,Untreated,1,6,7/18/22,bleaching,7/18/22,6,4.8715,3/16/22,35.2,28,4.9689,4/21/22,36.2,27.9,,
Pseudodiploria clivosa,27,B,Untreated,4,7,7/4/22,paling,,7,3.7882,3/18/22,35.2,27.9,3.8994,4/21/22,36.5,28.3,,
Pseudodiploria clivosa,52,B,Untreated,4,7,6/1/22,tissue sampling,6/1/22,7,5.8065,3/18/22,35.1,27.1,,,,,Yes,3/22/22
Pseudodiploria clivosa,146,B,Untreated,1,7,,,,7,7.0544,3/16/22,35.3,27.9,,,,,Yes,3/30/22
Pseudodiploria clivosa,9,B,Untreated,1,8,,,,8,9.1714,3/16/22,35.4,28.3,,,,,Yes,3/30/22
Pseudodiploria clivosa,55,B,Untreated,1,8,,,,8,6.1024,3/16/22,35.3,27.9,,,,,Yes,3/22/22
Pseudodiploria clivosa,63,C,Treated,3,1,4/26/22,dead,4/26/22,,7.4639,3/18/22,35.2,26.8,7.9163,4/21/22,36.7,28.4,Yes,4/22/22
Pseudodiploria clivosa,94,C,Treated,2,1,,,,3,7.8635,3/17/22,35.5,28.2,,,,,Yes,3/22/22
Pseudodiploria clivosa,106,C,Treated,2,1,4/26/22,dead,4/26/22,,9.0656,3/17/22,35.4,27.7,9.6875,4/21/22,37.1,28.4,,
Pseudodiploria clivosa,31,C,Treated,2,2,4/25/22,dead,4/25/22,,8.9449,3/17/22,35.5,28.1,9.3768,4/21/22,37,28.4,,
Pseudodiploria clivosa,71,C,Treated,3,2,4/25/22,dead,4/25/22,,5.2867,3/18/22,35.2,26.5,,,,,Yes,3/30/22
Pseudodiploria clivosa,137,C,Treated,3,2,4/23/22,RTL,4/23/22,,8.6123,3/18/22,35.2,26.8,,,,,,
Pseudodiploria clivosa,39,C,Treated,3,3,,RTL,7/14/22,3,3.5515,3/18/22,35.2,26.4,,,,,Yes,4/20/22
Pseudodiploria clivosa,48,C,Treated,2,3,,,,3,5.4308,3/17/22,35.4,27.8,5.8386,4/21/22,36.2,28.2,,
Pseudodiploria clivosa,67,C,Treated,3,3,5/17/22,bleaching,,3,8.5391,3/18/22,35.2,26.5,,,,,Yes,3/22/22
Pseudodiploria clivosa,22,C,Treated,2,4,6/14/22,bleaching,,4,7.5301,3/17/22,35.5,28.3,8.0407,4/21/22,36.2,28.1,,
Pseudodiploria clivosa,104,C,Treated,3,4,6/14/22,bleaching,7/9/22,4,5.9542,3/18/22,35.3,26.8,,,,,Yes,6/1/22
Pseudodiploria clivosa,136,C,Treated,3,4,6/14/22,bleaching,,4,4.6232,3/18/22,35.2,26.4,5.0325,4/21/22,36.8,28.4,Yes,6/1/22
Pseudodiploria clivosa,62,C,Treated,2,5,,,,3,7.0013,3/17/22,35.5,28.3,7.4007,4/21/22,36.2,27.9,Yes,6/1/22
Pseudodiploria clivosa,103,C,Treated,2,5,7/4/22,paling,,4,3.9738,3/17/22,35.4,27.7,,,,,Yes,3/22/22
Pseudodiploria clivosa,140,C,Treated,3,5,6/20/22,bleaching,,7,5.4675,3/18/22,35.2,26.5,,,,,Yes,3/30/22
Pseudodiploria clivosa,23,C,Treated,3,6,,,,6,11.5207,3/18/22,35.2,26.7,12.0683,4/21/22,36.6,28.4,,
Pseudodiploria clivosa,40,C,Treated,3,6,6/14/22,bleaching,,6,8.5203,3/18/22,35.2,26.7,,,,,Yes,3/22/22
Pseudodiploria clivosa,47,C,Treated,2,6,6/14/22,dead,6/14/22,6,3.6486,3/17/22,35.4,27.9,,,,,Yes,3/30/22
Pseudodiploria clivosa,107,C,Treated,2,6,6/20/22,RTL,6/20/22,6,5.1376,3/17/22,35.5,28.2,,,,,Yes,3/30/22
Pseudodiploria clivosa,74,C,Treated,2,7,7/4/22,paling,,7,7.0264,3/17/22,35.4,27.9,7.0954,4/21/22,36.9,28.4,Yes,4/22/22
Pseudodiploria clivosa,76,C,Treated,2,7,6/1/22,tissue sampling,6/1/22,7,5.7246,3/17/22,35.5,28.4,,,,,Yes,4/20/22
Pseudodiploria clivosa,145,C,Treated,2,7,7/4/22,paling,,7,8.4669,3/17/22,35.4,27.8,9.0085,4/21/22,36.3,27.8,,
Pseudodiploria clivosa,15,C,Treated,2,8,6/14/22,bleaching,,8,6.633,3/17/22,35.5,28.3,,,,,Yes,4/20/22
Pseudodiploria clivosa,18,C,Treated,3,8,6/14/22,bleaching,,8,6.2302,3/18/22,35.2,26.7,,,,,Yes,4/20/22
Pseudodiploria clivosa,51,C,Treated,2,8,6/14/22,bleaching,,8,6.2912,3/17/22,35.5,28.2,6.7506,4/21/22,36.2,28,,
Pseudodiploria clivosa,28,C,Untreated,4,1,4/25/22,RTL,4/25/22,,7.1046,3/18/22,35.2,27.9,,,,,Yes,3/22/22
Pseudodiploria clivosa,123,C,Untreated,1,1,4/25/22,RTL,4/25/22,,5.4639,3/16/22,35.4,28.3,,,,,Yes,3/30/22
Pseudodiploria clivosa,131,C,Untreated,4,1,4/25/22,RTL,4/25/22,,7.2307,3/18/22,35.2,27.9,7.5822,4/21/22,36.5,28.3,,
Pseudodiploria clivosa,35,C,Untreated,4,2,4/23/22,RTL,4/23/22,,4.5329,3/18/22,35.1,27.4,,,,,Yes,3/30/22
Pseudodiploria clivosa,38,C,Untreated,1,2,4/23/22,RTL,4/23/22,,9.4743,3/16/22,35.3,28,,,,,Yes,4/20/22
Pseudodiploria clivosa,72,C,Untreated,1,2,4/23/22,RTL,4/23/22,,5.8712,3/16/22,35.3,28.1,6.3614,4/21/22,36.2,28.1,Yes,4/22/22
Pseudodiploria clivosa,44,C,Untreated,4,3,6/14/22,bleaching,,3,5.6028,3/18/22,35.2,27.9,6.0148,4/21/22,36.4,28.4,Yes,4/22/22
Pseudodiploria clivosa,115,C,Untreated,4,3,6/14/22,bleaching,,3,4.531,3/18/22,35.1,27.3,,,,,Yes,3/22/22
Pseudodiploria clivosa,148,C,Untreated,1,3,7/4/22,paling,,3,8.2571,3/16/22,35.3,27.8,,,,,Yes,3/22/22
Pseudodiploria clivosa,46,C,Untreated,1,4,7/4/22,paling,,4,5.8583,3/16/22,35.3,28,6.2503,4/21/22,36.2,28.2,Yes,6/1/22
Pseudodiploria clivosa,68,C,Untreated,1,4,7/4/22,paling,,4,5.6662,3/16/22,35.3,28.2,6.0518,4/21/22,36.1,28.1,,
Pseudodiploria clivosa,134,C,Untreated,4,4,7/4/22,paling,,4,7.1614,3/18/22,35.1,27.2,7.578,4/21/22,36.4,28.4,Yes,4/22/22
Pseudodiploria clivosa,3,C,Untreated,1,5,7/4/22,paling,,4,8.7064,3/16/22,35.3,27.8,,,,,Yes,4/20/22
Pseudodiploria clivosa,17,C,Untreated,1,5,7/4/22,paling,,7,3.5028,3/16/22,35.4,28.2,3.9849,4/21/22,36.3,28,,
Pseudodiploria clivosa,41,C,Untreated,4,5,,,,8,5.3003,3/18/22,35.1,27.3,,,,,Yes,3/30/22
Pseudodiploria clivosa,36,C,Untreated,4,6,6/20/22,RTL,6/20/22,6,9.4801,3/18/22,35.2,27.9,9.9186,4/21/22,36.5,28.3,Yes,4/22/22
Pseudodiploria clivosa,64,C,Untreated,4,6,6/14/22,bleaching,,6,8.1147,3/18/22,35.2,27.9,,,,,Yes,4/20/22
Pseudodiploria clivosa,147,C,Untreated,4,6,6/14/22,bleaching,,6,4.5133,3/18/22,35.1,27.3,4.7872,4/21/22,36.6,28.4,,
Pseudodiploria clivosa,81,C,Untreated,1,7,6/14/22,bleaching,,7,5.3656,3/16/22,35.4,28.2,,,,,Yes,3/30/22
Pseudodiploria clivosa,95,C,Untreated,1,7,6/14/22,bleaching,7/9/22,7,5.1371,3/16/22,35.3,28,5.6845,4/21/22,36.2,28,,
Pseudodiploria clivosa,135,C,Untreated,4,7,5/17/22,bleaching,,7,8.1641,3/18/22,35.2,27.9,,,,,Yes,4/20/22
Pseudodiploria clivosa,80,C,Untreated,4,8,,,,8,4.4558,3/18/22,35.1,27.2,4.8039,4/21/22,36.5,28.4,Yes,6/1/22
Pseudodiploria clivosa,82,C,Untreated,1,8,,,,8,6.9144,3/16/22,35.3,27.9,7.4927,4/21/22,36.1,28.1,Yes,4/22/22
Pseudodiploria clivosa,91,C,Untreated,1,8,,,,8,8.3518,3/16/22,35.2,28,,,,,Yes,3/22/22
