	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora212	22	46	51	33	42	31	36	45	19	32	50	36	14	42	39	13	22	30	40	6	24	6	9	37	13	15	31	12	17	33	36	55	12	30	34	6	40	51	20	12	18	33	40	55	35	22	10	23	
Acropora213	14	11	24	14	19	13	10	18	12	20	16	13	6	11	26	16	11	20	12	9	5	1	13	12	5	12	14	10	7	16	16	39	11	12	17	10	9	26	14	9	9	11	22	20	20	8	7	23	
Acropora214	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Acropora215	5	2	1	4	7	3	0	16	0	0	6	4	1	6	10	2	0	5	3	0	4	0	0	3	0	0	10	4	2	5	1	3	0	5	2	1	1	5	3	5	0	2	1	5	0	2	0	7	
Acropora216	0	0	0	0	1	2	1	1	2	3	1	0	0	4	0	1	1	3	10	0	0	0	0	3	2	0	1	0	0	2	0	1	0	1	8	0	1	0	0	1	0	2	0	1	2	2	2	0	
Acropora217	3	2	2	1	0	2	3	1	0	2	3	2	0	1	0	0	0	0	3	0	0	0	1	2	0	1	7	0	0	4	9	4	1	2	2	0	1	3	3	0	0	0	0	3	2	0	0	2	
Acropora218	8	0	7	7	1	8	3	15	2	8	9	3	1	3	3	3	2	2	13	0	3	1	1	6	2	2	12	0	0	3	15	6	3	7	6	0	8	8	0	0	0	1	1	9	8	4	0	18	
Acropora219	2	1	1	2	0	1	0	3	1	0	1	1	0	4	1	0	0	3	4	0	0	0	0	3	0	2	2	0	0	1	4	2	1	0	1	0	1	1	0	1	1	1	1	4	2	0	0	0	
Acropora22	221	280	238	145	270	211	252	288	140	176	244	240	88	188	165	122	116	188	227	44	61	13	92	228	92	75	194	17	69	213	248	279	123	186	219	61	208	367	157	84	110	152	233	368	238	92	67	194	
Acropora220	23	17	18	21	18	32	5	40	8	20	48	14	2	23	13	6	14	19	39	0	11	0	8	24	12	6	21	2	1	31	34	21	3	22	12	2	10	26	13	6	5	1	9	34	10	6	3	18	
Acropora221	7	12	6	6	3	8	2	9	6	10	8	8	9	4	15	9	17	5	12	4	3	1	3	10	5	4	4	12	3	6	5	14	4	6	9	4	7	10	5	16	4	8	5	6	7	5	5	6	
Acropora222	10	23	19	13	11	8	19	10	12	11	16	16	11	11	31	13	9	11	15	1	3	2	8	15	8	5	9	3	2	11	17	28	7	6	10	7	11	31	12	6	11	14	20	14	10	10	10	16	
Acropora223	9	4	13	8	7	6	9	12	7	10	16	3	0	8	3	9	14	2	7	1	0	1	4	2	5	1	4	0	0	9	6	15	1	8	4	4	9	23	6	5	3	8	15	7	16	4	5	2	
Acropora224	14	27	29	23	13	13	38	14	15	31	29	22	16	9	25	19	17	20	18	5	16	1	6	10	5	8	19	4	8	20	14	33	16	22	8	2	23	26	13	7	13	6	23	15	26	9	12	24	
Acropora225	23	34	33	44	13	40	26	45	39	59	99	27	15	40	68	43	43	29	48	7	18	1	27	31	9	8	32	2	9	25	36	63	22	34	12	5	14	64	23	11	10	11	15	45	18	8	8	41	
Acropora226	1	4	1	3	1	4	0	0	0	0	5	0	0	1	1	0	2	4	0	0	0	0	1	0	0	2	0	0	0	2	0	1	0	1	0	1	2	2	6	3	0	0	1	2	5	3	0	1	
Acropora227	37	13	38	34	28	32	47	27	25	22	35	23	13	24	26	35	27	16	30	2	15	8	12	17	16	11	22	3	6	44	26	35	19	19	29	6	31	41	32	21	24	18	35	55	25	14	22	30	
Acropora228	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	
Acropora229	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	
Acropora23	117	109	129	84	96	96	110	134	117	106	141	102	63	66	159	183	116	89	117	28	113	30	76	66	54	83	81	23	37	92	100	204	77	84	80	40	75	180	162	73	70	87	91	137	124	42	62	70	
Acropora230	1986	3550	3779	3374	3037	2995	3534	4354	1128	2847	6087	3904	1588	3920	1195	681	1296	3760	3555	616	576	224	1393	3377	1311	631	3364	360	562	3694	3267	3179	913	3824	1689	494	3219	5059	1619	556	717	1517	2731	4090	1757	673	630	3350	
Acropora231	7	29	23	16	19	9	24	21	1	13	39	32	16	21	1	2	5	20	46	5	2	2	1	10	8	0	21	0	6	19	30	3	1	19	7	3	22	27	2	1	2	10	17	38	13	2	2	19	
Acropora232	11	75	89	51	38	46	51	71	15	15	131	106	28	72	9	5	10	60	94	14	5	1	4	60	23	5	65	3	5	70	78	35	7	59	9	3	74	68	20	2	4	21	28	103	22	5	2	62	
Acropora233	1	3	0	1	1	3	2	3	0	2	9	3	2	2	0	0	0	4	7	0	0	0	0	1	0	0	1	0	0	5	5	1	0	4	0	0	3	7	0	0	0	0	2	2	1	0	0	0	
Acropora234	10	25	31	33	26	30	18	35	2	18	59	48	7	30	4	2	4	34	33	6	4	0	5	25	9	2	31	1	1	33	37	12	3	30	5	5	28	49	4	1	1	8	17	35	7	0	5	21	
Acropora235	0	0	0	1	1	0	0	2	0	1	1	3	1	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Acropora236	0	2	0	1	1	3	3	0	0	0	2	1	1	4	0	0	0	2	6	0	0	0	0	1	0	0	2	0	0	5	2	2	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	2	
Acropora237	22	51	29	28	42	23	32	45	6	14	54	49	28	62	6	9	13	49	40	3	0	0	4	34	8	2	45	2	5	48	38	26	7	47	12	1	40	94	7	5	5	17	18	66	17	0	7	29	
Acropora238	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	
Acropora239	6	3	12	0	5	5	6	5	4	5	4	7	4	5	2	2	7	7	8	0	5	1	1	3	3	18	6	0	7	8	4	5	3	12	5	4	9	23	8	3	6	13	9	16	7	4	0	10	
Acropora24	53	74	83	51	80	58	84	66	35	72	93	44	29	76	57	54	58	54	86	10	37	9	38	46	33	26	71	3	32	62	64	85	55	64	70	13	69	103	62	46	30	39	82	119	78	23	17	66	
Acropora240	3	9	4	6	3	7	10	8	3	6	3	3	0	5	3	5	3	9	5	1	4	0	1	1	0	4	2	0	2	1	9	9	0	2	0	0	4	7	1	5	6	1	6	3	5	2	2	3	
Acropora241	782	1046	1068	791	933	897	971	1156	315	637	1507	1275	542	817	404	210	374	1141	1086	249	180	91	331	902	337	197	874	194	196	977	1053	1004	281	915	591	168	917	1127	476	188	291	595	745	1183	436	212	276	828	
Acropora242	331	631	519	436	509	486	481	639	139	335	913	715	256	493	188	101	169	574	600	122	94	30	151	388	175	85	445	49	83	576	582	451	141	505	304	67	509	635	284	119	114	263	436	679	261	88	95	410	
Acropora243	3	2	1	2	2	3	1	1	2	2	1	2	1	3	1	0	1	6	1	1	0	0	1	2	0	0	1	1	0	2	2	4	0	1	2	0	0	3	2	0	1	0	0	4	5	0	1	0	
Acropora244	123	145	157	94	111	161	173	129	57	79	137	119	68	95	90	48	75	73	132	13	64	19	52	97	49	54	99	10	25	129	123	126	55	88	109	38	76	161	120	59	48	76	122	254	130	35	38	90	
Acropora245	99	105	110	41	78	119	122	98	69	103	85	84	39	78	77	35	75	75	111	14	69	7	35	74	51	47	112	10	35	124	129	135	67	111	109	29	83	148	93	51	30	72	168	178	121	49	25	95	
Acropora246	24	28	26	31	26	38	48	31	26	38	39	38	20	27	25	19	22	20	19	12	24	6	11	19	8	17	26	7	26	40	29	61	24	29	33	12	22	44	39	10	7	20	25	42	41	20	11	29	
Acropora247	13	18	9	21	18	12	18	15	5	15	18	18	10	15	16	12	18	9	18	8	10	0	12	8	22	3	17	0	10	24	14	24	7	15	10	2	11	11	11	4	8	16	19	20	20	5	2	4	
Acropora248	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	3	2	3	0	0	0	
Acropora249	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora25	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora250	2	2	5	0	7	2	0	4	0	6	8	4	2	4	6	0	1	1	8	0	0	3	1	3	3	3	9	0	0	7	3	8	2	4	6	0	4	5	6	2	2	4	8	15	2	1	0	7	
Acropora251	267	316	321	141	281	241	354	357	161	187	223	251	128	195	177	141	167	228	260	37	133	24	106	181	112	84	171	31	66	164	221	364	103	145	207	54	157	414	176	85	107	205	216	388	196	65	118	177	
Acropora252	15	9	10	6	4	7	14	8	3	2	9	5	1	10	7	2	11	7	12	0	3	1	4	3	4	7	5	0	1	11	9	11	4	6	7	2	3	15	12	4	3	5	9	16	5	2	2	13	
Acropora253	2	16	15	8	8	12	12	15	3	10	16	10	4	12	4	3	4	13	14	2	2	7	3	11	6	1	16	3	1	7	9	9	4	13	16	3	18	28	5	3	3	7	13	14	12	2	6	9	
Acropora254	3	4	4	9	3	3	10	7	5	9	9	3	5	5	3	5	3	8	9	4	4	0	7	4	4	2	9	2	3	5	6	3	5	8	9	6	10	20	2	0	3	7	7	6	2	0	4	7	
Acropora255	37	77	72	38	48	41	45	68	21	39	63	58	25	47	36	19	31	47	54	7	10	9	15	32	9	13	39	11	13	39	39	58	18	46	32	9	50	54	14	12	17	28	40	67	25	10	13	34	
Acropora256	32	27	24	26	35	27	41	39	31	44	28	43	22	30	41	31	40	29	50	13	26	13	21	25	20	17	19	2	20	22	22	57	26	28	28	23	45	42	30	15	22	29	34	35	33	9	15	28	
Acropora257	8	7	5	2	10	7	3	5	1	12	9	3	2	6	1	2	2	5	14	2	2	0	4	6	0	2	6	0	1	5	14	5	2	1	5	2	7	10	3	3	3	0	4	5	5	3	1	9	
Acropora258	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	2	1	1	0	0	0	1	1	0	0	0	
Acropora259	8	10	4	2	4	4	11	7	14	8	10	7	6	2	7	4	2	9	13	0	4	0	5	3	2	3	9	0	3	4	19	9	4	6	10	0	5	13	13	1	1	5	11	7	7	1	3	4	
Acropora26	53	78	83	46	66	77	90	93	25	39	93	76	41	71	55	15	43	54	67	9	34	9	15	62	31	25	50	1	19	87	74	41	28	56	58	12	53	61	36	17	27	32	72	97	51	18	23	48	
Acropora260	1	4	3	2	2	1	3	2	2	2	7	3	0	5	2	0	1	3	4	0	0	0	0	1	1	1	7	0	0	1	3	6	1	5	1	0	1	4	2	3	0	1	7	8	4	1	3	3	
Acropora261	12	8	15	9	13	5	11	14	6	13	9	10	8	8	20	4	8	11	8	8	7	0	3	8	2	12	1	0	4	12	8	15	8	7	20	5	7	21	11	6	9	14	23	29	12	7	6	7	
Acropora262	19	14	11	10	9	17	15	12	3	7	25	8	11	9	13	11	9	13	10	2	3	3	16	6	5	1	8	0	1	7	6	21	4	7	8	4	10	12	15	1	3	9	6	11	14	11	1	11	
Acropora263	32	39	24	18	32	24	20	29	22	35	37	29	16	31	32	16	22	53	28	13	14	8	16	37	7	18	16	7	11	25	37	19	19	47	13	6	40	46	19	19	15	24	29	36	20	10	15	36	
Acropora264	12	15	7	6	4	11	12	7	6	7	11	7	5	9	3	5	2	9	16	2	5	2	1	5	5	3	3	4	4	6	8	10	7	5	1	0	7	14	7	1	1	3	14	7	8	5	4	11	
Acropora265	0	0	0	1	0	0	0	2	1	0	0	3	2	3	1	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	
Acropora266	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora267	18	28	8	10	34	27	20	15	8	22	27	22	6	27	11	11	15	28	19	10	6	3	5	13	6	7	63	4	15	34	11	31	7	33	11	8	28	35	11	10	6	15	22	32	9	13	17	44	
Acropora268	23	21	25	15	10	23	27	33	17	17	36	27	12	28	11	9	18	12	25	2	10	0	10	18	3	11	22	0	12	23	20	26	5	27	21	4	26	32	15	7	10	13	25	33	29	13	5	22	
Acropora269	22	18	31	16	22	33	41	32	8	24	47	24	8	16	21	23	16	38	28	5	16	1	16	26	15	13	16	7	5	17	29	39	11	16	20	4	17	24	19	16	6	12	23	33	7	7	5	21	
Acropora27	9	18	10	3	9	21	18	15	14	14	6	5	4	18	10	10	17	18	12	6	7	5	3	17	8	10	19	7	14	19	6	18	19	16	14	5	4	14	9	5	10	13	18	29	27	6	13	11	
Acropora270	7	6	14	10	2	3	8	6	9	13	17	4	3	9	9	19	8	9	10	3	4	4	5	1	1	4	4	2	11	7	2	13	11	4	8	0	11	10	3	1	2	6	7	1	5	9	0	13	
Acropora271	0	1	3	1	3	6	4	1	0	1	0	1	0	2	1	0	1	1	2	0	0	0	2	0	2	0	3	0	1	3	3	1	1	1	1	0	4	5	5	0	4	1	2	3	6	1	2	4	
Acropora274	6	3	8	3	10	8	5	10	9	5	8	5	4	5	8	3	1	3	5	3	2	0	1	7	0	2	4	0	0	6	5	16	0	3	5	0	5	13	5	2	3	3	4	7	4	2	2	4	
Acropora275	2	8	5	3	1	2	2	2	3	1	1	2	0	5	0	4	5	2	1	0	4	0	1	3	0	0	3	2	0	3	0	2	0	1	0	0	2	3	6	1	2	0	3	4	1	1	2	0	
Acropora276	1	0	2	1	1	1	3	4	1	3	2	4	0	3	2	2	1	3	5	0	3	0	0	0	1	1	3	0	1	5	4	8	1	1	0	2	1	3	1	2	2	1	0	2	2	2	0	0	
Acropora277	107	158	150	100	113	87	109	149	74	133	218	139	73	134	116	122	109	106	173	15	56	9	66	96	60	52	72	10	29	87	126	151	95	100	69	28	79	189	83	37	49	60	128	209	116	36	24	75	
Acropora278	12	27	15	7	20	20	15	18	11	30	25	19	4	12	8	11	6	20	10	2	4	5	10	13	4	2	13	0	4	8	20	29	7	8	8	1	5	21	4	2	2	9	13	21	12	9	4	9	
Acropora279	20	24	24	23	18	22	25	42	7	30	35	21	7	15	7	5	11	18	23	7	4	2	12	20	4	6	23	1	7	21	20	35	4	17	12	7	9	33	12	4	3	18	21	29	14	3	4	14	
Acropora28	19	36	20	18	20	20	23	24	10	9	25	27	10	29	9	6	7	25	28	3	15	3	6	10	3	5	15	1	3	18	27	23	14	22	19	6	14	15	9	7	8	11	28	35	13	1	7	12	
Acropora280	73	106	115	61	138	71	69	121	29	51	108	72	37	82	71	27	41	75	133	12	23	8	37	140	35	20	51	11	14	53	144	100	38	69	90	23	76	105	46	32	40	49	72	151	52	22	16	68	
Acropora281	1	3	3	1	3	3	1	2	0	1	1	0	0	2	1	2	4	2	0	3	0	0	1	2	0	0	3	1	0	1	2	3	1	0	1	0	3	4	4	1	3	0	0	4	0	5	4	1	
Acropora282	8	7	21	14	13	10	17	13	9	7	9	15	6	21	3	5	4	9	20	0	1	1	3	3	6	4	13	0	0	10	6	11	3	12	8	1	10	18	11	0	2	5	8	25	4	0	0	3	
Acropora283	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	
Acropora284	7	5	17	4	8	1	3	11	3	8	11	7	5	14	8	2	3	4	11	2	3	0	3	9	3	3	9	0	1	4	11	15	5	8	7	0	3	13	15	1	4	6	4	14	1	3	4	2	
Acropora285	5	6	3	3	3	7	7	6	1	2	4	4	1	2	3	1	2	2	3	1	0	0	6	1	0	1	6	1	2	2	4	4	0	6	4	0	1	5	3	4	1	2	4	5	3	2	3	3	
Acropora286	1	0	1	0	0	3	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	1	7	0	0	0	0	3	3	1	0	1	0	
Acropora287	6	18	21	12	8	18	21	19	3	7	11	13	4	8	8	1	15	8	19	1	10	0	3	14	4	5	8	1	1	34	9	10	11	14	11	6	11	13	6	6	9	3	16	20	16	4	6	18	
Acropora288	6	8	10	3	3	5	6	5	5	13	9	7	4	6	7	5	6	2	8	3	7	0	7	6	7	9	14	0	10	17	12	21	9	13	12	2	8	32	20	7	10	8	20	19	13	3	7	18	
Acropora289	7	5	2	3	3	4	5	6	3	4	10	8	4	2	9	3	1	4	6	7	4	3	2	6	5	7	6	1	2	4	8	6	2	6	4	3	5	9	1	2	0	5	3	12	4	0	1	4	
Acropora29	45	84	58	62	87	70	81	106	31	64	87	74	21	62	59	15	39	89	93	20	11	6	27	48	23	11	79	25	15	39	59	92	17	43	61	15	55	109	40	16	21	54	46	73	24	22	45	64	
Acropora290	4	8	5	4	3	6	2	4	2	2	11	8	2	11	7	3	9	2	8	3	5	0	0	5	2	3	12	2	1	7	3	8	5	14	6	1	2	15	2	1	6	2	5	23	8	4	1	3	
Acropora291	1	1	2	1	1	1	0	0	0	1	1	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	2	0	1	2	1	1	0	0	2	1	1	0	0	0	1	2	0	0	1	0	
Acropora292	3	8	6	1	3	5	11	4	2	3	5	4	1	3	5	3	3	2	3	3	2	0	5	3	3	1	4	0	2	6	7	5	3	4	0	0	8	4	5	1	2	7	4	9	7	0	1	8	
Acropora293	0	2	1	5	3	3	0	2	0	3	0	3	0	0	4	0	2	1	5	0	2	0	1	0	0	0	0	0	0	4	3	2	2	1	1	0	2	1	1	0	0	1	4	6	1	0	0	2	
Acropora294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
Acropora295	45	30	24	20	28	22	21	30	15	13	48	23	12	16	32	38	24	21	42	2	24	1	21	22	14	21	18	3	11	23	42	36	19	14	12	5	28	28	36	25	19	11	33	43	51	11	6	18	
Acropora296	16	19	23	14	38	26	37	31	15	15	44	20	7	16	17	16	17	33	21	9	9	6	11	16	17	12	18	2	8	31	29	37	14	24	18	4	25	40	13	10	13	26	22	24	21	6	19	21	
Acropora297	101	224	151	96	202	177	184	155	69	65	175	118	144	113	150	115	87	174	143	32	39	10	40	94	59	53	190	33	49	147	147	172	72	85	118	75	298	155	80	44	97	152	147	151	168	39	69	137	
Acropora298	24	22	16	16	27	34	33	23	13	20	37	28	17	36	34	16	16	22	21	4	9	2	10	20	3	10	27	8	12	31	46	43	10	19	35	16	34	23	22	10	12	14	31	23	12	13	19	29	
Acropora299	250	199	150	147	130	207	274	145	130	152	247	156	123	159	279	159	199	82	227	33	155	49	129	112	94	164	166	21	84	205	172	259	173	165	181	82	160	269	246	157	109	123	279	281	229	91	127	162	
Acropora30	10	10	11	11	7	6	4	20	6	9	11	5	1	9	1	6	6	7	20	1	2	1	8	13	7	2	10	1	2	9	9	10	10	8	3	1	14	9	1	2	0	6	5	15	1	1	4	4	
Acropora300	61	188	167	62	146	54	159	81	42	47	80	161	88	49	48	33	46	118	81	26	39	14	17	49	51	26	75	24	59	99	64	92	36	72	72	63	212	132	90	59	48	145	230	142	91	28	82	69	
Acropora301	197	253	263	111	218	222	243	294	84	169	236	198	72	191	148	109	97	201	236	41	70	17	76	185	83	67	190	21	39	187	214	311	111	163	172	48	183	326	156	75	91	145	200	293	169	57	80	167	
Acropora302	15	5	9	15	8	22	10	10	9	8	8	9	1	11	13	7	12	5	20	1	1	0	3	9	6	4	16	0	4	23	17	16	9	3	13	2	9	19	11	4	8	1	16	17	14	7	3	6	
Acropora303	9	11	12	6	12	11	10	9	10	5	11	6	13	6	19	18	13	11	14	6	8	2	10	7	3	5	5	1	4	19	8	20	18	6	14	4	14	8	15	5	4	18	12	26	16	5	8	10	
Acropora304	2	9	5	0	2	5	2	2	0	1	2	7	3	1	1	0	1	0	1	0	0	0	0	0	0	0	5	0	0	1	0	1	2	3	1	0	3	1	2	0	0	2	2	1	3	0	0	1	
Acropora305	8	13	21	11	9	13	20	18	2	17	16	10	2	13	8	7	4	17	16	7	6	4	4	9	8	9	23	2	4	13	12	20	5	11	11	1	8	24	11	2	4	10	14	20	10	1	4	9	
Acropora306	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
Acropora307	2	3	2	8	3	1	0	3	10	5	4	1	3	0	4	2	3	2	4	8	2	3	4	3	4	3	1	13	6	0	0	4	3	2	2	2	4	2	5	1	0	7	0	5	1	6	2	4	
Acropora308	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora31	3	2	3	0	4	0	3	8	4	5	9	9	3	3	7	2	7	3	4	1	1	0	6	4	4	3	6	0	0	8	4	7	7	0	2	0	3	12	2	0	4	3	2	4	5	0	0	5	
Acropora310	12	7	5	4	6	4	6	16	5	4	10	1	0	2	4	1	1	5	5	1	1	0	0	5	1	1	0	1	3	4	4	14	2	2	1	0	7	13	3	1	1	3	4	6	7	1	0	1	
Acropora311	13	16	16	9	9	13	15	27	14	8	7	7	11	8	15	15	6	7	7	12	11	0	7	14	13	7	7	13	8	28	11	32	6	21	15	10	8	15	12	4	12	8	23	19	20	21	8	9	
Acropora312	9	5	5	2	4	4	10	10	3	3	3	5	6	9	6	3	5	2	4	0	4	0	3	4	4	5	13	0	0	5	4	15	5	8	7	0	5	8	10	3	0	2	10	15	7	0	7	9	
Acropora313	6	5	3	2	2	5	4	2	1	3	6	3	1	2	4	0	7	2	1	2	0	0	2	1	2	0	1	0	0	3	3	3	2	0	3	0	0	2	0	1	0	3	5	6	6	5	0	1	
Acropora314	13	6	9	4	6	3	7	7	3	7	5	14	4	11	10	3	5	7	6	1	12	2	1	4	7	7	8	0	5	14	9	11	7	6	4	5	9	23	6	10	6	2	7	19	15	1	4	11	
Acropora315	194	237	226	137	212	209	287	320	101	206	294	215	90	218	158	122	145	248	251	54	73	18	131	176	96	84	173	16	53	191	234	366	119	151	183	43	194	332	167	93	68	141	202	267	172	32	80	172	
Acropora316	2	4	0	3	6	8	5	1	1	5	0	4	3	1	3	2	2	2	5	2	2	0	2	0	1	2	4	1	3	5	1	0	4	2	2	0	0	2	4	2	0	2	3	6	5	1	2	2	
Acropora317	4	21	4	6	11	6	19	10	6	8	13	6	10	5	7	4	8	3	7	0	1	1	4	1	9	1	8	2	3	12	4	4	4	11	9	4	4	10	6	7	2	4	6	16	8	3	3	8	
Acropora318	22	54	33	23	44	44	46	34	30	25	50	27	37	35	64	24	39	30	31	24	21	15	24	19	17	14	34	7	35	51	32	59	23	28	27	31	37	34	29	13	12	39	38	39	28	16	13	31	
Acropora319	128	162	137	92	105	120	134	110	111	124	164	140	88	114	176	162	175	104	132	58	113	33	80	70	59	117	88	15	79	154	110	141	103	108	82	30	102	111	155	87	84	63	142	181	183	59	74	92	
Acropora32	20	36	16	21	19	15	27	24	25	43	30	39	6	31	40	9	47	12	10	0	5	4	13	7	7	3	23	8	3	30	19	26	6	21	17	4	20	65	14	8	8	18	9	17	13	4	2	22	
Acropora320	14	9	11	6	11	14	24	21	8	9	12	6	5	5	3	10	10	5	17	1	8	0	2	8	11	7	4	1	1	11	13	19	5	12	6	5	21	14	10	2	1	7	19	25	15	5	1	5	
Acropora321	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
Acropora322	25	53	45	27	39	39	39	69	31	47	39	55	31	48	36	32	45	36	53	8	28	7	23	30	25	21	36	3	12	48	42	74	20	33	26	14	47	58	34	18	10	23	37	88	45	12	20	33	
Acropora323	14	23	21	12	24	23	45	36	14	14	25	23	7	16	26	5	12	18	13	6	9	4	5	18	14	6	16	3	2	17	23	44	13	15	9	14	12	16	13	2	4	12	14	28	17	8	6	14	
Acropora324	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora325	21	17	17	16	7	20	17	19	5	18	23	16	7	28	12	11	19	7	34	5	9	2	8	12	5	13	24	0	3	18	40	36	14	21	14	4	15	32	14	16	11	13	17	32	22	10	4	13	
Acropora326	31	89	101	41	92	60	68	85	16	47	75	87	35	78	46	15	19	97	58	22	15	13	16	47	18	14	49	9	21	45	53	70	26	45	19	8	101	76	31	15	22	56	52	71	28	11	16	61	
Acropora327	9	37	26	19	25	17	17	17	4	43	32	28	8	35	19	3	7	21	10	4	7	0	6	13	9	4	20	0	4	24	9	33	10	29	9	5	21	28	8	2	5	15	22	29	20	5	3	18	
Acropora328	0	0	1	0	1	0	2	1	1	0	1	0	1	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	
Acropora329	16	17	29	70	18	33	19	22	23	54	86	26	15	43	30	14	25	16	26	7	6	2	19	19	12	5	47	4	4	52	27	21	24	52	12	4	30	70	16	0	7	16	19	39	16	8	10	52	
Acropora33	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
Acropora330	2	1	3	2	5	5	7	7	0	3	4	4	0	1	6	7	2	1	5	7	6	1	0	2	4	2	0	2	7	2	2	12	6	5	10	7	8	5	11	5	1	3	4	7	5	7	8	0	
Acropora331	7	8	2	8	5	4	10	11	1	4	13	16	4	5	4	1	4	4	13	3	1	1	6	6	1	5	9	1	1	4	5	7	4	5	6	0	7	13	7	2	0	1	5	9	4	4	1	5	
Acropora332	2	31	27	6	21	3	21	4	5	2	12	29	5	6	5	3	4	19	5	3	1	0	4	3	1	0	3	0	2	0	0	4	3	2	0	0	13	10	2	0	0	8	18	3	0	0	2	4	
Acropora333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Acropora334	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	3	
