	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora125	9	9	6	7	7	9	3	18	14	5	15	7	1	9	9	11	13	3	13	0	4	1	10	2	6	18	10	0	7	9	20	23	9	6	19	4	10	26	5	7	12	7	6	15	18	9	2	9	
Acropora126	11	32	40	5	20	21	44	22	12	13	14	33	17	18	14	2	10	21	24	1	9	2	5	11	4	7	11	8	11	19	28	22	5	11	21	11	40	20	13	10	10	14	52	35	33	3	11	15	
Acropora127	35	91	78	66	93	45	76	57	46	62	93	81	38	58	72	31	55	53	49	18	30	5	42	52	23	23	90	11	32	54	56	85	45	57	47	22	65	87	41	23	14	42	61	74	45	21	14	76	
Acropora128	25	33	23	9	19	34	25	27	11	19	31	29	23	25	15	10	10	21	21	2	6	0	8	20	4	6	25	2	6	20	19	37	12	19	25	5	25	34	15	8	7	15	28	35	11	2	12	25	
Acropora129	24	22	19	24	17	22	22	19	16	25	16	24	13	18	17	18	17	21	22	3	20	4	13	14	26	12	29	5	8	24	28	38	18	27	23	15	24	22	26	16	13	16	34	43	25	20	12	34	
Acropora13	46	48	36	24	25	55	55	39	30	42	39	51	35	27	48	67	30	26	40	14	34	11	19	27	31	27	38	12	9	50	33	47	26	32	35	9	42	43	46	35	12	22	62	77	64	11	27	29	
Acropora130	36	28	27	22	29	41	37	57	46	69	55	24	13	43	83	46	67	29	56	11	34	12	48	32	36	51	52	11	17	37	49	67	57	49	52	12	20	91	71	33	35	17	51	88	75	19	39	59	
Acropora131	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Acropora132	188	365	318	379	253	362	487	325	166	259	743	480	203	493	213	94	177	312	339	42	109	19	153	239	110	86	484	35	67	530	363	351	161	591	246	62	372	441	227	109	128	124	492	524	311	116	59	278	
Acropora133	79	106	109	60	84	70	76	57	83	57	92	86	41	79	93	79	60	42	97	12	47	9	47	32	43	65	77	7	31	81	67	92	71	83	78	22	67	114	95	44	50	65	96	127	85	45	34	85	
Acropora134	7	7	10	9	12	4	2	8	0	3	8	5	2	6	1	2	0	5	14	0	0	0	1	6	1	0	11	0	0	3	6	9	0	8	3	0	6	16	2	2	0	12	4	17	5	1	1	7	
Acropora135	0	0	0	1	0	0	0	1	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	
Acropora136	5	3	1	1	1	0	8	2	6	6	1	4	2	3	2	0	2	0	1	0	0	0	1	2	2	1	2	2	1	0	3	6	2	3	6	0	4	2	5	1	0	0	4	4	6	0	1	1	
Acropora137	19	25	16	20	24	20	31	35	23	27	41	13	10	24	22	18	36	33	27	13	12	4	16	17	15	12	11	1	7	13	21	39	11	22	10	4	14	25	28	2	7	10	17	20	16	5	5	18	
Acropora138	257	335	327	132	255	269	399	284	203	241	255	265	138	199	240	216	207	208	242	51	169	41	124	183	185	203	306	32	136	347	333	454	267	287	427	131	321	535	344	200	198	246	528	497	501	134	207	272	
Acropora139	0	1	0	0	0	2	0	0	1	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	1	
Acropora14	132	257	184	55	186	135	129	209	34	39	92	175	60	62	42	34	37	147	217	21	42	15	27	120	74	32	63	15	39	50	156	153	29	68	93	18	150	63	73	27	35	62	129	202	72	19	36	49	
Acropora140	3	2	2	2	2	4	1	2	2	0	7	6	2	7	0	5	1	1	4	1	1	0	0	1	1	1	6	0	3	1	2	0	2	7	5	1	1	1	4	0	1	0	0	5	3	1	0	2	
Acropora141	10	22	7	10	17	13	16	10	30	13	15	12	8	13	16	12	8	4	13	7	0	4	4	10	2	4	12	5	14	17	7	25	10	10	12	14	11	14	12	2	1	19	7	10	9	31	2	9	
Acropora142	40	92	56	37	47	51	47	67	18	40	53	49	12	38	23	21	26	50	67	7	28	4	11	53	15	19	31	5	13	40	69	65	32	41	43	13	41	98	34	18	12	39	43	90	37	10	11	41	
Acropora143	17	21	17	10	10	12	20	21	10	22	21	20	6	12	25	12	12	9	16	6	6	1	6	9	4	7	23	0	9	16	14	30	15	14	14	3	9	22	14	10	5	13	14	28	13	5	4	12	
Acropora144	50	70	51	33	47	53	75	80	35	67	63	53	23	63	41	35	49	41	63	7	31	6	33	41	44	23	68	8	17	70	65	82	26	57	68	12	63	70	49	49	35	30	88	84	50	21	34	56	
Acropora145	2	0	6	5	1	3	5	5	0	2	5	0	0	2	2	0	0	2	8	4	1	0	2	4	3	0	2	0	0	2	2	4	1	3	0	0	2	5	1	1	3	2	0	5	4	0	1	1	
Acropora146	60	121	71	64	102	83	75	73	29	65	95	77	45	92	50	51	44	67	69	11	30	3	32	46	38	12	119	4	17	79	51	79	61	73	64	15	104	130	53	23	37	73	116	156	89	20	29	59	
Acropora148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	1	
Acropora149	0	6	6	2	2	2	4	5	4	5	2	3	3	3	6	4	1	3	5	0	0	0	3	2	2	7	5	0	4	5	7	5	5	2	4	2	4	11	8	3	3	10	5	4	8	3	4	3	
Acropora15	83	145	137	40	107	58	91	100	24	33	71	142	45	57	19	15	24	118	103	22	29	12	18	64	24	21	37	9	14	28	92	103	17	42	29	31	124	91	46	20	20	72	70	123	44	21	33	34	
Acropora150	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	
Acropora151	10	2	2	0	4	2	6	3	4	1	2	2	2	6	2	5	0	1	2	0	2	0	0	2	1	7	3	0	1	1	5	4	1	0	3	0	5	7	1	1	0	2	6	4	4	3	1	1	
Acropora152	30	64	47	30	39	52	58	46	21	52	54	37	26	30	33	12	33	51	46	6	8	8	25	20	13	10	33	4	12	34	24	61	36	34	19	5	50	55	29	10	13	37	56	43	38	16	12	41	
Acropora153	10	4	10	3	9	12	9	7	5	11	17	14	2	15	8	4	11	8	7	5	9	2	16	6	3	2	12	0	4	17	15	10	4	9	11	5	10	22	11	1	0	15	6	4	6	2	6	17	
Acropora154	7	8	14	12	18	12	15	14	6	14	22	9	13	12	9	12	7	13	14	10	3	3	8	13	3	4	2	4	3	5	21	35	7	16	10	8	13	23	7	6	3	16	10	16	3	11	3	12	
