Photo ID,Date,ID,Tank,Species,Photo #,Coral Position,Colony,Treatment,Treatment_Tank,CBASS_tank,Image J Points,Mean,X,Y,month,mean_Rintensity_percoral
3771,2022-03-08,32,8,Acropora cervicornis,3,2,BC-8b,Treated,8,6,5,110,1669.167,2051.167,03,116.75
3771,2022-03-08,32,8,Acropora cervicornis,3,2,BC-8b,Treated,8,6,6,110,1658.5,1923.167,03,116.75
3771,2022-03-08,32,8,Acropora cervicornis,3,2,BC-8b,Treated,8,6,7,112,1686.5,1859.167,03,116.75
3771,2022-03-08,32,8,Acropora cervicornis,3,2,BC-8b,Treated,8,6,8,135,1699.833,1692.5,03,116.75
3771,2022-03-08,54,8,Acropora cervicornis,3,5,MB-B,Treated,8,2,17,86,3122.5,2103.5,03,97.5
3771,2022-03-08,54,8,Acropora cervicornis,3,5,MB-B,Treated,8,2,18,88,3169.5,2022.5,03,97.5
3771,2022-03-08,54,8,Acropora cervicornis,3,5,MB-B,Treated,8,2,19,97,3166.5,1964.5,03,97.5
3771,2022-03-08,54,8,Acropora cervicornis,3,5,MB-B,Treated,8,2,20,119,3171.5,1811.5,03,97.5
3771,2022-03-08,58,8,Acropora cervicornis,3,1,BC-8b,Treated,8,2,1,93,1111,2071,03,95.75
3771,2022-03-08,58,8,Acropora cervicornis,3,1,BC-8b,Treated,8,2,2,98,1097.5,1948.167,03,95.75
3771,2022-03-08,58,8,Acropora cervicornis,3,1,BC-8b,Treated,8,2,3,99,1105.5,1894.833,03,95.75
3771,2022-03-08,58,8,Acropora cervicornis,3,1,BC-8b,Treated,8,2,4,93,1109.5,1830.833,03,95.75
3771,2022-03-08,62,8,Acropora cervicornis,3,3,SI-C,Treated,8,8,9,111,2086.5,2202.5,03,115.25
3771,2022-03-08,62,8,Acropora cervicornis,3,3,SI-C,Treated,8,8,10,119,2119.5,2088.5,03,115.25
3771,2022-03-08,62,8,Acropora cervicornis,3,3,SI-C,Treated,8,8,11,117,2133.5,1915.5,03,115.25
3771,2022-03-08,62,8,Acropora cervicornis,3,3,SI-C,Treated,8,8,12,114,2111.5,1783.5,03,115.25
3772,2022-03-08,13,8,Acropora cervicornis,4,3,MB-B,Treated,8,6,9,95,2151.5,2048.5,03,103
3772,2022-03-08,13,8,Acropora cervicornis,4,3,MB-B,Treated,8,6,10,98,2135.5,1985.5,03,103
3772,2022-03-08,13,8,Acropora cervicornis,4,3,MB-B,Treated,8,6,11,107,2154.5,1856.5,03,103
3772,2022-03-08,13,8,Acropora cervicornis,4,3,MB-B,Treated,8,6,12,112,2155.5,1742.5,03,103
3772,2022-03-08,77,8,Acropora cervicornis,4,2,BC-8b,Treated,8,4,5,86,1681.5,2060.5,03,100.5
3772,2022-03-08,77,8,Acropora cervicornis,4,2,BC-8b,Treated,8,4,6,96,1677.5,1881.5,03,100.5
3772,2022-03-08,77,8,Acropora cervicornis,4,2,BC-8b,Treated,8,4,7,103,1666.5,1802.5,03,100.5
3772,2022-03-08,77,8,Acropora cervicornis,4,2,BC-8b,Treated,8,4,8,117,1726.5,1658.5,03,100.5
3772,2022-03-08,79,8,Acropora cervicornis,4,5,SI-C,Treated,8,4,17,82,3075.5,2053.5,03,88.25
3772,2022-03-08,79,8,Acropora cervicornis,4,5,SI-C,Treated,8,4,18,85,3023.5,2033.5,03,88.25
3772,2022-03-08,79,8,Acropora cervicornis,4,5,SI-C,Treated,8,4,19,93,3038.5,1889.5,03,88.25
3772,2022-03-08,79,8,Acropora cervicornis,4,5,SI-C,Treated,8,4,20,93,3024.5,1751.5,03,88.25
3772,2022-03-08,94,8,Acropora cervicornis,4,1,MB-B,Treated,8,6,1,97,1145,1924,03,94.75
3772,2022-03-08,94,8,Acropora cervicornis,4,1,MB-B,Treated,8,6,2,97,1166.5,1867.5,03,94.75
3772,2022-03-08,94,8,Acropora cervicornis,4,1,MB-B,Treated,8,6,3,94,1121.5,2078.5,03,94.75
3772,2022-03-08,94,8,Acropora cervicornis,4,1,MB-B,Treated,8,6,4,91,1186.5,1701.5,03,94.75
3772,2022-03-08,103,8,Acropora cervicornis,4,4,MB-B,Treated,8,2,13,89,2605.5,2090.5,03,96.75
3772,2022-03-08,103,8,Acropora cervicornis,4,4,MB-B,Treated,8,2,14,94,2626.5,2027.5,03,96.75
3772,2022-03-08,103,8,Acropora cervicornis,4,4,MB-B,Treated,8,2,15,96,2662.5,1897.5,03,96.75
3772,2022-03-08,103,8,Acropora cervicornis,4,4,MB-B,Treated,8,2,16,108,2674.5,1779.5,03,96.75
3773,2022-03-08,8,8,Acropora cervicornis,5,5,SI-C,Treated,8,2,17,91,3179.5,2140.5,03,94.75
3773,2022-03-08,8,8,Acropora cervicornis,5,5,SI-C,Treated,8,2,18,97,3198.5,2043.5,03,94.75
3773,2022-03-08,8,8,Acropora cervicornis,5,5,SI-C,Treated,8,2,19,96,3181.5,1992.5,03,94.75
3773,2022-03-08,8,8,Acropora cervicornis,5,5,SI-C,Treated,8,2,20,95,3213.5,1758.5,03,94.75
3773,2022-03-08,69,8,Acropora cervicornis,5,1,SI-C,Treated,8,1,1,110,1174,2186,03,106.5
3773,2022-03-08,69,8,Acropora cervicornis,5,1,SI-C,Treated,8,1,2,103,1188.833,2109.833,03,106.5
3773,2022-03-08,69,8,Acropora cervicornis,5,1,SI-C,Treated,8,1,3,109,1227.5,2044.5,03,106.5
3773,2022-03-08,69,8,Acropora cervicornis,5,1,SI-C,Treated,8,1,4,104,1228.833,1861.833,03,106.5
3773,2022-03-08,76,8,Acropora cervicornis,5,2,BC-8b,Treated,8,1,5,107,1694.5,2140.5,03,113.75
3773,2022-03-08,76,8,Acropora cervicornis,5,2,BC-8b,Treated,8,1,6,108,1719.5,2045.5,03,113.75
3773,2022-03-08,76,8,Acropora cervicornis,5,2,BC-8b,Treated,8,1,7,116,1749.5,1968.5,03,113.75
3773,2022-03-08,76,8,Acropora cervicornis,5,2,BC-8b,Treated,8,1,8,124,1737.5,1800.5,03,113.75
3773,2022-03-08,110,8,Acropora cervicornis,5,4,BC-8b,Treated,8,5,13,111,2628.5,1574.5,03,107.25
3773,2022-03-08,110,8,Acropora cervicornis,5,4,BC-8b,Treated,8,5,14,113,2606.5,1677.5,03,107.25
3773,2022-03-08,110,8,Acropora cervicornis,5,4,BC-8b,Treated,8,5,15,98,2649.5,1828.5,03,107.25
3773,2022-03-08,110,8,Acropora cervicornis,5,4,BC-8b,Treated,8,5,16,107,2608.5,1918.5,03,107.25
3773,2022-03-08,125,8,Acropora cervicornis,5,3,BC-8b,Treated,8,8,9,90,2203.167,2227.833,03,101
3773,2022-03-08,125,8,Acropora cervicornis,5,3,BC-8b,Treated,8,8,10,89,2167.167,2027.833,03,101
3773,2022-03-08,125,8,Acropora cervicornis,5,3,BC-8b,Treated,8,8,11,110,2088.5,1779.833,03,101
3773,2022-03-08,125,8,Acropora cervicornis,5,3,BC-8b,Treated,8,8,12,115,2047.167,1759.833,03,101
