Df,SumOfSqs,R2,F,Pr(>F)
2,130400998.91799189,0.07220471552679134,1.595391454419453,0.001598998401001599
41,1675589066.5038018,0.9277952844732087,NA,NA
43,1805990065.4217937,1,NA,NA
