gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Pseudodiploria196007,NA,11.087177082923011,-1.8737941064878256,0.314102626535646,-5.96554739816917,2.4381525715247875e-9,1.0765662679567698e-5,Variable vs Control
Pseudodiploria193272,NA,1.56025342305242,-3.2116934703612214,0.774081282880335,-4.149039049763093,3.3387385936155366e-5,0.0368555006502735,Variable vs Control
Pseudodiploria195980,NA,25.207985185723015,-2.2388292350409835,0.554820546410644,-4.0352313005076414,5.454853366010719e-5,0.04587791435737205,Variable vs Control
Pseudodiploria166380,NA,2.6132574145183955,-2.4193471841986076,0.6570574959326467,-3.682093575029557,2.3132646669069215e-4,0.03668208913067063,Variable vs Initial
Pseudodiploria168212,NA,1.77711068849387,-3.0428702583011553,0.7791350113591553,-3.905446699145308,9.40514878421461e-5,0.01944484748007306,Variable vs Initial
Pseudodiploria172053,NA,2.0020577391541345,1.8193429513968595,0.5071557913530336,3.587345313642305,3.3406179146185767e-4,0.04472320688480755,Variable vs Initial
Pseudodiploria175640,Belongs to the AAA ATPase family,2.732852698521669,2.1086048840558296,0.5195827205721225,4.058265990320087,4.943843931776871e-5,0.01242273891349409,Variable vs Initial
Pseudodiploria187226,Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport,7.595918392831541,-1.998279818914104,0.3799675957584221,-5.259079566839119,1.447782396449413e-7,1.0748468127821938e-4,Variable vs Initial
Pseudodiploria187669,NA,2.500353888414887,-2.4480148330197897,0.6097788206942205,-4.014594718512486,5.95480270239989e-5,0.01389425607689962,Variable vs Initial
Pseudodiploria190913,NA,4.020500213300091,-1.75155225501307,0.4627975549246173,-3.784705075415472,1.538909652129624e-4,0.02645790668235068,Variable vs Initial
Pseudodiploria191664,NA,2.632909847397857,-2.3430890218384497,0.6200314189724355,-3.778984338763993,1.5746932649659067e-4,0.02679110947571682,Variable vs Initial
Pseudodiploria191982,"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",1.90462928425822,2.129551295337137,0.4789180375047775,4.446588202090621,8.724485441018907e-6,0.00321686321761827,Variable vs Initial
Pseudodiploria193327,NA,2.2859974368010527,2.1004179674051975,0.5429298758508035,3.86867266074411,1.094294337431053e-4,0.02130198946623025,Variable vs Initial
Pseudodiploria197583,NA,4.131015241410777,1.6076715631573808,0.3791355104928099,4.240361344859754,2.231602500939161e-5,0.00650870779425701,Variable vs Initial
Pseudodiploria199221,NA,42.7931087056713,-3.2980962281692747,0.6504141909692097,-5.070763021413542,3.962239008733283e-7,2.813706509984379e-4,Variable vs Initial
Pseudodiploria201995,protein kinase regulator activity,4.681973887830053,-1.5936495099839758,0.4461329730983695,-3.57214016017728,3.540758132484543e-4,0.04511269757998956,Variable vs Initial
Pseudodiploria205158,NA,1.7885068212948083,-2.540883948008286,0.6808359377720038,-3.732006210370125,1.899608171118484e-4,0.0310263002588782,Variable vs Initial
Pseudodiploria54417,NA,12.302383620951836,2.1700198756793907,0.6141137076619895,3.533579935775962,4.099720956354151e-4,0.04789792969269699,Variable vs Initial
Pseudodiploria62723,NA,3.818317913752088,1.768813727409087,0.44827376244017386,3.9458337195123057,7.952278830803934e-5,0.0177341756497826,Variable vs Initial
Pseudodiploria84865,cellular macromolecule catabolic process,3.632802527603724,4.688836093076759,0.8882374399617626,5.278809338726599,1.300260112043753e-7,1.0112927814290771e-4,Variable vs Initial
