gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pseudodiploria169280,NA,8.071881701627063,-1.3939719587822972,0.3115746436533915,-4.473958286326435,7.67847277411489e-6,0.004676454694359214
Pseudodiploria170128,NA,7.215018642632375,1.6372435362536766,0.3525275991700325,4.644298886408592,3.4123326347061167e-6,0.003135915246717771
Pseudodiploria171009,NA,14.260882534641254,1.464332290510315,0.31585667095320963,4.636065738586976,3.5510307402533925e-6,0.003135915246717771
Pseudodiploria171125,NA,79.91659807253704,2.425310088043181,0.3096080988019125,7.833483999379798,4.74533262722174e-15,8.381206486199037e-11
Pseudodiploria173071,NA,11.575303412439604,-1.1525026390082032,0.2608290328685602,-4.418613320507863,9.933619160097846e-6,0.005316593381989338
Pseudodiploria174030,NA,30.99366275874036,-1.2921156192267496,0.24949295402155167,-5.178966373195189,2.2311867941490673e-7,4.3785801286956474e-4
Pseudodiploria174955,NA,6.588383705562478,-1.4043225443113427,0.35791495751216384,-3.9236207228461986,8.72280238570976e-5,0.022327845758899387
Pseudodiploria176490,NA,4.007169802603943,-1.8033454116567307,0.485812150813147,-3.7120220411085048,2.0561007730727148e-4,0.0371844706265529
Pseudodiploria177409,structural constituent of cuticle,7.850284853577176,-1.2339998585033771,0.3122390906647418,-3.9520991938461374,7.746861382269811e-5,0.02105001011286914
Pseudodiploria177825,"Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.",14.404231763625917,-1.5109370130373305,0.32321550943809224,-4.674704551350532,2.9437709997212715e-6,0.0030584049057104175
Pseudodiploria178481,NA,2.012636412949095,2.509131695525657,0.6290380987465986,3.988838991668825,6.639746749401848e-5,0.018614477315545306
Pseudodiploria179187,NA,4.945206590765563,1.9909177960120752,0.5504137356181392,3.6171295648648476,2.9788821133527155e-4,0.04535604817761695
Pseudodiploria179414,NA,9.742381493416291,-1.4700012129873838,0.3233706376618464,-4.545871027797479,5.470853053507783e-6,0.0037163925627328636
Pseudodiploria180839,NA,35.24876575380896,1.1689243534626863,0.30900588619459357,3.7828546499808975,1.5503995875561073e-4,0.031117224449336327
Pseudodiploria181945,Si dkey-256h2.1,13.516659296635533,-1.1690148706902284,0.31507766239703056,-3.71024356914629,2.0705993702942866e-4,0.0371844706265529
Pseudodiploria182481,Thioredoxin-like domain,4.457179804164845,-1.7761768676135246,0.46770206561809813,-3.7976673574579864,1.4606415660220023e-4,0.030706563065503827
Pseudodiploria182501,NA,3.254899955460945,1.3699746194531324,0.3707181738290654,3.695461178239442,2.1948801760233265e-4,0.03763686763973203
Pseudodiploria186504,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)",11.15816708695204,-1.2287512900894915,0.30256595831544913,-4.061102236783757,4.88415758717489e-5,0.016276224774468474
Pseudodiploria186724,D-serine biosynthetic process,22.712506613560866,-1.4689451489558234,0.338032678894312,-4.345571421558027,1.3891356239088363e-5,0.006815253719299407
