gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pseudodiploria166380,NA,2.6132574145183955,-2.4193471841986076,0.6570574959326467,-3.682093575029557,2.3132646669069215e-4,0.036682089130670635
Pseudodiploria168212,NA,1.77711068849387,-3.0428702583011553,0.7791350113591553,-3.9054466991453083,9.40514878421461e-5,0.019444847480073066
Pseudodiploria168214,NA,7.041949274090074,1.2253127017773784,0.27803686219316687,4.4070152860741505,1.0480479439806632e-5,0.0034934218508237084
Pseudodiploria168526,NA,46.467567803760254,-1.0722174309194614,0.16187100665196455,-6.623900432180629,3.498424580185629e-11,6.348863185352431e-8
Pseudodiploria168627,-,208.39405518866533,-1.0013907376936202,0.147692808457896,-6.780226797427952,1.1998737324136557e-11,3.266256278585373e-8
Pseudodiploria169280,NA,8.071881701627063,-1.1438663116624523,0.27604592903055164,-4.143753598104516,3.4166685009672694e-5,0.009148269938737444
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,18.00992505305566,-1.243740941972193,0.34851203119466784,-3.5687173774424976,3.5873314523832264e-4,0.04511269757998956
Pseudodiploria171009,NA,14.260882534641254,1.4109186208631692,0.30448185075965567,4.633834881596556,3.5895333904987367e-6,0.001542838128079365
Pseudodiploria171125,NA,79.91659807253704,2.078282961998547,0.3087848368471499,6.730521431100283,1.6905614564925815e-11,3.4514925336116664e-8
Pseudodiploria171308,NA,26.801276902310807,-1.3807465062832966,0.3365527618870057,-4.10261528843691,4.085061862681863e-5,0.010425205531747323
Pseudodiploria172053,NA,2.0020577391541345,1.8193429513968595,0.5071557913530336,3.587345313642305,3.3406179146185767e-4,0.044723206884807555
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.017536007236897,0.10422577052115534,-9.76280628244779,1.625926265573136e-22,1.3278126847803015e-18
Pseudodiploria173599,NA,522.761945392215,-1.0017313623635666,0.14873546834930867,-6.734986439219577,1.6394522446928704e-11,3.4514925336116664e-8
Pseudodiploria173906,NA,7.129805013714844,-1.3618160844335763,0.32718292371167884,-4.162246822006029,3.15131453914632e-5,0.00857840339464614
Pseudodiploria174658,NA,5.205268064388636,-1.3472361649636497,0.37240349655171834,-3.6176786132204035,2.972571870029029e-4,0.04296550119750808
Pseudodiploria175640,Belongs to the AAA ATPase family,2.732852698521669,2.1086048840558296,0.5195827205721225,4.058265990320087,4.943843931776871e-5,0.012422738913494097
Pseudodiploria177399,NA,3.4595297103008673,1.374846989549978,0.38469659419109914,3.573847573152724,3.517737584492359e-4,0.04511269757998956
Pseudodiploria184239,NA,34.34470794615884,1.0985163669531048,0.2779548816194581,3.952139140542455,7.745567946776109e-5,0.017570605732596417
Pseudodiploria184632,glycoside hydrolase family 63,6.875471397955784,1.54922226880263,0.3616600544404503,4.283642193217995,1.8385850382362114e-5,0.005665964043304159
Pseudodiploria184779,NA,7.323648364400161,1.2498461327367913,0.292242121541929,4.276748766202313,1.896426166492699e-5,0.005735986773578751
Pseudodiploria184992,NA,16.23858666109251,1.0416587994096689,0.23588325091209933,4.4159930617449294,1.0054730930004398e-5,0.003421331672495038
Pseudodiploria186504,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)",11.15816708695204,-1.0013383818630772,0.2781196688620917,-3.6003867901899467,3.1774415440694633e-4,0.04447384849016577
Pseudodiploria186945,NA,5.851818449957784,1.46914232515154,0.41135307923197684,3.5714873652934,3.5495967470209277e-4,0.04511269757998956
Pseudodiploria187209,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",42.96291456923826,1.2955599753043916,0.30615006181504445,4.231780871196044,2.3184823390503668e-5,0.006528926214432697
Pseudodiploria187226,Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport,7.595918392831541,-1.9982798189141038,0.3799675957584221,-5.259079566839119,1.447782396449413e-7,1.0748468127821938e-4
Pseudodiploria187669,NA,2.500353888414887,-2.4480148330197897,0.6097788206942205,-4.014594718512486,5.95480270239989e-5,0.013894256076899628
Pseudodiploria189114,Lim homeobox,107.2373472387612,1.169911107912473,0.23199732296366787,5.042778481093456,4.588203040979826e-7,2.8437785790540063e-4
Pseudodiploria190873,Collagen triple helix,11.430282190002469,-1.1768449432383365,0.3269286140483891,-3.599700034406136,3.185844776433843e-4,0.04447384849016577
Pseudodiploria190913,NA,4.020500213300091,-1.75155225501307,0.4627975549246173,-3.7847050754154723,1.538909652129624e-4,0.026457906682350683
Pseudodiploria191664,NA,2.632909847397857,-2.3430890218384497,0.6200314189724355,-3.778984338763993,1.5746932649659067e-4,0.026791109475716827
Pseudodiploria191823,NA,62.0581884008907,-1.1213502754329638,0.20238582419264203,-5.540656218913833,3.0134028019128564e-8,2.7343282202023714e-5
