"","lfc"
"K10408",-0.635242576868337
"K26545",-0.322387775308892
"K12886",-0.606772258112832
"K00021",0.277173784451247
"K03544",0.56816564913976
"K00512",1.95497079008422
"K02207",-0.653687167379255
"K16582",-0.39751948213419
"K26437",0.368908688940104
"K08843",-0.236120863627291
"K22653",0.269285719472582
"K03950",0.415134117473319
"K04606",-1.61893781984233
"K08547",1.74344834175211
"K12186",0.264253719879756
"K05888",-0.329388897364475
"K01691",-0.522574246273044
"K20358",-0.170762804097429
"K16477",-0.32898984159285
"K20477",0.466114074576932
"K02264",0.487632400520266
"K24610",0.539803872557173
"K19862",-0.291880804187734
"K22390",0.829720120519191
"K23589",0.948362252789468
"K07369",0.569258547967159
"K00851",0.727241726988959
"K00572",-1.341462628086
"K23088",-0.689144377065926
"K01183",-1.95599748605509
"K25207",-0.271973299779237
"K04659",-1.47516224040003
"K16669",-1.20801590600705
"K18263",-0.296996417053333
"K25636",-0.598887889837875
"K05312",-1.10215939854983
"K01796",0.456794363524663
"K24166",0.48618245841523
"K00774",0.83756127626805
"K05286",0.617204237523576
"K10998",0.577048738693289
"K22754",-0.53930351117974
"K04570",-0.650078553797533
"K02920",0.322636974073951
"K10393",0.338223251955894
"K01889",0.3307221802932
"K14326",-0.597581684923167
"K11860",-0.360958088114394
"K05869",-0.582118351229317
"K10277",0.280579323662066
"K13953",0.613945110107996
"K01204",0.297934772602948
"K15183",-0.740046134372066
"K12625",0.860984298393585
"K10457",0.26107098342278
"K04368",0.414164241367084
"K14826",-0.190372381694717
"K02880",0.201944280326839
"K22628",-0.434412428560604
"K15010",-0.285659633531749
"K13750",-0.652486151863637
"K08056",-0.434747881191313
"K08736",0.688137862751652
"K08807",-0.356793797915294
"K10444",0.875124374557952
"K13203",-0.61718124245008
"K11989",-0.824900500759045
"K19907",-1.12882172471672
"K19911",-0.939354687732972
"K11367",-0.386857565652901
"K17418",0.672471207371101
"K23194",-0.64327923096845
"K20163",0.532532344529751
"K04266",1.322136993499
"K06545",-0.615090960517714
"K13912",-0.287146055918775
"K23697",-0.312732466379556
"K24473",0.905873191084707
"K00315",0.43272657417296
"K01304",0.815587092810408
"K13884",1.06896913775493
"K12876",0.33226097542808
"K09260",-0.645307030000823
"K23901",-1.30032014932771
"K24006",-0.22341304695903
"K20795",-1.06090713646118
"K15293",-0.316848486871907
"K11792",0.274436473606174
"K24979",0.593846506295905
"K10405",-0.834287260007996
"K05606",0.348111916840539
"K02991",0.179077382789177
"K23435",0.289216375585087
"K03283",-0.475973404759732
"K00544",1.48504107766978
"K10595",0.263227477853658
"K09382",-2.5632173286415
"K15686",-0.650433085742925
"K20288",0.254898555841671
"K09381",-1.49151613471297
"K05220",0.402301191912676
"K16848",-0.267635447396729
"K02958",0.212598612905523
"K06842",-0.417200507148958
"K02896",0.14329529047793
"K22614",-0.541589976040822
"K11087",0.294553555483787
"K18529",-0.867632252755004
"K15309",0.358741555408999
"K04650",-0.350247738431781
"K17341",0.3002771351861
"K04201",0.778216093787773
"K09574",0.240648559140296
"K16584",0.402656585789361
"K12397",0.239420172218094
"K11564",0.631155077876829
"K25201",1.38460849539334
"K20822",0.295098622107536
"K17293",0.424595345054005
"K06761",-0.336991706397773
"K12389",-1.0102554354672
"K14085",0.519367170027472
"K23544",0.406776150598245
"K08621",-0.767001316772825
"K26392",0.51562412674402
"K07364",0.347170137780791
"K23820",-0.598881968247837
"K11247",-0.445784618962372
"K03937",0.667631588144435
"K20162",0.383828115609833
"K18274",0.584561170976
"K19901",0.29868900637823
"K19573",0.565281383596906
"K02903",0.437460102414327
"K21404",-0.436913268745657
"K09502",-0.72222278047299
"K00344",0.468093543716619
"K24431",-0.567907716724072
"K03173",-0.673158837733879
"K09490",-0.987890617685311
"K19367",0.295153004706766
"K15013",-1.19384589680465
"K26094",0.673216812196525
"K19502",-0.650921249518131
"K01201",0.463107668541321
"K02503",0.410592559718254
"K03522",0.827493098569163
"K03068",-0.508410572789971
"K02599",-0.42594218288672
"K08187",0.28560626937123
"K11703",0.808131372190215
"K04142",1.07609851530208
